company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,othercurrentassets,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2008.0,FY,,2008-12-31,2009-10-29 17:20:48+00:00,3241000000.0,1980000000.0,-1885000000.0,2131000000.0,,6216000000.0,,,1654000000.0,390000000.0,3362000000.0,2361000000.0,4609000000.0,62000000.0,676000000.0,,,1604000000.0,2117000000.0,,,,5795000000.0,394000000.0,,15405000000.0,6229000000.0,7148000000.0,3635000000.0,6229000000.0,6291000000.0,9114000000.0,15405000000.0,3648000000.0,5479000000.0,-3897000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2009.0,FY,,2009-12-31,2011-02-23 17:04:55+00:00,3753000000.0,2302000000.0,-1777000000.0,2786000000.0,,6366000000.0,226000000.0,,1825000000.0,513000000.0,3440000000.0,2557000000.0,5159000000.0,229000000.0,400000000.0,,,1586000000.0,2030000000.0,,,,7343000000.0,711000000.0,,17354000000.0,7191000000.0,8271000000.0,4464000000.0,7191000000.0,7420000000.0,9934000000.0,17354000000.0,3924000000.0,5470000000.0,-4741000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2009.0,Q3,,2009-09-30,2009-10-29 17:20:48+00:00,3435000000.0,2229000000.0,-1609000000.0,2571000000.0,,6345000000.0,,,1836000000.0,538000000.0,4136000000.0,2628000000.0,4963000000.0,225000000.0,636000000.0,,,1553000000.0,2039000000.0,,,,6954000000.0,33000000.0,,16954000000.0,7086000000.0,8064000000.0,3468000000.0,7086000000.0,7311000000.0,9643000000.0,16954000000.0,3927000000.0,6175000000.0,-4604000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2010.0,FY,,2010-12-31,2012-02-23 17:29:13+00:00,4017000000.0,2265000000.0,-2139000000.0,2685000000.0,0.0,6436000000.0,323000000.0,,2015000000.0,500000000.0,4363000000.0,2371000000.0,5260000000.0,229000000.0,,,,1725000000.0,2289000000.0,,,345000000.0,7925000000.0,24000000.0,,17489000000.0,6567000000.0,7989000000.0,4041000000.0,6567000000.0,6796000000.0,10693000000.0,17489000000.0,4240000000.0,6652000000.0,-5655000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2010.0,Q3,,2010-09-30,2010-11-03 17:16:50+00:00,3676000000.0,2205000000.0,-1971000000.0,2788000000.0,,6412000000.0,,,2027000000.0,518000000.0,4360000000.0,2500000000.0,5208000000.0,232000000.0,647000000.0,,,1670000000.0,2241000000.0,,,,7717000000.0,523000000.0,,17563000000.0,6531000000.0,8140000000.0,4199000000.0,6531000000.0,6763000000.0,10800000000.0,17563000000.0,4215000000.0,6601000000.0,-5627000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2010.0,Q2,,2010-06-30,2010-08-04 21:15:02+00:00,3390000000.0,2072000000.0,-2348000000.0,2300000000.0,,6385000000.0,,,1956000000.0,522000000.0,4119000000.0,2384000000.0,4983000000.0,236000000.0,619000000.0,,,1651000000.0,2149000000.0,,,,7376000000.0,695000000.0,,16487000000.0,5898000000.0,7375000000.0,4085000000.0,5898000000.0,6134000000.0,10353000000.0,16487000000.0,4129000000.0,6268000000.0,-5515000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2010.0,Q1,,2010-03-31,2010-05-10 16:35:24+00:00,3587000000.0,2254000000.0,-2033000000.0,2673000000.0,,6358000000.0,,,2002000000.0,556000000.0,4056000000.0,2477000000.0,5064000000.0,230000000.0,611000000.0,,,1529000000.0,2167000000.0,,,,7030000000.0,697000000.0,,17166000000.0,6429000000.0,8015000000.0,4284000000.0,6429000000.0,6659000000.0,10507000000.0,17166000000.0,4087000000.0,6223000000.0,-4926000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2011.0,FY,,2011-12-31,2013-02-21 17:28:20+00:00,4411000000.0,2420000000.0,-2591000000.0,2905000000.0,0.0,6466000000.0,295000000.0,,2317000000.0,826000000.0,4749000000.0,2628000000.0,5525000000.0,243000000.0,,,,1755000000.0,2639000000.0,,,402000000.0,9429000000.0,446000000.0,,19073000000.0,6585000000.0,8650000000.0,4857000000.0,6585000000.0,6828000000.0,12245000000.0,19073000000.0,4898000000.0,7388000000.0,-6719000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2011.0,Q3,,2011-09-30,2011-11-02 16:52:58+00:00,4070000000.0,2347000000.0,-2049000000.0,2338000000.0,0.0,6455000000.0,,,2119000000.0,710000000.0,4447000000.0,2621000000.0,5426000000.0,238000000.0,,,,1586000000.0,2041000000.0,,,696000000.0,9154000000.0,95000000.0,,17843000000.0,6952000000.0,8002000000.0,4165000000.0,6952000000.0,7190000000.0,10653000000.0,17843000000.0,4415000000.0,6488000000.0,-6608000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2011.0,Q2,,2011-06-30,2011-08-02 16:58:40+00:00,4009000000.0,2491000000.0,-1772000000.0,2018000000.0,0.0,6434000000.0,,,2168000000.0,702000000.0,4378000000.0,2648000000.0,5481000000.0,247000000.0,,,,1581000000.0,2088000000.0,,,652000000.0,8754000000.0,22000000.0,,17741000000.0,6997000000.0,7809000000.0,4031000000.0,6997000000.0,7244000000.0,10497000000.0,17741000000.0,4451000000.0,6466000000.0,-6419000000.0
