company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2007.0,FY,2007-01-01,2007-12-31,2010-02-22 21:55:06+00:00,-112000000.0,304000000.0,119000000.0,581000000.0,,25000000.0,-301000000.0,,584000000.0,-1971000000.0,-305000000.0,2305000000.0,,,-1971000000.0,-305000000.0,2305000000.0,54000000.0,1721000000.0,1721000000.0,,304000000.0,639000000.0,499000000.0,,-704000000.0,-692000000.0,-635000000.0,-1855000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2008.0,FY,2008-01-01,2008-12-31,2010-02-22 21:55:06+00:00,-99000000.0,247000000.0,159000000.0,631000000.0,,1000000.0,472000000.0,,671000000.0,-1931000000.0,-993000000.0,2515000000.0,,,-1931000000.0,-993000000.0,2515000000.0,-408000000.0,2025000000.0,2025000000.0,,-613000000.0,880000000.0,60000000.0,,-546000000.0,-954000000.0,-950000000.0,-1986000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2008.0,Q4,2008-10-01,2008-12-31,,-26000000.0,247000000.0,159000000.0,150000000.0,,-17000000.0,781000000.0,,-39000000.0,-313000000.0,-350000000.0,620000000.0,,,-313000000.0,-350000000.0,620000000.0,-60000000.0,569000000.0,569000000.0,,-880000000.0,333000000.0,15000000.0,,-135000000.0,-339000000.0,-8000000.0,-464000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-29 17:20:48+00:00,-73000000.0,,,481000000.0,,18000000.0,-309000000.0,,710000000.0,-1618000000.0,-643000000.0,1895000000.0,,,-1618000000.0,-643000000.0,1895000000.0,-348000000.0,1456000000.0,1456000000.0,,267000000.0,547000000.0,45000000.0,,-411000000.0,-615000000.0,-942000000.0,-1522000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2009.0,Q4,2009-10-01,2009-12-31,,,246000000.0,113000000.0,172000000.0,24000000.0,-49000000.0,242000000.0,,10000000.0,-329000000.0,-393000000.0,986000000.0,,,-329000000.0,-393000000.0,986000000.0,215000000.0,576000000.0,576000000.0,,-4000000.0,92000000.0,-37000000.0,,-157000000.0,-380000000.0,-24000000.0,-250000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 17:29:13+00:00,-156000000.0,246000000.0,113000000.0,638000000.0,24000000.0,-96000000.0,-74000000.0,,872000000.0,-1012000000.0,-1146000000.0,2909000000.0,,,-1012000000.0,-1146000000.0,2909000000.0,655000000.0,2215000000.0,2215000000.0,,130000000.0,381000000.0,,,-632000000.0,-1014000000.0,-417000000.0,-1216000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2009.0,Q3YTD,2009-01-01,2009-09-30,2009-10-29 17:20:48+00:00,-156000000.0,,,466000000.0,,-47000000.0,-316000000.0,,862000000.0,-683000000.0,-753000000.0,1923000000.0,,,-683000000.0,-753000000.0,1923000000.0,440000000.0,1639000000.0,1639000000.0,,134000000.0,289000000.0,37000000.0,,-475000000.0,-634000000.0,-393000000.0,-966000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2009.0,Q3TTM,2008-10-01,2009-09-30,,-182000000.0,247000000.0,159000000.0,616000000.0,,-64000000.0,465000000.0,,823000000.0,-996000000.0,-1103000000.0,2543000000.0,,,-996000000.0,-1103000000.0,2543000000.0,380000000.0,2208000000.0,2208000000.0,,-746000000.0,622000000.0,52000000.0,,-610000000.0,-973000000.0,-401000000.0,-1430000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2009.0,Q3,2009-07-01,2009-09-30,,-54000000.0,,,164000000.0,,31000000.0,52000000.0,,501000000.0,119000000.0,-256000000.0,875000000.0,,,119000000.0,-256000000.0,875000000.0,769000000.0,532000000.0,532000000.0,,127000000.0,85000000.0,45000000.0,,-157000000.0,-247000000.0,-210000000.0,-100000000.0
Baxter International Inc,BAX,J5OIVXX3P24RJRW5CK77,10456,2009.0,Q2,2009-04-01,2009-06-30,,-102000000.0,,,154000000.0,,-2000000.0,30000000.0,,3000000.0,-409000000.0,-301000000.0,811000000.0,,,-409000000.0,-301000000.0,811000000.0,99000000.0,589000000.0,589000000.0,,38000000.0,65000000.0,17000000.0,,-158000000.0,-216000000.0,-19000000.0,-300000000.0
