company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2008.0,FY,2007-01-28,2008-01-26,2010-03-30 12:40:24+00:00,,369396000.0,,-6241000.0,157070000.0,134109000.0,,-952689000.0,-539901000.0,1374774000.0,-952689000.0,-539901000.0,1374774000.0,-124057000.0,771750000.0,771750000.0,,76558000.0,6756000.0,753000.0,-151492000.0,-13667000.0,-526987000.0,-1854000.0,-940208000.0,,
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2009.0,Q4,2008-10-26,2009-01-31,,,100682000.0,-4804000.0,-1094000.0,61735000.0,1021000.0,-105930000.0,-235129000.0,-125338000.0,427737000.0,-235129000.0,-125338000.0,427737000.0,66176000.0,250696000.0,250696000.0,,14624000.0,-92000.0,5011000.0,-45613000.0,,-139924000.0,-517000.0,-83998000.0,14379000.0,
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2009.0,FY,2008-01-27,2009-01-31,2011-03-29 17:35:14+00:00,,401707000.0,,-96249000.0,-215333000.0,142154000.0,,-768821000.0,-568587000.0,1154572000.0,-768821000.0,-568587000.0,1154572000.0,-279085000.0,880617000.0,911945000.0,-31328000.0,56253000.0,18879000.0,-34000.0,-176749000.0,,-582932000.0,-2008000.0,-751097000.0,14379000.0,
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2009.0,Q3,2008-07-27,2008-10-25,,,101230000.0,4804000.0,-91167000.0,-119313000.0,41448000.0,105930000.0,-112748000.0,-184642000.0,258415000.0,-112748000.0,-184642000.0,258415000.0,-130142000.0,235849000.0,267177000.0,-31328000.0,9321000.0,4936000.0,-5443000.0,-46030000.0,,-184003000.0,-507000.0,-218525000.0,,
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2009.0,Q3YTD,2008-01-27,2008-10-25,2009-12-01 15:33:58+00:00,,301025000.0,4804000.0,-95155000.0,-277068000.0,141133000.0,105930000.0,-533692000.0,-443249000.0,726835000.0,-533692000.0,-443249000.0,726835000.0,-345261000.0,629921000.0,661249000.0,-31328000.0,41629000.0,18971000.0,-5045000.0,-131136000.0,0.0,-443008000.0,-1491000.0,-667099000.0,0.0,
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2009.0,Q2YTD,2008-01-27,2008-07-26,2009-08-28 15:55:34+00:00,,199795000.0,,-3988000.0,-157755000.0,99685000.0,0.0,-420944000.0,-258607000.0,468420000.0,-420944000.0,-258607000.0,468420000.0,-215119000.0,394072000.0,394072000.0,,32308000.0,14035000.0,398000.0,-85106000.0,0.0,-259005000.0,-984000.0,-448574000.0,,
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2010.0,Q4,2009-11-01,2010-01-30,,,116278000.0,,-3743000.0,455348000.0,15767000.0,,-647574000.0,-162429000.0,982705000.0,-647574000.0,-162429000.0,982705000.0,168959000.0,394998000.0,394998000.0,,16081000.0,1739000.0,224000.0,-50259000.0,-78853000.0,-110334000.0,-200560000.0,-414261000.0,26534000.0,
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2010.0,FY,2009-02-01,2010-01-30,2012-03-27 16:52:26+00:00,,435218000.0,,33185000.0,575215000.0,169862000.0,774263000.0,-583754000.0,-560277000.0,2271926000.0,-583754000.0,-560277000.0,2271926000.0,1161080000.0,1213572000.0,1213572000.0,,47921000.0,17494000.0,-5578000.0,-197662000.0,-278692000.0,-429282000.0,-402949000.0,-944762000.0,153275000.0,
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2010.0,Q3YTD,2009-02-01,2009-10-31,2010-11-24 10:24:51+00:00,,318940000.0,,36928000.0,119867000.0,154095000.0,774263000.0,63820000.0,-397848000.0,1289221000.0,63820000.0,-397848000.0,1289221000.0,992121000.0,818574000.0,818574000.0,,31840000.0,15755000.0,-5802000.0,-147403000.0,-199839000.0,-318948000.0,-202389000.0,-530501000.0,126741000.0,
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2010.0,Q3TTM,2008-10-26,2009-10-31,,,419622000.0,-4804000.0,35834000.0,181602000.0,155116000.0,668333000.0,-171309000.0,-523186000.0,1716958000.0,-171309000.0,-523186000.0,1716958000.0,1058297000.0,1069270000.0,1069270000.0,,46464000.0,15663000.0,-791000.0,-193016000.0,-199839000.0,-458872000.0,-202906000.0,-614499000.0,141120000.0,
