company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2008.0,FY,2007-01-28,2008-01-26,2010-03-30 12:40:24+00:00,1.74,1.74,0.36,1.66,,477655000.0,771750000.0,782432000.0,-10682000.0,771750000.0,13883952000.0,18336726000.0,197022000.0,2997263000.0,13883952000.0,4452774000.0,-1598000.0,3194285000.0,1258489000.0,1598000.0,1260087000.0,18336726000.0,443500000.0,443050000.0,468046000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2009.0,FY,2008-01-27,2009-01-31,2011-03-29 17:35:14+00:00,2.1,2.1,0.44,2.0,,536054000.0,880617000.0,914886000.0,-34269000.0,880617000.0,14429185000.0,18999505000.0,-30500000.0,3135589000.0,14429185000.0,4570320000.0,14291000.0,3105089000.0,1465231000.0,-14291000.0,1450940000.0,18999505000.0,419300000.0,419076000.0,442255000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2009.0,Q3,2008-07-27,2008-10-25,2009-12-01 15:33:58+00:00,,0.57,0.11,0.54,,164141000.0,235849000.0,254117000.0,-18268000.0,235849000.0,3536990000.0,4761530000.0,-7000000.0,807833000.0,3536990000.0,1224540000.0,5449000.0,800833000.0,423707000.0,-5449000.0,418258000.0,4761530000.0,,417107000.0,440749000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2009.0,Q2,2008-04-27,2008-07-26,2009-08-28 15:55:34+00:00,0.48,0.48,0.11,0.45,,125302000.0,200223000.0,212073000.0,-11850000.0,200223000.0,3447443000.0,4554395000.0,,766936000.0,3447443000.0,1106952000.0,2641000.0,766936000.0,340016000.0,-2641000.0,337375000.0,4554395000.0,417100000.0,421289000.0,445423000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2010.0,Q4,2009-11-01,2010-01-30,,-0.5,-0.5,-0.12,-0.49,,238238000.0,394998000.0,394998000.0,,394998000.0,4358602000.0,5941746000.0,,938914000.0,4358602000.0,1583144000.0,10994000.0,938914000.0,644230000.0,-10994000.0,633236000.0,5941746000.0,836900000.0,835592000.0,855239000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2010.0,FY,2009-02-01,2010-01-30,2012-03-27 16:52:26+00:00,1.45,1.45,0.24,1.42,,737990000.0,1213572000.0,1213572000.0,,1213572000.0,14968429000.0,20288444000.0,,3328944000.0,14968429000.0,5320015000.0,39509000.0,3328944000.0,1991071000.0,-39509000.0,1951562000.0,20288444000.0,836900000.0,835592000.0,855239000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2010.0,Q3,2009-08-02,2009-10-31,2010-11-24 10:24:51+00:00,0.82,0.82,0.12,0.81,,218206000.0,347799000.0,347799000.0,,347799000.0,3802179000.0,5244946000.0,,864097000.0,3802179000.0,1442767000.0,12665000.0,864097000.0,578670000.0,-12665000.0,566005000.0,5244946000.0,424100000.0,421654000.0,428092000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2010.0,Q3YTD,2009-02-01,2009-10-31,,1.95,1.95,0.36,1.91,,499752000.0,818574000.0,818574000.0,,818574000.0,10609827000.0,14346698000.0,,2390030000.0,10609827000.0,3736871000.0,28515000.0,2390030000.0,1346841000.0,-28515000.0,1318326000.0,14346698000.0,424100000.0,421654000.0,428092000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2010.0,Q2,2009-05-03,2009-08-01,2010-08-27 11:29:38+00:00,0.62,0.62,0.12,0.61,,151540000.0,261561000.0,261561000.0,,261561000.0,3534302000.0,4747528000.0,,790876000.0,3534302000.0,1213226000.0,9249000.0,790876000.0,422350000.0,-9249000.0,413101000.0,4747528000.0,421900000.0,423891000.0,430453000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2010.0,Q2YTD,2009-02-01,2009-08-01,,1.13,1.13,0.24,1.1,,281546000.0,470775000.0,470775000.0,,470775000.0,6807648000.0,9101752000.0,,1525933000.0,6807648000.0,2294104000.0,15850000.0,1525933000.0,768171000.0,-15850000.0,752321000.0,9101752000.0,421900000.0,423891000.0,430453000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2010.0,Q1,2009-02-01,2009-05-02,2010-05-28 13:39:25+00:00,0.51,0.51,0.12,0.49,,130006000.0,209214000.0,209214000.0,,209214000.0,3273346000.0,4354224000.0,,735057000.0,3273346000.0,1080878000.0,6601000.0,735057000.0,345821000.0,-6601000.0,339220000.0,4354224000.0,410200000.0,412544000.0,431920000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2011.0,Q4,2010-10-31,2011-01-29,,-0.83,-0.83,-0.15,-0.81,,203524000.0,334414000.0,330803000.0,3611000.0,334414000.0,4666173000.0,6331726000.0,,1122081000.0,4666173000.0,1665553000.0,9145000.0,1122081000.0,543472000.0,-9145000.0,534327000.0,6331726000.0,799500000.0,800291000.0,812826000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2011.0,FY,2010-01-31,2011-01-29,2013-04-02 15:52:29+00:00,1.68,1.68,0.3,1.65,,824562000.0,1343141000.0,1339530000.0,3611000.0,1343141000.0,16040461000.0,21942193000.0,-11550000.0,3710053000.0,16040461000.0,5901732000.0,39137000.0,3698503000.0,2203229000.0,-39137000.0,2164092000.0,21942193000.0,799500000.0,800291000.0,812826000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2011.0,Q3YTD,2010-01-31,2010-10-30,,2.51,2.51,0.45,2.46,,621038000.0,1008727000.0,1008727000.0,,1008727000.0,11374288000.0,15610467000.0,-11550000.0,2587972000.0,11374288000.0,4236179000.0,29992000.0,2576422000.0,1659757000.0,-29992000.0,1629765000.0,15610467000.0,396100000.0,397217000.0,403040000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2011.0,Q3TTM,2009-11-01,2010-10-30,,2.01,2.01,0.33,1.97,,859276000.0,1403725000.0,1403725000.0,,1403725000.0,15732890000.0,21552213000.0,-11550000.0,3526886000.0,15732890000.0,5819323000.0,40986000.0,3515336000.0,2303987000.0,-40986000.0,2263001000.0,21552213000.0,396100000.0,397217000.0,403040000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2011.0,Q3,2010-08-01,2010-10-30,2011-12-01 15:05:19+00:00,0.94,0.94,0.15,0.92,,224808000.0,372309000.0,372309000.0,,372309000.0,4006404000.0,5525847000.0,,912808000.0,4006404000.0,1519443000.0,9518000.0,912808000.0,606635000.0,-9518000.0,597117000.0,5525847000.0,396100000.0,397217000.0,403040000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2011.0,Q2YTD,2010-01-31,2010-07-31,,1.57,1.57,0.3,1.54,,396230000.0,636418000.0,636418000.0,,636418000.0,7367884000.0,10084620000.0,-11550000.0,1675164000.0,7367884000.0,2716736000.0,20474000.0,1663614000.0,1053122000.0,-20474000.0,1032648000.0,10084620000.0,401300000.0,403708000.0,409742000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2011.0,Q2TTM,2009-08-02,2010-07-31,,1.89,1.89,0.3,1.86,,852674000.0,1379215000.0,1379215000.0,,1379215000.0,15528665000.0,21271312000.0,-11550000.0,3478175000.0,15528665000.0,5742647000.0,44133000.0,3466625000.0,2276022000.0,-44133000.0,2231889000.0,21271312000.0,401300000.0,403708000.0,409742000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2011.0,Q2,2010-05-02,2010-07-31,2011-08-26 12:31:26+00:00,0.76,0.76,0.15,0.74,,191363000.0,304984000.0,304984000.0,,304984000.0,3719210000.0,5068080000.0,-11550000.0,853801000.0,3719210000.0,1348870000.0,10272000.0,842251000.0,506619000.0,-10272000.0,496347000.0,5068080000.0,401300000.0,403708000.0,409742000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2011.0,Q1TTM,2009-05-03,2010-05-01,,1.75,1.75,0.27,1.73,,812851000.0,1335792000.0,1335792000.0,,1335792000.0,15343757000.0,20950760000.0,,3415250000.0,15343757000.0,5607003000.0,43110000.0,3415250000.0,2191753000.0,-43110000.0,2148643000.0,20950760000.0,409200000.0,408053000.0,414400000.0
TJX Companies Inc,TJX,V167QI9I69W364E2DY52,109198,2011.0,Q1,2010-01-31,2010-05-01,2011-05-27 12:48:35+00:00,0.81,0.81,0.15,0.8,,204867000.0,331434000.0,331434000.0,,331434000.0,3648674000.0,5016540000.0,,821363000.0,3648674000.0,1367866000.0,10202000.0,821363000.0,546503000.0,-10202000.0,536301000.0,5016540000.0,409200000.0,408053000.0,414400000.0
