company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Sears Holdings Corp,SHLD,549300KWWR4P1RYUVG65,1310067,2008.0,FY,2008-02-03,2009-01-31,2011-03-11 06:14:55+00:00,0.42,0.42,981000000.0,0.42,360000000.0,85000000.0,99000000.0,99000000.0,,53000000.0,46000000.0,34118000000.0,46770000000.0,108000000.0,-51000000.0,11060000000.0,34118000000.0,12652000000.0,272000000.0,46000000.0,12350000000.0,302000000.0,-118000000.0,184000000.0,46770000000.0,126200000.0,127000000.0,127000000.0
Sears Holdings Corp,SHLD,549300KWWR4P1RYUVG65,1310067,2009.0,FY,2009-02-01,2010-01-30,2011-03-11 06:14:55+00:00,1.99,1.99,926000000.0,1.99,,123000000.0,297000000.0,297000000.0,,235000000.0,62000000.0,31824000000.0,44043000000.0,-61000000.0,-74000000.0,10654000000.0,31824000000.0,12219000000.0,265000000.0,33000000.0,11506000000.0,713000000.0,-293000000.0,420000000.0,44043000000.0,118100000.0,117800000.0,117900000.0
Sears Holdings Corp,SHLD,549300KWWR4P1RYUVG65,1310067,2009.0,Q3,2009-08-02,2009-10-31,2010-11-18 06:13:50+00:00,-1.09,-1.09,224000000.0,-1.09,,-66000000.0,-112000000.0,-112000000.0,,-127000000.0,15000000.0,7419000000.0,10190000000.0,-5000000.0,-11000000.0,2664000000.0,7419000000.0,2771000000.0,72000000.0,5000000.0,2877000000.0,-106000000.0,-72000000.0,-178000000.0,10190000000.0,116900000.0,116500000.0,116500000.0
Sears Holdings Corp,SHLD,549300KWWR4P1RYUVG65,1310067,2009.0,Q2,2009-05-03,2009-08-01,2010-08-20 06:04:50+00:00,-0.79,-0.79,228000000.0,-0.79,,-52000000.0,-86000000.0,-86000000.0,,-94000000.0,8000000.0,7756000000.0,10551000000.0,-31000000.0,-5000000.0,2630000000.0,7756000000.0,2795000000.0,63000000.0,14000000.0,2853000000.0,-58000000.0,-80000000.0,-138000000.0,10551000000.0,119100000.0,119000000.0,119000000.0
Sears Holdings Corp,SHLD,549300KWWR4P1RYUVG65,1310067,2010.0,Q4,2010-10-31,2011-01-29,,3.38,3.38,208000000.0,3.38,,178000000.0,382000000.0,371000000.0,11000000.0,374000000.0,8000000.0,9028000000.0,12482000000.0,-5000000.0,-14000000.0,2634000000.0,9028000000.0,3454000000.0,80000000.0,8000000.0,2828000000.0,626000000.0,-77000000.0,549000000.0,12482000000.0,111800000.0,111500000.0,111700000.0
Sears Holdings Corp,SHLD,549300KWWR4P1RYUVG65,1310067,2010.0,FY,2010-01-31,2011-01-29,2013-03-19 19:43:54+00:00,1.19,1.19,869000000.0,1.19,0.0,27000000.0,150000000.0,139000000.0,11000000.0,133000000.0,17000000.0,31000000000.0,42664000000.0,-14000000.0,-67000000.0,10425000000.0,31000000000.0,11664000000.0,293000000.0,36000000.0,11227000000.0,437000000.0,-271000000.0,166000000.0,42664000000.0,111800000.0,111500000.0,111700000.0
Sears Holdings Corp,SHLD,549300KWWR4P1RYUVG65,1310067,2010.0,Q3YTD,2010-01-31,2010-10-30,,-2.19,-2.19,661000000.0,-2.19,,-151000000.0,-232000000.0,-232000000.0,,-241000000.0,9000000.0,21972000000.0,30182000000.0,-9000000.0,-53000000.0,7791000000.0,21972000000.0,8210000000.0,213000000.0,28000000.0,8399000000.0,-189000000.0,-194000000.0,-383000000.0,30182000000.0,109900000.0,110100000.0,110100000.0
Sears Holdings Corp,SHLD,549300KWWR4P1RYUVG65,1310067,2010.0,Q3,2010-08-01,2010-10-30,2010-11-18 06:13:50+00:00,-1.98,-1.98,219000000.0,-1.98,,-147000000.0,-215000000.0,-215000000.0,,-218000000.0,3000000.0,7121000000.0,9678000000.0,,,2630000000.0,7121000000.0,2557000000.0,77000000.0,7000000.0,2849000000.0,-292000000.0,-70000000.0,-362000000.0,9678000000.0,109900000.0,110100000.0,110100000.0
Sears Holdings Corp,SHLD,549300KWWR4P1RYUVG65,1310067,2010.0,Q2YTD,2010-01-31,2010-07-31,,-0.21,-0.21,442000000.0,-0.21,,-4000000.0,-17000000.0,-17000000.0,,-23000000.0,6000000.0,14851000000.0,20504000000.0,-9000000.0,-53000000.0,5161000000.0,14851000000.0,5653000000.0,136000000.0,21000000.0,5550000000.0,103000000.0,-124000000.0,-21000000.0,20504000000.0,112600000.0,111400000.0,111400000.0
Sears Holdings Corp,SHLD,549300KWWR4P1RYUVG65,1310067,2010.0,Q2,2010-05-02,2010-07-31,2010-08-20 06:04:50+00:00,-0.35,-0.35,221000000.0,-0.35,,-19000000.0,-34000000.0,-34000000.0,,-39000000.0,5000000.0,7635000000.0,10458000000.0,5000000.0,-9000000.0,2606000000.0,7635000000.0,2823000000.0,69000000.0,6000000.0,2818000000.0,5000000.0,-58000000.0,-53000000.0,10458000000.0,112600000.0,111400000.0,111400000.0
