company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,otherrevenue,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Pinnacle West Capital Corp,PNW,TWSEY0NEDUDCKS27AH81,764622,2008.0,FY,2008-01-01,2008-12-31,2011-02-18 08:04:00+00:00,2.4,2.4,2.1,391190000.0,2.4,95544000.0,259620000.0,278335000.0,-18715000.0,242125000.0,17495000.0,2094965000.0,3194280000.0,,-22035000.0,124853000.0,25407000.0,26032000.0,2094965000.0,1124722000.0,205369000.0,18636000.0,542075000.0,582647000.0,-208768000.0,373879000.0,3219687000.0,100900000.0,100691000.0,100965000.0
Pinnacle West Capital Corp,PNW,TWSEY0NEDUDCKS27AH81,764622,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 08:03:21+00:00,0.68,0.68,2.1,407354000.0,0.67,138551000.0,72764000.0,256048000.0,-183284000.0,68330000.0,4434000.0,2000920000.0,3149187000.0,,-9141000.0,123270000.0,4469000.0,5984000.0,2000920000.0,1152736000.0,227387000.0,14999000.0,536608000.0,616128000.0,-221529000.0,394599000.0,3153656000.0,100500000.0,101161000.0,101264000.0
Pinnacle West Capital Corp,PNW,TWSEY0NEDUDCKS27AH81,764622,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 08:01:58+00:00,1.84,1.84,0.525,103008000.0,1.84,109778000.0,191023000.0,203328000.0,-12305000.0,186652000.0,4371000.0,579573000.0,1083750000.0,,2452000.0,34015000.0,5286000.0,5033000.0,579573000.0,509463000.0,58950000.0,2197000.0,142056000.0,367407000.0,-54301000.0,313106000.0,1089036000.0,101400000.0,101223000.0,101385000.0
Pinnacle West Capital Corp,PNW,TWSEY0NEDUDCKS27AH81,764622,2009.0,Q2,2009-04-01,2009-06-30,2010-08-03 08:03:15+00:00,0.68,0.68,0.525,100980000.0,0.68,41000000.0,72846000.0,81030000.0,-8184000.0,68347000.0,4499000.0,507244000.0,812510000.0,,2065000.0,32766000.0,6078000.0,5704000.0,507244000.0,311344000.0,56659000.0,4730000.0,139450000.0,171894000.0,-49864000.0,122030000.0,818588000.0,100500000.0,101109000.0,101193000.0
Pinnacle West Capital Corp,PNW,TWSEY0NEDUDCKS27AH81,764622,2010.0,Q4,2010-10-01,2010-12-31,,0.12,0.12,0.53,106637000.0,0.12,-6633000.0,12501000.0,7726000.0,4775000.0,7350000.0,5151000.0,452836000.0,662147000.0,,1268000.0,34394000.0,-35183000.0,-19109000.0,452836000.0,174128000.0,58030000.0,5649000.0,121922000.0,52206000.0,-51113000.0,1093000.0,626964000.0,106700000.0,106573000.0,107137785.0
Pinnacle West Capital Corp,PNW,TWSEY0NEDUDCKS27AH81,764622,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 08:06:01+00:00,3.28,3.28,2.1,414479000.0,3.27,160869000.0,370209000.0,344851000.0,25358000.0,350053000.0,20156000.0,1917000000.0,3189199000.0,,-3534000.0,135328000.0,,7509000.0,1917000000.0,1272199000.0,227695000.0,22066000.0,557316000.0,714883000.0,-209163000.0,505720000.0,3189199000.0,106700000.0,106573000.0,107137785.0
Pinnacle West Capital Corp,PNW,TWSEY0NEDUDCKS27AH81,764622,2010.0,Q3,2010-07-01,2010-09-30,2010-10-28 08:01:58+00:00,2.15,2.15,0.0,104194000.0,2.14,123486000.0,239039000.0,231828000.0,7211000.0,233920000.0,5119000.0,575373000.0,1116211000.0,,493000.0,37528000.0,22874000.0,18365000.0,575373000.0,563712000.0,54328000.0,5524000.0,160087000.0,403625000.0,-48311000.0,355314000.0,1139085000.0,108800000.0,108632000.0,109094000.0
Pinnacle West Capital Corp,PNW,TWSEY0NEDUDCKS27AH81,764622,2010.0,Q3YTD,2010-01-01,2010-09-30,,3.16,3.16,1.58,307842000.0,3.15,167502000.0,357708000.0,337125000.0,20583000.0,342703000.0,15005000.0,1464164000.0,2527052000.0,,-4802000.0,100934000.0,35183000.0,26618000.0,1464164000.0,1098071000.0,169665000.0,16417000.0,435394000.0,662677000.0,-158050000.0,504627000.0,2562235000.0,108800000.0,108632000.0,109094000.0
Pinnacle West Capital Corp,PNW,TWSEY0NEDUDCKS27AH81,764622,2010.0,Q2,2010-04-01,2010-06-30,2011-08-02 08:02:14+00:00,1.07,1.07,1.05,102995000.0,1.07,51188000.0,119566000.0,93314000.0,26252000.0,114797000.0,4769000.0,465409000.0,799416000.0,,-4707000.0,31682000.0,3379000.0,1325000.0,465409000.0,337386000.0,57679000.0,5504000.0,136002000.0,201384000.0,-56882000.0,144502000.0,802795000.0,107300000.0,107355000.0,107764000.0
Pinnacle West Capital Corp,PNW,TWSEY0NEDUDCKS27AH81,764622,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.01,1.01,1.58,203648000.0,1.01,44016000.0,118669000.0,105297000.0,13372000.0,108783000.0,9886000.0,888791000.0,1410841000.0,,-5295000.0,63406000.0,12309000.0,8253000.0,888791000.0,534359000.0,115337000.0,10893000.0,275307000.0,259052000.0,-109739000.0,149313000.0,1423150000.0,107300000.0,107355000.0,107764000.0
Pinnacle West Capital Corp,PNW,TWSEY0NEDUDCKS27AH81,764622,2010.0,Q1,2010-01-01,2010-03-31,2011-04-29 08:06:43+00:00,-0.06,-0.06,0.525,100653000.0,-0.06,-7172000.0,-897000.0,11983000.0,-12880000.0,-6014000.0,5117000.0,423382000.0,611425000.0,,-588000.0,31724000.0,8930000.0,6928000.0,423382000.0,196973000.0,57658000.0,5389000.0,139305000.0,57668000.0,-52857000.0,4811000.0,620355000.0,100200000.0,101474000.0,101474000.0
Pinnacle West Capital Corp,PNW,TWSEY0NEDUDCKS27AH81,764622,2011.0,Q4,2011-10-01,2011-12-31,,0.11,0.11,0.53,107486000.0,0.12,7019000.0,19990000.0,18501000.0,1489000.0,12564000.0,7426000.0,442687000.0,670687000.0,,-2091000.0,35406000.0,-13523000.0,-5773000.0,442687000.0,214477000.0,54757000.0,5010000.0,137119000.0,77358000.0,-51838000.0,25520000.0,657164000.0,109200000.0,109053000.0,109864000.0
