company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 16:59:22+00:00,0.0,216000000.0,0.0,-20000000.0,-180000000.0,10000000.0,107000000.0,-77000000.0,-186000000.0,422000000.0,-77000000.0,-186000000.0,422000000.0,139000000.0,330000000.0,330000000.0,56000000.0,0.0,-27000000.0,,-65000000.0,,-174000000.0,-94000000.0,-35000000.0,,15000000.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2009.0,Q4,2009-10-01,2009-12-31,,-22000000.0,52000000.0,,,407000000.0,14000000.0,76000000.0,-465000000.0,-90000000.0,576000000.0,-465000000.0,-90000000.0,576000000.0,21000000.0,107000000.0,107000000.0,10000000.0,,4000000.0,,-34000000.0,,-72000000.0,-521000000.0,,,
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 12:24:06+00:00,-22000000.0,194000000.0,,8000000.0,-73000000.0,23000000.0,482000000.0,-701000000.0,-200000000.0,756000000.0,-701000000.0,-200000000.0,756000000.0,-137000000.0,450000000.0,450000000.0,185000000.0,,,,-87000000.0,,-180000000.0,-1115000000.0,-4000000.0,,2000000.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2009.0,Q3,2009-07-01,2009-09-30,,,49000000.0,,1000000.0,50000000.0,5000000.0,10000000.0,-580000000.0,-32000000.0,343000000.0,-580000000.0,-32000000.0,343000000.0,-268000000.0,141000000.0,141000000.0,103000000.0,,,,-26000000.0,,-33000000.0,-569000000.0,,,1000000.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 15:54:34+00:00,,142000000.0,,8000000.0,-480000000.0,9000000.0,406000000.0,-236000000.0,-110000000.0,180000000.0,-236000000.0,-110000000.0,180000000.0,-158000000.0,343000000.0,343000000.0,175000000.0,,-4000000.0,,-53000000.0,,-108000000.0,-594000000.0,-4000000.0,,2000000.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-06 14:59:35+00:00,,93000000.0,,7000000.0,-530000000.0,4000000.0,396000000.0,344000000.0,-78000000.0,-163000000.0,344000000.0,-78000000.0,-163000000.0,110000000.0,202000000.0,202000000.0,72000000.0,,-4000000.0,,-27000000.0,,-75000000.0,-25000000.0,-4000000.0,,1000000.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2010.0,Q4,2010-10-01,2010-12-31,,,44000000.0,7000000.0,-1000000.0,394000000.0,7000000.0,-148000000.0,-385000000.0,-117000000.0,551000000.0,-385000000.0,-117000000.0,551000000.0,48000000.0,80000000.0,80000000.0,33000000.0,-1000000.0,-3000000.0,,-35000000.0,,-133000000.0,-58000000.0,-150000000.0,,12000000.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 14:30:12+00:00,0.0,172000000.0,7000000.0,-6000000.0,-190000000.0,13000000.0,1023000000.0,-299000000.0,-281000000.0,590000000.0,-299000000.0,-281000000.0,590000000.0,4000000.0,452000000.0,452000000.0,156000000.0,-169000000.0,0.0,,-112000000.0,,-320000000.0,-799000000.0,-255000000.0,,32000000.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2010.0,Q3TTM,2009-10-01,2010-09-30,,-22000000.0,180000000.0,,-5000000.0,-177000000.0,20000000.0,1247000000.0,-379000000.0,-254000000.0,615000000.0,-379000000.0,-254000000.0,615000000.0,-23000000.0,479000000.0,479000000.0,133000000.0,-168000000.0,7000000.0,,-111000000.0,,-259000000.0,-1262000000.0,-105000000.0,,20000000.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2010.0,Q3,2010-07-01,2010-09-30,,,40000000.0,,19000000.0,-2000000.0,2000000.0,425000000.0,-170000000.0,-79000000.0,233000000.0,-170000000.0,-79000000.0,233000000.0,3000000.0,161000000.0,161000000.0,34000000.0,-168000000.0,,,-28000000.0,,-83000000.0,-301000000.0,-100000000.0,,4000000.0
