company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 16:59:22+00:00,1.42,1.42,216000000.0,1.39,6000000.0,112000000.0,330000000.0,330000000.0,226000000.0,104000000.0,6885000000.0,8305000000.0,0.0,-21000000.0,25000000.0,21000000.0,396000000.0,6885000000.0,1420000000.0,304000000.0,11000000.0,664000000.0,756000000.0,-314000000.0,442000000.0,8305000000.0,159200000.0,159200000.0,162600000.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 14:59:35+00:00,0.66,0.66,46000000.0,0.65,-1000000.0,44000000.0,139000000.0,139000000.0,105000000.0,34000000.0,1676000000.0,2055000000.0,1000000.0,0.0,,1000000.0,90000000.0,1676000000.0,379000000.0,62000000.0,1000000.0,136000000.0,243000000.0,-61000000.0,182000000.0,2055000000.0,159100000.0,158920842.0,161728278.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2010.0,Q4,2010-10-01,2010-12-31,,0.28,0.28,44000000.0,0.28,,22000000.0,80000000.0,80000000.0,45000000.0,35000000.0,1617000000.0,1949000000.0,3000000.0,,31000000.0,1000000.0,104000000.0,1617000000.0,332000000.0,56000000.0,3000000.0,180000000.0,152000000.0,-53000000.0,99000000.0,1949000000.0,159400000.0,159400000.0,159400000.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 14:30:12+00:00,2.03,2.03,172000000.0,2.0,-18000000.0,165000000.0,452000000.0,452000000.0,324000000.0,128000000.0,6519000000.0,7941000000.0,3000000.0,4000000.0,46000000.0,42000000.0,360000000.0,6519000000.0,1422000000.0,219000000.0,9000000.0,602000000.0,820000000.0,-206000000.0,614000000.0,7941000000.0,159400000.0,159400000.0,159400000.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.75,1.75,128000000.0,1.72,-18000000.0,143000000.0,372000000.0,372000000.0,279000000.0,93000000.0,4902000000.0,5992000000.0,,4000000.0,15000000.0,41000000.0,256000000.0,4902000000.0,1090000000.0,163000000.0,6000000.0,422000000.0,668000000.0,-153000000.0,515000000.0,5992000000.0,159500000.0,159181133.0,161674329.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2010.0,Q3,2010-07-01,2010-09-30,2011-11-07 15:47:00+00:00,0.79,0.79,40000000.0,0.78,-11000000.0,47000000.0,161000000.0,161000000.0,126000000.0,35000000.0,1788000000.0,2205000000.0,0.0,2000000.0,15000000.0,17000000.0,82000000.0,1788000000.0,417000000.0,71000000.0,3000000.0,143000000.0,274000000.0,-66000000.0,208000000.0,2205000000.0,159500000.0,159181133.0,161674329.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.96,0.96,88000000.0,0.94,-7000000.0,96000000.0,211000000.0,211000000.0,153000000.0,58000000.0,3114000000.0,3787000000.0,,2000000.0,,24000000.0,174000000.0,3114000000.0,673000000.0,92000000.0,3000000.0,279000000.0,394000000.0,-87000000.0,307000000.0,3787000000.0,160000000.0,160961879.0,163292749.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 12:35:20+00:00,0.7,0.7,44000000.0,0.69,-6000000.0,57000000.0,144000000.0,144000000.0,112000000.0,32000000.0,1631000000.0,2010000000.0,,0.0,,2000000.0,95000000.0,1631000000.0,379000000.0,45000000.0,2000000.0,135000000.0,244000000.0,-43000000.0,201000000.0,2010000000.0,160000000.0,160961879.0,163292749.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2010.0,Q1,2010-01-01,2010-03-31,2011-05-04 16:53:46+00:00,0.26,0.26,44000000.0,0.25,-1000000.0,39000000.0,67000000.0,67000000.0,41000000.0,26000000.0,1483000000.0,1777000000.0,,2000000.0,,22000000.0,79000000.0,1483000000.0,294000000.0,47000000.0,1000000.0,144000000.0,150000000.0,-44000000.0,106000000.0,1777000000.0,157700000.0,160714929.0,163100074.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2011.0,Q4,2011-10-01,2011-12-31,,0.05,0.05,44000000.0,0.06,8000000.0,12000000.0,39000000.0,39000000.0,8000000.0,31000000.0,1725000000.0,2058000000.0,2000000.0,-2000000.0,28000000.0,50000000.0,97000000.0,1725000000.0,333000000.0,58000000.0,3000000.0,227000000.0,106000000.0,-57000000.0,49000000.0,2058000000.0,151700000.0,151700000.0,151700000.0
Crown Holdings Inc,CCK,NYLWZIOY8PUNIT4JOE22,1219601,2011.0,FY,2011-01-01,2011-12-31,2014-03-03 12:39:38+00:00,1.86,1.86,176000000.0,1.83,6000000.0,194000000.0,396000000.0,396000000.0,282000000.0,114000000.0,7120000000.0,8644000000.0,3000000.0,-2000000.0,28000000.0,77000000.0,395000000.0,7120000000.0,1524000000.0,264000000.0,11000000.0,682000000.0,842000000.0,-255000000.0,587000000.0,8644000000.0,151700000.0,151700000.0,151700000.0
