company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
MasterCard Inc,MA,AR5L2ODV9HN37376R084,1141391,2007.0,FY,2007-01-01,2007-12-31,2010-02-18 13:20:56+00:00,,97642000.0,46720000.0,-110542000.0,0.0,-657507000.0,315141000.0,769861000.0,-657507000.0,315141000.0,769861000.0,474215000.0,1085886000.0,1085886000.0,-303125000.0,17027000.0,,-74002000.0,-3578357000.0,-156422000.0,,-600532000.0,4049920000.0
MasterCard Inc,MA,AR5L2ODV9HN37376R084,1141391,2008.0,FY,2008-01-01,2008-12-31,2010-02-18 13:20:56+00:00,,112006000.0,-17636000.0,1074574000.0,,-751378000.0,201651000.0,413228000.0,-751378000.0,201651000.0,413228000.0,-154135000.0,-253915000.0,-253915000.0,-519437000.0,57349000.0,,-79259000.0,-604819000.0,-170273000.0,-80000000.0,-649468000.0,976743000.0
MasterCard Inc,MA,AR5L2ODV9HN37376R084,1141391,2008.0,Q4,2008-10-01,2008-12-31,,,30050000.0,1619000.0,-887975000.0,,-20570000.0,-29990000.0,-517356000.0,-20570000.0,-29990000.0,-517356000.0,-566297000.0,239442000.0,239442000.0,101127000.0,-887000.0,,-19683000.0,-106990000.0,-47756000.0,,,124756000.0
MasterCard Inc,MA,AR5L2ODV9HN37376R084,1141391,2008.0,Q3,2008-07-01,2008-09-30,,,28742000.0,-59392000.0,462661000.0,,-9947000.0,-16200000.0,387785000.0,-9947000.0,-16200000.0,387785000.0,302246000.0,-193582000.0,-193582000.0,89964000.0,9751000.0,,-19698000.0,-75090000.0,-54772000.0,,,113662000.0
MasterCard Inc,MA,AR5L2ODV9HN37376R084,1141391,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-03 15:59:24+00:00,,81956000.0,-19255000.0,1962549000.0,,-730808000.0,231641000.0,930584000.0,-730808000.0,231641000.0,930584000.0,412162000.0,-493357000.0,-493357000.0,-620564000.0,58236000.0,,-59576000.0,-497829000.0,-122517000.0,-80000000.0,-649468000.0,851987000.0
MasterCard Inc,MA,AR5L2ODV9HN37376R084,1141391,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-30 17:59:46+00:00,,53214000.0,40137000.0,1499888000.0,,-720861000.0,247841000.0,542799000.0,-720861000.0,247841000.0,542799000.0,109916000.0,-299775000.0,-299775000.0,-710528000.0,48485000.0,,-39878000.0,-422739000.0,-67745000.0,-80000000.0,-649468000.0,738325000.0
MasterCard Inc,MA,AR5L2ODV9HN37376R084,1141391,2009.0,Q4,2009-10-01,2009-12-31,,,38050000.0,-11709000.0,-208566000.0,,-10021000.0,-523584000.0,284083000.0,-10021000.0,-523584000.0,284083000.0,-261231000.0,294771000.0,294771000.0,159828000.0,9580000.0,,-19981000.0,-529736000.0,-43569000.0,380000.0,,49721000.0
MasterCard Inc,MA,AR5L2ODV9HN37376R084,1141391,2009.0,FY,2009-01-01,2009-12-31,2012-02-16 12:23:37+00:00,,141000000.0,21000000.0,-675000000.0,,-185000000.0,-664000000.0,1378000000.0,-185000000.0,-664000000.0,1378000000.0,550000000.0,1463000000.0,1463000000.0,449000000.0,43000000.0,,-79000000.0,-658000000.0,-140000000.0,-149000000.0,0.0,134000000.0
MasterCard Inc,MA,AR5L2ODV9HN37376R084,1141391,2009.0,Q3YTD,2009-01-01,2009-09-30,2009-11-03 15:59:24+00:00,,102950000.0,32709000.0,-466434000.0,,-174979000.0,-140416000.0,1093917000.0,-174979000.0,-140416000.0,1093917000.0,811231000.0,1168229000.0,1168229000.0,289172000.0,33420000.0,,-59019000.0,-128264000.0,-96431000.0,-149380000.0,0.0,84279000.0
MasterCard Inc,MA,AR5L2ODV9HN37376R084,1141391,2009.0,Q3TTM,2008-10-01,2009-09-30,,,133000000.0,34328000.0,-1354409000.0,,-195549000.0,-170406000.0,576561000.0,-195549000.0,-170406000.0,576561000.0,244934000.0,1407671000.0,1407671000.0,390299000.0,32533000.0,,-78702000.0,-235254000.0,-144187000.0,-149380000.0,,209035000.0
