company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Coty Inc,COTY,549300BO9IWPF3S48F93,1024305,2012.0,FY,2011-07-01,2012-06-30,2014-08-28 17:09:21+00:00,-159100000.0,67400000.0,76400000.0,246000000.0,,-59100000.0,-120400000.0,127000000.0,2852800000.0,-97700000.0,-333900000.0,589300000.0,-97700000.0,-333900000.0,589300000.0,98600000.0,-293300000.0,-293300000.0,757000000.0,-16800000.0,,-29800000.0,,-177400000.0,-3030900000.0,0.0,2600000.0
Coty Inc,COTY,549300BO9IWPF3S48F93,1024305,2013.0,FY,2012-07-01,2013-06-30,2015-08-17 17:06:48+00:00,-61000000.0,84000000.0,71000000.0,259600000.0,,8000000.0,-138200000.0,7900000.0,2441600000.0,69000000.0,-229900000.0,463900000.0,69000000.0,-229900000.0,463900000.0,311000000.0,201900000.0,201900000.0,140600000.0,1500000.0,0.0,-91400000.0,,-193900000.0,-2283100000.0,-7500000.0,25000000.0
Coty Inc,COTY,549300BO9IWPF3S48F93,1024305,2013.0,Q4,2013-04-01,2013-06-30,,-4800000.0,17300000.0,22700000.0,68700000.0,,8700000.0,51600000.0,1500000.0,1498100000.0,72600000.0,-45200000.0,101400000.0,72600000.0,-45200000.0,101400000.0,137500000.0,-56200000.0,-56200000.0,37300000.0,2600000.0,,-11900000.0,,-40400000.0,-1411600000.0,-6100000.0,
Coty Inc,COTY,549300BO9IWPF3S48F93,1024305,2013.0,Q3,2013-01-01,2013-03-31,,-30000000.0,24400000.0,12300000.0,65900000.0,,-22300000.0,-92200000.0,4100000.0,185300000.0,64400000.0,-78600000.0,67300000.0,64400000.0,-78600000.0,67300000.0,30800000.0,29900000.0,29900000.0,63700000.0,-2000000.0,,-4000000.0,,-48600000.0,-119000000.0,,
Coty Inc,COTY,549300BO9IWPF3S48F93,1024305,2013.0,Q3YTD,2012-07-01,2013-03-31,2014-05-14 16:10:21+00:00,-56200000.0,66700000.0,48300000.0,190900000.0,,-700000.0,-189800000.0,6400000.0,943500000.0,-3600000.0,-184700000.0,362500000.0,-3600000.0,-184700000.0,362500000.0,173500000.0,258100000.0,258100000.0,103300000.0,-1100000.0,,-79500000.0,,-153500000.0,-871500000.0,-1400000.0,25000000.0
Coty Inc,COTY,549300BO9IWPF3S48F93,1024305,2013.0,Q2,2012-10-01,2012-12-31,,-18200000.0,31900000.0,24700000.0,63600000.0,,5000000.0,124600000.0,,515900000.0,-103100000.0,-38100000.0,319900000.0,-103100000.0,-38100000.0,319900000.0,183700000.0,133400000.0,133400000.0,-1700000.0,100000.0,,-63000000.0,,-44900000.0,-554700000.0,-1400000.0,25000000.0
Coty Inc,COTY,549300BO9IWPF3S48F93,1024305,2013.0,Q2YTD,2012-07-01,2012-12-31,2014-02-14 16:38:37+00:00,-26200000.0,42300000.0,36000000.0,125000000.0,,21600000.0,-97600000.0,2300000.0,758200000.0,-68000000.0,-106100000.0,295200000.0,-68000000.0,-106100000.0,295200000.0,142700000.0,228200000.0,228200000.0,39600000.0,900000.0,,-75500000.0,,-104900000.0,-752500000.0,-1400000.0,25000000.0
Coty Inc,COTY,549300BO9IWPF3S48F93,1024305,2013.0,Q1,2012-07-01,2012-09-30,2013-11-07 17:35:32+00:00,-8000000.0,10400000.0,11300000.0,61400000.0,,16600000.0,-222200000.0,2300000.0,242300000.0,35100000.0,-68000000.0,-24700000.0,35100000.0,-68000000.0,-24700000.0,-41000000.0,94800000.0,94800000.0,41300000.0,800000.0,,-12500000.0,,-60000000.0,-197800000.0,,
Coty Inc,COTY,549300BO9IWPF3S48F93,1024305,2014.0,FY,2013-07-01,2014-06-30,2016-08-18 17:08:24+00:00,-59500000.0,84100000.0,63700000.0,250700000.0,,44400000.0,-49800000.0,25700000.0,1414400000.0,-5700000.0,-257600000.0,536500000.0,-5700000.0,-257600000.0,536500000.0,317600000.0,-64200000.0,-64200000.0,399800000.0,-7600000.0,0.0,-114200000.0,0.0,-201500000.0,-754700000.0,-569300000.0,3400000.0
Coty Inc,COTY,549300BO9IWPF3S48F93,1024305,2014.0,Q4,2014-04-01,2014-06-30,,,24800000.0,23200000.0,62500000.0,,3800000.0,29500000.0,13500000.0,804000000.0,26900000.0,-33300000.0,93400000.0,26900000.0,-33300000.0,93400000.0,90800000.0,-12800000.0,-12800000.0,14200000.0,-10000000.0,,-21300000.0,,-36300000.0,-257900000.0,-501400000.0,3000000.0
