company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Acuity Brands Inc,AYI,,1144215,2009.0,FY,2008-09-01,2009-08-31,2011-10-28 09:26:34+00:00,-162100000.0,40500000.0,29100000.0,35700000.0,,-7100000.0,-39600000.0,3000000.0,0.0,-180600000.0,-183100000.0,92700000.0,,-180600000.0,-183100000.0,92700000.0,-278400000.0,84900000.0,85200000.0,-300000.0,11400000.0,400000.0,,-300000.0,-21600000.0,,-21200000.0,-162400000.0,0.0,,200000.0
Acuity Brands Inc,AYI,,1144215,2010.0,FY,2009-09-01,2010-08-31,2011-10-28 09:26:34+00:00,-22600000.0,32700000.0,30800000.0,36500000.0,,-3100000.0,22700000.0,6500000.0,346500000.0,59200000.0,-44300000.0,160500000.0,0.0,59200000.0,-44300000.0,160500000.0,172300000.0,79600000.0,79000000.0,600000.0,22300000.0,2800000.0,,0.0,-22600000.0,,-21900000.0,-237900000.0,-36100000.0,,200000.0
Acuity Brands Inc,AYI,,1144215,2010.0,Q4,2010-06-01,2010-08-31,,-22600000.0,7700000.0,12900000.0,8800000.0,,400000.0,24300000.0,1600000.0,,-38800000.0,-28600000.0,63500000.0,,-38800000.0,-28600000.0,63500000.0,-3500000.0,27200000.0,27200000.0,,3200000.0,1300000.0,,,-5600000.0,,-6000000.0,,-36100000.0,,
Acuity Brands Inc,AYI,,1144215,2010.0,Q3,2010-02-28,2010-05-31,,,1700000.0,2100000.0,8900000.0,,-2200000.0,17900000.0,2000000.0,,-2500000.0,-6200000.0,49600000.0,,-2500000.0,-6200000.0,49600000.0,38700000.0,21300000.0,20700000.0,600000.0,2100000.0,1200000.0,,,-5700000.0,,-6400000.0,,,,200000.0
Acuity Brands Inc,AYI,,1144215,2010.0,Q3YTD,2009-09-01,2010-05-31,2011-06-29 08:35:02+00:00,,25000000.0,17900000.0,27700000.0,,-3500000.0,-1600000.0,4900000.0,346500000.0,98000000.0,-15700000.0,97000000.0,,98000000.0,-15700000.0,97000000.0,175800000.0,52400000.0,51800000.0,600000.0,19100000.0,1500000.0,,,-17000000.0,,-15900000.0,-237900000.0,,,200000.0
Acuity Brands Inc,AYI,,1144215,2010.0,Q2,2009-12-01,2010-02-28,,,19300000.0,4800000.0,9400000.0,,-1300000.0,-28000000.0,2900000.0,346500000.0,107600000.0,-5200000.0,6400000.0,,107600000.0,-5200000.0,6400000.0,107500000.0,7800000.0,7800000.0,,17200000.0,-600000.0,,,-5700000.0,,-5200000.0,-235500000.0,,,
Acuity Brands Inc,AYI,,1144215,2010.0,Q2YTD,2009-09-01,2010-02-28,2011-03-30 09:03:46+00:00,,23300000.0,15800000.0,18800000.0,,-1300000.0,-19500000.0,2900000.0,346500000.0,100500000.0,-9500000.0,47400000.0,,100500000.0,-9500000.0,47400000.0,137100000.0,31100000.0,31100000.0,,17000000.0,300000.0,,,-11300000.0,,-9500000.0,-237900000.0,,,
Acuity Brands Inc,AYI,,1144215,2010.0,Q1,2009-09-01,2009-11-30,2011-01-10 08:39:36+00:00,,4000000.0,11000000.0,9400000.0,,,8500000.0,,,-7100000.0,-4300000.0,41000000.0,,-7100000.0,-4300000.0,41000000.0,29600000.0,23300000.0,23300000.0,,-200000.0,900000.0,,,-5600000.0,,-4300000.0,-2400000.0,,,
Acuity Brands Inc,AYI,,1144215,2011.0,Q4,2011-06-01,2011-08-31,,-90400000.0,12600000.0,12700000.0,10400000.0,,-1200000.0,28400000.0,700000.0,,-62900000.0,-6000000.0,79500000.0,,-62900000.0,-6000000.0,79500000.0,9400000.0,34200000.0,34200000.0,,6500000.0,3100000.0,90400000.0,,-5700000.0,,-5900000.0,,-61000000.0,,-100000.0
Acuity Brands Inc,AYI,,1144215,2011.0,FY,2010-09-01,2011-08-31,2012-10-26 15:49:03+00:00,-90400000.0,34200000.0,29900000.0,40100000.0,,2400000.0,11600000.0,6500000.0,0.0,-71800000.0,-112500000.0,161100000.0,,-71800000.0,-112500000.0,161100000.0,-20800000.0,105500000.0,105500000.0,0.0,3900000.0,5300000.0,,,-22600000.0,,-23300000.0,0.0,-61000000.0,,1200000.0
Acuity Brands Inc,AYI,,1144215,2011.0,Q3,2011-03-01,2011-05-31,,,5000000.0,9700000.0,10500000.0,,200000.0,16600000.0,500000.0,,-3600000.0,-14200000.0,53000000.0,,-3600000.0,-14200000.0,52900000.0,35300000.0,27000000.0,27000000.0,,-1100000.0,1600000.0,-9900000.0,,-5700000.0,,-5600000.0,,,,1300000.0
Acuity Brands Inc,AYI,,1144215,2011.0,Q3YTD,2010-09-01,2011-05-31,2011-06-29 08:35:02+00:00,,21600000.0,17200000.0,29700000.0,,3600000.0,-16800000.0,5800000.0,,-8900000.0,-106500000.0,81600000.0,,-8900000.0,-106500000.0,81600000.0,-30200000.0,71300000.0,71300000.0,,-2600000.0,2200000.0,-90400000.0,,-16900000.0,,-17400000.0,,,,1300000.0
