company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2007.0,FY,2006-12-31,2007-12-29,2010-02-17 16:00:59+00:00,1.74,1.74,0.45,1.68,35000000.0,282000000.0,,909000000.0,909000000.0,,909000000.0,0.0,7832000000.0,10435000000.0,,-71000000.0,-11000000.0,1293000000.0,7832000000.0,2603000000.0,166000000.0,,1246000000.0,1357000000.0,-166000000.0,1191000000.0,10435000000.0,522400000.0,522400000.0,541100000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2008.0,FY,2007-12-30,2008-12-27,2011-02-15 15:16:03+00:00,2.03,2.03,0.72,1.96,43000000.0,319000000.0,,972000000.0,972000000.0,,964000000.0,8000000.0,8564000000.0,11304000000.0,,-157000000.0,-5000000.0,1342000000.0,8564000000.0,2740000000.0,226000000.0,,1223000000.0,1517000000.0,-226000000.0,1291000000.0,11304000000.0,474900000.0,474900000.0,491800000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2008.0,Q3,2008-06-15,2008-09-06,2009-10-13 14:14:29+00:00,0.6,0.6,0.0,0.58,3000000.0,79000000.0,,285000000.0,285000000.0,,282000000.0,3000000.0,2149000000.0,2842000000.0,,-18000000.0,-8000000.0,305000000.0,2149000000.0,693000000.0,47000000.0,,282000000.0,411000000.0,-47000000.0,364000000.0,2842000000.0,470000000.0,470000000.0,486200000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,Q4,2009-09-06,2009-12-26,,0.45,0.45,0.42,0.44,72000000.0,101000000.0,,218000000.0,218000000.0,,216000000.0,2000000.0,2533000000.0,3365000000.0,,-7000000.0,-17000000.0,409000000.0,2533000000.0,832000000.0,56000000.0,,457000000.0,375000000.0,-56000000.0,319000000.0,3365000000.0,471000000.0,471000000.0,471000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,FY,2008-12-28,2009-12-26,2012-02-21 08:59:16+00:00,2.28,2.28,0.8,2.22,103000000.0,313000000.0,,1083000000.0,1083000000.0,,1071000000.0,12000000.0,8052000000.0,10836000000.0,,-104000000.0,-26000000.0,1221000000.0,8052000000.0,2784000000.0,194000000.0,,1194000000.0,1590000000.0,-194000000.0,1396000000.0,10836000000.0,471000000.0,471000000.0,471000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,Q3YTD,2008-12-28,2009-09-05,,1.83,1.83,0.38,1.78,31000000.0,212000000.0,,865000000.0,865000000.0,,855000000.0,10000000.0,5519000000.0,7471000000.0,,-97000000.0,-9000000.0,812000000.0,5519000000.0,1952000000.0,138000000.0,,737000000.0,1215000000.0,-138000000.0,1077000000.0,7471000000.0,472000000.0,472000000.0,472000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,Q3,2009-06-14,2009-09-05,2010-10-12 15:39:26+00:00,0.71,0.71,0.0,0.69,5000000.0,88000000.0,,340000000.0,340000000.0,,334000000.0,6000000.0,2036000000.0,2778000000.0,,-13000000.0,4000000.0,276000000.0,2036000000.0,742000000.0,42000000.0,,272000000.0,470000000.0,-42000000.0,428000000.0,2778000000.0,472000000.0,472000000.0,472000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,Q2YTD,2008-12-28,2009-06-13,,1.12,1.12,0.38,1.09,26000000.0,124000000.0,,525000000.0,525000000.0,,521000000.0,4000000.0,3483000000.0,4693000000.0,,-84000000.0,-13000000.0,536000000.0,3483000000.0,1210000000.0,96000000.0,,465000000.0,745000000.0,-96000000.0,649000000.0,4693000000.0,466200000.0,466200000.0,481000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,Q2,2009-03-22,2009-06-13,2010-07-20 12:16:35+00:00,0.65,0.65,0.38,0.63,22000000.0,45000000.0,,306000000.0,306000000.0,,303000000.0,3000000.0,1853000000.0,2476000000.0,,-75000000.0,1000000.0,281000000.0,1853000000.0,623000000.0,43000000.0,,229000000.0,394000000.0,-43000000.0,351000000.0,2476000000.0,466200000.0,466200000.0,481000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,Q1,2008-12-28,2009-03-21,2010-04-21 17:21:02+00:00,0.47,0.47,0.0,0.46,4000000.0,79000000.0,,219000000.0,219000000.0,,218000000.0,1000000.0,1630000000.0,2217000000.0,,-9000000.0,-14000000.0,255000000.0,1630000000.0,587000000.0,53000000.0,,236000000.0,351000000.0,-53000000.0,298000000.0,2217000000.0,463800000.0,463800000.0,473900000.0
