company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2007.0,FY,2006-12-31,2007-12-29,2010-02-17 16:00:59+00:00,-4000000.0,542000000.0,117000000.0,13000000.0,82000000.0,1196000000.0,-678000000.0,-416000000.0,1551000000.0,-678000000.0,-416000000.0,1551000000.0,470000000.0,909000000.0,909000000.0,,18000000.0,186000000.0,13000000.0,-273000000.0,,-726000000.0,-377000000.0,-1410000000.0,128000000.0,56000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2008.0,Q4,2008-09-07,2008-12-27,,9000000.0,167000000.0,124000000.0,-11000000.0,16000000.0,-26000000.0,-200000000.0,-241000000.0,374000000.0,-200000000.0,-241000000.0,374000000.0,-78000000.0,206000000.0,206000000.0,,-15000000.0,33000000.0,-1000000.0,-88000000.0,-35000000.0,-352000000.0,-4000000.0,-115000000.0,,14000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2008.0,FY,2007-12-30,2008-12-27,2011-02-15 15:16:03+00:00,,556000000.0,266000000.0,-11000000.0,-18000000.0,654000000.0,-1459000000.0,-641000000.0,1521000000.0,-1459000000.0,-641000000.0,1521000000.0,-590000000.0,972000000.0,972000000.0,,11000000.0,116000000.0,-9000000.0,-322000000.0,-35000000.0,-935000000.0,-279000000.0,-1628000000.0,,72000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2008.0,Q3YTD,2007-12-30,2008-09-06,2009-10-13 14:14:29+00:00,-9000000.0,389000000.0,142000000.0,0.0,-34000000.0,680000000.0,-1259000000.0,-400000000.0,1147000000.0,-1259000000.0,-400000000.0,1147000000.0,-512000000.0,766000000.0,766000000.0,,26000000.0,83000000.0,-8000000.0,-234000000.0,0.0,-583000000.0,-275000000.0,-1513000000.0,,58000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,Q4,2009-09-06,2009-12-26,,,195000000.0,103000000.0,-15000000.0,-239000000.0,-5000000.0,-103000000.0,-222000000.0,269000000.0,-103000000.0,-222000000.0,269000000.0,-71000000.0,218000000.0,218000000.0,,95000000.0,33000000.0,-11000000.0,-99000000.0,-40000000.0,-292000000.0,-32000000.0,,,18000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,FY,2008-12-28,2009-12-26,2012-02-21 08:59:16+00:00,,580000000.0,194000000.0,-15000000.0,-342000000.0,499000000.0,-542000000.0,-727000000.0,1404000000.0,-542000000.0,-727000000.0,1404000000.0,120000000.0,1083000000.0,1083000000.0,,83000000.0,172000000.0,-19000000.0,-362000000.0,-139000000.0,-797000000.0,-851000000.0,0.0,,34000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,Q3TTM,2008-09-07,2009-09-05,,9000000.0,552000000.0,215000000.0,-11000000.0,-87000000.0,478000000.0,-639000000.0,-746000000.0,1509000000.0,-639000000.0,-746000000.0,1509000000.0,113000000.0,1071000000.0,1071000000.0,,-27000000.0,172000000.0,-9000000.0,-351000000.0,-134000000.0,-857000000.0,-823000000.0,-115000000.0,,30000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,Q3,2009-06-14,2009-09-05,,22000000.0,139000000.0,28000000.0,6000000.0,148000000.0,387000000.0,-357000000.0,-149000000.0,640000000.0,-357000000.0,-149000000.0,640000000.0,140000000.0,340000000.0,340000000.0,,13000000.0,19000000.0,-1000000.0,-88000000.0,-43000000.0,-163000000.0,-675000000.0,,,8000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,Q3YTD,2008-12-28,2009-09-05,2010-10-12 15:39:26+00:00,,385000000.0,91000000.0,0.0,-103000000.0,504000000.0,-439000000.0,-505000000.0,1135000000.0,-439000000.0,-505000000.0,1135000000.0,191000000.0,865000000.0,865000000.0,,-12000000.0,139000000.0,-8000000.0,-263000000.0,-99000000.0,-505000000.0,-819000000.0,0.0,,16000000.0
Yum! Brands Inc,YUM,549300JE8XHZZ7OHN517,1041061,2009.0,Q2,2009-03-22,2009-06-13,,-2000000.0,129000000.0,27000000.0,-9000000.0,-200000000.0,113000000.0,17000000.0,-228000000.0,198000000.0,17000000.0,-228000000.0,198000000.0,-22000000.0,306000000.0,306000000.0,,-37000000.0,91000000.0,-5000000.0,-88000000.0,-56000000.0,-199000000.0,-99000000.0,,,7000000.0
