company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofpreferredequity,saleofplantpropertyandequipment
Alliant Energy Corp,LNT,,352541,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 15:15:04+00:00,,44500000.0,,130400000.0,241900000.0,36600000.0,407800000.0,,154300000.0,,173000000.0,131300000.0,1078000000.0,173000000.0,131300000.0,1078000000.0,1382300000.0,306700000.0,306700000.0,77100000.0,,94700000.0,18700000.0,,,,
Alliant Energy Corp,LNT,,352541,2009.0,Q4,2009-10-01,2009-12-31,,-1202600000.0,9200000.0,-140700000.0,167600000.0,73900000.0,-44000000.0,103800000.0,,527100000.0,,-70800000.0,-1304300000.0,600600000.0,-70800000.0,-1304300000.0,600600000.0,-774500000.0,58300000.0,58300000.0,355400000.0,,-57700000.0,-198200000.0,,-399700000.0,,
Alliant Energy Corp,LNT,,352541,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 16:20:49+00:00,-1202600000.0,42100000.0,-140700000.0,282300000.0,275600000.0,,-1300000.0,,904100000.0,,320200000.0,-1148900000.0,657100000.0,320200000.0,-1148900000.0,657100000.0,-171600000.0,129700000.0,129700000.0,211000000.0,,53700000.0,-184200000.0,,-399700000.0,,
Alliant Energy Corp,LNT,,352541,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-29 10:56:57+00:00,,32900000.0,,114700000.0,201700000.0,44000000.0,-105100000.0,,377000000.0,,391000000.0,155400000.0,56500000.0,391000000.0,155400000.0,56500000.0,602900000.0,71400000.0,71400000.0,-144400000.0,,111400000.0,14000000.0,,,,
Alliant Energy Corp,LNT,,352541,2009.0,Q3,2009-07-01,2009-09-30,,,12000000.0,,41000000.0,69900000.0,13600000.0,224300000.0,,376300000.0,,380900000.0,56900000.0,83500000.0,380900000.0,56900000.0,83500000.0,521300000.0,-39700000.0,-39700000.0,-183000000.0,,43300000.0,4600000.0,,,,
Alliant Energy Corp,LNT,,352541,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-05 14:11:01+00:00,,20900000.0,,73700000.0,131800000.0,30400000.0,-329400000.0,,700000.0,,10100000.0,98500000.0,-27000000.0,10100000.0,98500000.0,-27000000.0,81600000.0,111100000.0,111100000.0,38600000.0,,68100000.0,9400000.0,,,,
Alliant Energy Corp,LNT,,352541,2010.0,Q4,2010-10-01,2010-12-31,,-33600000.0,14700000.0,-116200000.0,203000000.0,-138500000.0,-22400000.0,570800000.0,,202200000.0,,-455500000.0,-926100000.0,473200000.0,-455500000.0,-926100000.0,473200000.0,-908400000.0,52000000.0,52000000.0,-25800000.0,,-36800000.0,-207300000.0,-833300000.0,-450400000.0,,
Alliant Energy Corp,LNT,,352541,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 17:15:59+00:00,-33600000.0,51800000.0,-116200000.0,328400000.0,292300000.0,,307100000.0,,509300000.0,,-134400000.0,-866500000.0,984900000.0,-134400000.0,-866500000.0,984900000.0,-16000000.0,306300000.0,306300000.0,27400000.0,,400000.0,-193300000.0,-833300000.0,-450400000.0,0.0,
Alliant Energy Corp,LNT,,352541,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-03 17:17:58+00:00,,37100000.0,,125400000.0,430800000.0,22400000.0,-263700000.0,,307100000.0,,321100000.0,59600000.0,511700000.0,321100000.0,59600000.0,511700000.0,892400000.0,254300000.0,254300000.0,53200000.0,,37200000.0,14000000.0,,0.0,0.0,
Alliant Energy Corp,LNT,,352541,2010.0,Q3TTM,2009-10-01,2010-09-30,,-1202600000.0,46300000.0,-140700000.0,293000000.0,504700000.0,-21600000.0,-159900000.0,,834200000.0,,250300000.0,-1244700000.0,1112300000.0,250300000.0,-1244700000.0,1112300000.0,117900000.0,312600000.0,312600000.0,408600000.0,,-20500000.0,-184200000.0,,-399700000.0,,
Alliant Energy Corp,LNT,,352541,2010.0,Q3,2010-07-01,2010-09-30,,,14000000.0,,42900000.0,150900000.0,11200000.0,-86100000.0,,206300000.0,,210900000.0,48400000.0,250200000.0,210900000.0,48400000.0,250200000.0,509500000.0,153700000.0,153700000.0,17700000.0,,37200000.0,4600000.0,,,,
Alliant Energy Corp,LNT,,352541,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-05 09:31:28+00:00,,23100000.0,,82500000.0,279900000.0,11200000.0,-177600000.0,,100800000.0,,110200000.0,11200000.0,261500000.0,110200000.0,11200000.0,261500000.0,382900000.0,100600000.0,100600000.0,35500000.0,0.0,0.0,9400000.0,,,0.0,
Alliant Energy Corp,LNT,,352541,2010.0,Q2TTM,2009-07-01,2010-06-30,,-1202600000.0,44300000.0,-140700000.0,291100000.0,423700000.0,-19200000.0,150500000.0,,1004200000.0,,420300000.0,-1236200000.0,945600000.0,420300000.0,-1236200000.0,945600000.0,129700000.0,119200000.0,119200000.0,207900000.0,,-14400000.0,-184200000.0,,-399700000.0,,
Alliant Energy Corp,LNT,,352541,2010.0,Q2,2010-04-01,2010-06-30,,,10300000.0,,35100000.0,205000000.0,4500000.0,-128000000.0,,800000.0,,5500000.0,4500000.0,158400000.0,5500000.0,4500000.0,158400000.0,168400000.0,52500000.0,52500000.0,18600000.0,,,4700000.0,,,,
Alliant Energy Corp,LNT,,352541,2010.0,Q1,2010-01-01,2010-03-31,2011-05-05 12:12:51+00:00,,12800000.0,,47400000.0,74900000.0,6700000.0,-49600000.0,,100000000.0,,104700000.0,6700000.0,103100000.0,104700000.0,6700000.0,103100000.0,214500000.0,48100000.0,48100000.0,16900000.0,,,4700000.0,,,,
Alliant Energy Corp,LNT,,352541,2011.0,Q4,2011-10-01,2011-12-31,,-65300000.0,14200000.0,-10800000.0,196500000.0,81500000.0,-46100000.0,-129400000.0,,55800000.0,-40000000.0,-251400000.0,-698200000.0,45800000.0,-251400000.0,-698200000.0,45800000.0,-903800000.0,61000000.0,61000000.0,18500000.0,,21300000.0,-217800000.0,-608100000.0,-9400000.0,-40000000.0,
Alliant Energy Corp,LNT,,352541,2011.0,FY,2011-01-01,2011-12-31,2014-02-25 16:20:51+00:00,-65300000.0,56300000.0,-10800000.0,315500000.0,323800000.0,,-12600000.0,,55800000.0,0.0,-198500000.0,-652100000.0,702700000.0,-198500000.0,-652100000.0,702700000.0,-147900000.0,321900000.0,321900000.0,13300000.0,,21300000.0,-204900000.0,-608100000.0,-9400000.0,-40000000.0,
Alliant Energy Corp,LNT,,352541,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-09 11:38:52+00:00,,42100000.0,,119000000.0,242300000.0,46100000.0,116800000.0,,,40000000.0,52900000.0,46100000.0,656900000.0,52900000.0,46100000.0,656900000.0,755900000.0,260900000.0,260900000.0,-5200000.0,,,12900000.0,,0.0,,
