company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 17:22:02+00:00,21091000.0,-0.63,-0.63,,-0.63,-3451000.0,242127000.0,-146507000.0,-135678000.0,-10829000.0,-150347000.0,3840000.0,240119000.0,850509000.0,-2018000.0,94407000.0,94434000.0,236219000.0,248037000.0,240119000.0,610390000.0,,841908000.0,-231518000.0,94407000.0,-137111000.0,850509000.0,238600000.0,237707000.0,237707000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 15:23:27+00:00,,-1.9,-1.9,,-1.87,-12070000.0,84843000.0,-390260000.0,31686000.0,-421946000.0,-374251000.0,-16009000.0,160845000.0,558896000.0,-3868000.0,93887000.0,61750000.0,108597000.0,168873000.0,160845000.0,398051000.0,44391000.0,424063000.0,-26012000.0,49496000.0,23484000.0,558896000.0,197000000.0,197201000.0,200602000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 16:45:54+00:00,2500000.0,-1.04,-1.04,,-1.03,8876000.0,41646000.0,-200275000.0,42338000.0,-242613000.0,-201090000.0,815000.0,57265000.0,245934000.0,-2509000.0,-13450000.0,21764000.0,5909000.0,49677000.0,57265000.0,188669000.0,,121496000.0,67173000.0,-13450000.0,53723000.0,245934000.0,193400000.0,193853000.0,195930000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 16:56:08+00:00,2537000.0,-0.35,-0.35,,-0.35,-8059000.0,43550000.0,-68189000.0,-13028000.0,-55161000.0,-69178000.0,989000.0,55748000.0,242033000.0,1171000.0,-5219000.0,23540000.0,85123000.0,48574000.0,55748000.0,186285000.0,,203324000.0,-17039000.0,-5219000.0,-22258000.0,242033000.0,197700000.0,195515000.0,195515000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2009.0,Q4,2009-10-01,2009-12-31,,-3221000.0,0.48,0.48,,0.48,-9990000.0,-1502000.0,93353000.0,6496000.0,86857000.0,92048000.0,1305000.0,18690000.0,51245000.0,,35826000.0,4351000.0,-351000.0,25247000.0,18690000.0,32555000.0,47351000.0,24524000.0,8031000.0,-11525000.0,-3494000.0,51245000.0,191800000.0,191821000.0,192575000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 13:45:04+00:00,,1.28,1.28,,1.28,32935000.0,75348000.0,249239000.0,91617000.0,157622000.0,245553000.0,3686000.0,166705000.0,615947000.0,,11945000.0,52364000.0,15041000.0,146531000.0,166705000.0,449242000.0,47351000.0,289284000.0,159958000.0,-35406000.0,124552000.0,615947000.0,191800000.0,191821000.0,192575000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2009.0,Q3YTD,2009-01-01,2009-09-30,,3221000.0,0.8,0.8,,0.8,42925000.0,76850000.0,155886000.0,85121000.0,70765000.0,153505000.0,2381000.0,148015000.0,564702000.0,,-23881000.0,48013000.0,15392000.0,121284000.0,148015000.0,416687000.0,,264760000.0,151927000.0,-23881000.0,128046000.0,564702000.0,191500000.0,192619000.0,193472000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2009.0,Q3,2009-07-01,2009-09-30,2010-10-29 10:43:19+00:00,,0.28,0.28,,0.28,4132000.0,20545000.0,54599000.0,20900000.0,33699000.0,53611000.0,988000.0,42159000.0,156807000.0,,-9056000.0,13245000.0,11455000.0,35315000.0,42159000.0,114648000.0,,80560000.0,34088000.0,-9056000.0,25032000.0,156807000.0,191500000.0,192619000.0,193472000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2009.0,Q2YTD,2009-01-01,2009-06-30,,3221000.0,0.52,0.52,,0.52,38793000.0,56305000.0,101287000.0,64221000.0,37066000.0,99894000.0,1393000.0,105856000.0,407895000.0,,-14825000.0,34768000.0,3937000.0,85969000.0,105856000.0,302039000.0,,184200000.0,117839000.0,-14825000.0,103014000.0,407895000.0,193700000.0,192649000.0,193426000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2009.0,Q2,2009-04-01,2009-06-30,2010-08-03 13:12:04+00:00,,0.18,0.18,,0.18,15593000.0,18116000.0,35772000.0,16904000.0,18868000.0,34874000.0,898000.0,42977000.0,154338000.0,,-10485000.0,12985000.0,-61000.0,37339000.0,42977000.0,111361000.0,,68379000.0,42982000.0,-10485000.0,32497000.0,154338000.0,193700000.0,192649000.0,193426000.0
