company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 17:22:02+00:00,-17150000.0,116064000.0,21300000.0,1453000.0,114539000.0,171802000.0,3721000.0,110921000.0,306976000.0,1224579000.0,188671000.0,209009000.0,473537000.0,188671000.0,209009000.0,473537000.0,874938000.0,-146507000.0,-146507000.0,,278520000.0,12607000.0,2190000.0,,,0.0,-154540000.0,-199000000.0,-1156491000.0,206707000.0,0.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2008.0,Q4,2008-10-01,2008-12-31,,,2905000.0,14712000.0,,17322000.0,213682000.0,11491000.0,72423000.0,1836000.0,,-14288000.0,267346000.0,120994000.0,-14288000.0,267346000.0,120994000.0,385543000.0,-114641000.0,-114641000.0,,142985000.0,34453000.0,-260037000.0,,741000.0,248403000.0,-32897000.0,-623000.0,-50695000.0,98195000.0,
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 15:23:27+00:00,-15679000.0,25663000.0,14712000.0,35677000.0,102915000.0,274295000.0,15575000.0,126372000.0,122427000.0,200000000.0,-1164027000.0,76764000.0,484034000.0,-1164027000.0,76764000.0,484034000.0,-587654000.0,-390260000.0,-390260000.0,,619344000.0,41547000.0,-209340000.0,,,,-120990000.0,-200623000.0,-1327378000.0,99635000.0,48843000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2008.0,Q3,2008-07-01,2008-09-30,,-15679000.0,5306000.0,,17459000.0,24431000.0,,67000.0,33827000.0,28064000.0,,-93163000.0,-240479000.0,116083000.0,-93163000.0,-240479000.0,116083000.0,-217492000.0,-200275000.0,-200275000.0,,252794000.0,7094000.0,49587000.0,,-18000.0,-248403000.0,-27324000.0,,-128303000.0,1340000.0,
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-06 16:45:54+00:00,-15679000.0,22758000.0,,35677000.0,85593000.0,60613000.0,4084000.0,53949000.0,120591000.0,200000000.0,-1149739000.0,-190582000.0,363040000.0,-1149739000.0,-190582000.0,363040000.0,-973197000.0,-275619000.0,-275619000.0,,476359000.0,7094000.0,50697000.0,,-741000.0,-248403000.0,-88093000.0,-200000000.0,-1276683000.0,1440000.0,48843000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-06 16:56:08+00:00,,17452000.0,,18218000.0,61162000.0,60613000.0,4017000.0,20122000.0,92527000.0,200000000.0,-1056576000.0,49897000.0,246957000.0,-1056576000.0,49897000.0,246957000.0,-755705000.0,-75344000.0,-75344000.0,,223565000.0,0.0,1110000.0,,-723000.0,,-60769000.0,-200000000.0,-1148380000.0,100000.0,48843000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 13:45:04+00:00,,,21881000.0,39256000.0,86266000.0,469380000.0,6446000.0,53806000.0,36204000.0,3205000.0,-197994000.0,484455000.0,395191000.0,-197994000.0,484455000.0,395191000.0,688098000.0,249239000.0,220919000.0,28320000.0,34200000.0,25880000.0,-2442000.0,,,-1150000.0,-116876000.0,-2712000.0,-260571000.0,129479000.0,6064000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2009.0,Q4,2009-10-01,2009-12-31,,,,21881000.0,,24551000.0,187202000.0,-2344000.0,9180000.0,3298000.0,3205000.0,-279688000.0,153743000.0,173149000.0,-279688000.0,153743000.0,173149000.0,44860000.0,93353000.0,65033000.0,28320000.0,74385000.0,-74703000.0,108000.0,,,-400000.0,-50809000.0,-2599000.0,-208889000.0,11578000.0,6064000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-29 10:43:19+00:00,,,,39256000.0,61715000.0,282178000.0,8790000.0,44626000.0,32906000.0,,81694000.0,330712000.0,222042000.0,81694000.0,330712000.0,222042000.0,643238000.0,155886000.0,155886000.0,,-40185000.0,100583000.0,-2550000.0,,,-750000.0,-66067000.0,-113000.0,-51682000.0,117901000.0,
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2009.0,Q3TTM,2008-10-01,2009-09-30,,,2905000.0,14712000.0,39256000.0,79037000.0,495860000.0,20281000.0,117049000.0,34742000.0,,67406000.0,598058000.0,343036000.0,67406000.0,598058000.0,343036000.0,1028781000.0,41245000.0,41245000.0,,102800000.0,135036000.0,-262587000.0,,741000.0,247653000.0,-98964000.0,-736000.0,-102377000.0,216096000.0,
