company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2008.0,FY,2007-02-01,2008-01-31,2010-03-19 06:05:42+00:00,,1.55,1.55,1.47,0.0,113800000.0,847700000.0,356200000.0,356200000.0,356200000.0,207700000.0,2171900000.0,490500000.0,0.0,180400000.0,207700000.0,1964200000.0,-24400000.0,1518600000.0,445600000.0,24400000.0,470000000.0,2171900000.0,229800000.0,230300000.0,242000000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2009.0,Q4,2008-11-01,2009-01-31,,,-0.07,-0.47,-0.45,128900000.0,-30300000.0,218000000.0,-105300000.0,-105300000.0,-105300000.0,48500000.0,489800000.0,138700000.0,40200000.0,49300000.0,48500000.0,441300000.0,1800000.0,575100000.0,-133800000.0,-1800000.0,-135600000.0,489800000.0,226700000.0,225500000.0,230100000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2009.0,FY,2008-02-01,2009-01-31,2011-03-18 16:07:11+00:00,,0.81,0.81,0.8,128900000.0,68900000.0,900700000.0,183600000.0,183600000.0,183600000.0,219100000.0,2315200000.0,576100000.0,40200000.0,205700000.0,219100000.0,2096100000.0,-8000000.0,1851600000.0,244500000.0,8000000.0,252500000.0,2315200000.0,226700000.0,225500000.0,230100000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2009.0,Q3YTD,2008-02-01,2008-10-31,,,0.88,1.28,1.25,,99200000.0,682700000.0,288900000.0,288900000.0,288900000.0,170600000.0,1825400000.0,437400000.0,,156400000.0,170600000.0,1654800000.0,-9800000.0,1276500000.0,378300000.0,9800000.0,388100000.0,1825400000.0,227200000.0,225300000.0,230400000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2009.0,Q3,2008-08-01,2008-10-31,2009-12-08 16:26:56+00:00,,0.46,0.46,0.45,0.0,31700000.0,227000000.0,104500000.0,104500000.0,104500000.0,52900000.0,607100000.0,137000000.0,0.0,50600000.0,52900000.0,554200000.0,3400000.0,414600000.0,139600000.0,-3400000.0,136200000.0,607100000.0,227200000.0,225300000.0,230400000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2009.0,Q2YTD,2008-02-01,2008-07-31,,,0.42,0.82,0.8,,67500000.0,455700000.0,184400000.0,184400000.0,184400000.0,117700000.0,1218300000.0,300400000.0,,105800000.0,117700000.0,1100600000.0,-13200000.0,861900000.0,238700000.0,13200000.0,251900000.0,1218300000.0,,224200000.0,231100000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2009.0,Q2,2008-05-01,2008-07-31,2009-08-28 08:01:24+00:00,,,0.4,0.39,0.0,35300000.0,230200000.0,89800000.0,89800000.0,89800000.0,59700000.0,619500000.0,154800000.0,0.0,56000000.0,59700000.0,559800000.0,-6300000.0,441000000.0,118800000.0,6300000.0,125100000.0,619500000.0,,224200000.0,231100000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2009.0,Q1,2008-02-01,2008-04-30,2009-06-03 16:08:21+00:00,,0.42,0.42,0.41,0.0,32200000.0,225500000.0,94600000.0,94600000.0,94600000.0,58000000.0,598800000.0,145600000.0,0.0,49800000.0,58000000.0,540800000.0,-6900000.0,420900000.0,119900000.0,6900000.0,126800000.0,598800000.0,225200000.0,226200000.0,232600000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2010.0,Q4,2009-11-01,2010-01-31,,,0.21,0.21,0.21,,8600000.0,191300000.0,50100000.0,50100000.0,50100000.0,44400000.0,456100000.0,116900000.0,400000.0,47100000.0,44400000.0,411700000.0,-2700000.0,355700000.0,56000000.0,2700000.0,58700000.0,456100000.0,232000000.0,228700000.0,232100000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2010.0,FY,2009-02-01,2010-01-31,2012-03-15 16:05:18+00:00,,0.25,0.25,0.25,21000000.0,26700000.0,731900000.0,58000000.0,58000000.0,58000000.0,191800000.0,1713700000.0,457500000.0,48200000.0,197700000.0,191800000.0,1521900000.0,-19100000.0,1456300000.0,65600000.0,19100000.0,84700000.0,1713700000.0,232000000.0,228700000.0,232100000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2010.0,Q3YTD,2009-02-01,2009-10-31,,,0.04,0.04,0.04,21000000.0,18100000.0,540600000.0,7900000.0,7900000.0,7900000.0,147400000.0,1257600000.0,340600000.0,47800000.0,150600000.0,147400000.0,1110200000.0,-16400000.0,1100600000.0,9600000.0,16400000.0,26000000.0,1257600000.0,226900000.0,229600000.0,232900000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2010.0,Q3TTM,2008-11-01,2009-10-31,,,-0.03,-0.43,-0.41,149900000.0,-12200000.0,758600000.0,-97400000.0,-97400000.0,-97400000.0,195900000.0,1747400000.0,479300000.0,88000000.0,199900000.0,195900000.0,1551500000.0,-14600000.0,1675700000.0,-124200000.0,14600000.0,-109600000.0,1747400000.0,226900000.0,229600000.0,232900000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2010.0,Q3,2009-08-01,2009-10-31,2010-12-07 17:06:31+00:00,,0.13,0.13,0.13,,2500000.0,180300000.0,29500000.0,29500000.0,29500000.0,45000000.0,416900000.0,109300000.0,4900000.0,51100000.0,45000000.0,371900000.0,-5700000.0,345600000.0,26300000.0,5700000.0,32000000.0,416900000.0,226900000.0,229600000.0,232900000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2010.0,Q2TTM,2008-08-01,2009-07-31,,,0.3,-0.1,-0.09,149900000.0,17000000.0,805300000.0,-22400000.0,-22400000.0,-22400000.0,203800000.0,1937600000.0,507000000.0,83100000.0,199400000.0,203800000.0,1733800000.0,-5500000.0,1744700000.0,-10900000.0,5500000.0,-5400000.0,1937600000.0,210000000.0,228900000.0,232300000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2010.0,Q2,2009-05-01,2009-07-31,2010-09-01 07:01:29+00:00,,0.05,0.05,0.05,,2900000.0,176400000.0,10500000.0,10500000.0,10500000.0,50100000.0,414900000.0,109800000.0,26400000.0,49500000.0,50100000.0,364800000.0,-10700000.0,362100000.0,2700000.0,10700000.0,13400000.0,414900000.0,210000000.0,228900000.0,232300000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2010.0,Q1TTM,2008-05-01,2009-04-30,,,0.25,0.25,0.25,149900000.0,49400000.0,859100000.0,56900000.0,56900000.0,56900000.0,213400000.0,2142200000.0,552000000.0,56700000.0,205900000.0,213400000.0,1928800000.0,-1100000.0,1823600000.0,105200000.0,1100000.0,106300000.0,2142200000.0,229300000.0,227100000.0,227100000.0
Autodesk Inc,ADSK,FRKKVKAIQEF3FCSTPG55,769397,2010.0,Q1,2009-02-01,2009-04-30,2010-06-04 07:01:23+00:00,,-0.14,-0.14,-0.14,21000000.0,12700000.0,183900000.0,-32100000.0,-32100000.0,-32100000.0,52300000.0,425800000.0,121500000.0,16500000.0,50000000.0,52300000.0,373500000.0,,392900000.0,-19400000.0,,-19400000.0,425800000.0,229300000.0,227100000.0,227100000.0
