company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,deferredacquisitioncost,interestbearingdeposits,longtermdebt,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2008.0,FY,,2008-12-31,2010-03-01 12:03:23+00:00,32651000.0,-2932000.0,64935000.0,,2941270000.0,29708000.0,88715000.0,31136000.0,3530722000.0,5541720000.0,,38643000.0,1256594000.0,282643000.0,208209000.0,10234000.0,192681000.0,-22223000.0,124000000.0,7174353000.0,2916115000.0,2916115000.0,2916115000.0,4248004000.0,7174353000.0,
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,FY,,2009-12-31,2011-02-23 17:09:35+00:00,35069000.0,-1067000.0,105691000.0,,3201182000.0,,122294000.0,2734000.0,3974872000.0,6178002000.0,0.0,33646000.0,840942000.0,282587000.0,72773000.0,5797000.0,210676000.0,-149988000.0,0.0,7457605000.0,3050127000.0,3050127000.0,3050127000.0,4401681000.0,7457605000.0,0.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q3,,2009-09-30,2009-11-06 18:04:06+00:00,27544000.0,-1614000.0,554335000.0,,3192427000.0,25917000.0,117690000.0,372000.0,4432851000.0,6222196000.0,,36765000.0,803161000.0,289184000.0,72595000.0,4539000.0,223121000.0,-108243000.0,0.0,7946420000.0,3082570000.0,3082570000.0,3082570000.0,4859311000.0,7946420000.0,
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2010.0,FY,,2010-12-31,2012-02-27 12:18:18+00:00,31845000.0,-1175000.0,304407000.0,,3594536000.0,,110277000.0,211096000.0,3973085000.0,6542112000.0,4973000.0,33569000.0,691354000.0,34433000.0,207607000.0,14262000.0,173338000.0,-282743000.0,0.0,7821488000.0,3310618000.0,3310618000.0,3315591000.0,4491635000.0,7821488000.0,0.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2010.0,Q3,,2010-09-30,2010-11-04 16:30:18+00:00,22377000.0,-1515000.0,229111000.0,,3533304000.0,,113130000.0,,3947890000.0,6515084000.0,4812000.0,33966000.0,639047000.0,279581000.0,76127000.0,10630000.0,178030000.0,-232770000.0,,7674402000.0,3299019000.0,3299019000.0,3303831000.0,4359941000.0,7674402000.0,
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2010.0,Q2,,2010-06-30,2010-08-06 15:39:59+00:00,30723000.0,-1202000.0,373721000.0,,3516040000.0,,121516000.0,,3948534000.0,6349702000.0,,33596000.0,671638000.0,271757000.0,75944000.0,9381000.0,188267000.0,-179929000.0,,7704844000.0,3334909000.0,3334909000.0,3334909000.0,4360554000.0,7704844000.0,
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2010.0,Q1,,2010-03-31,2010-05-05 17:25:52+00:00,22520000.0,-525000.0,123297000.0,,3288498000.0,22456000.0,117677000.0,1679000.0,3949907000.0,6202594000.0,,33532000.0,834774000.0,284319000.0,73804000.0,6724000.0,207336000.0,-152324000.0,,7508134000.0,3135649000.0,3135649000.0,3135649000.0,4365761000.0,7508134000.0,
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2011.0,FY,,2011-12-31,2013-02-22 17:26:26+00:00,34210000.0,-87020000.0,616853000.0,,4653409000.0,,58423000.0,36743000.0,3599196000.0,6655605000.0,7151000.0,35968000.0,1078109000.0,36845000.0,330473000.0,7063000.0,73400000.0,-171648000.0,,8482390000.0,4394741000.0,4394741000.0,4401892000.0,4073435000.0,8482390000.0,0.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2011.0,Q3,,2011-09-30,2011-11-07 13:54:08+00:00,23600000.0,-80866000.0,690049000.0,,4639336000.0,,108112000.0,122996000.0,3785093000.0,6774450000.0,7269000.0,37550000.0,847068000.0,36204000.0,320108000.0,6844000.0,68978000.0,-409477000.0,0.0,8488657000.0,4148993000.0,4148993000.0,4156262000.0,4325551000.0,8488657000.0,0.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2011.0,Q2,,2011-06-30,2011-08-01 10:09:49+00:00,37423000.0,-20595000.0,290104000.0,,3864107000.0,,110494000.0,,3986157000.0,6769912000.0,4063000.0,37289000.0,702102000.0,33821000.0,362037000.0,6852000.0,70130000.0,-368412000.0,0.0,7942742000.0,3475100000.0,3475100000.0,3479163000.0,4456727000.0,7942742000.0,0.0
