company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,othergains,otherinterestexpense,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,preferreddividends,restructuringcharge,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 12:03:23+00:00,4.43,4.43,3.4,157895000.0,4.38,0.0,,,359745000.0,219364000.0,140381000.0,349460000.0,1585000.0,,222332000.0,,,59714000.0,,,187909000.0,727786000.0,,8700000.0,,,568136000.0,727786000.0,159650000.0,727786000.0,78900000.0,78900000.0,79800000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 18:04:06+00:00,3.0,3.0,0.8925,48698000.0,2.98,0.0,,,232886000.0,45999000.0,186887000.0,235756000.0,-695000.0,,64751000.0,,,495000.0,,,56437000.0,215390000.0,,-2175000.0,,,169886000.0,215390000.0,45504000.0,215390000.0,78600000.0,78600000.0,79100000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q4,2009-10-01,2009-12-31,,0.4,0.4,-2.68,50247000.0,0.4,850000.0,,,32349000.0,-1243000.0,33592000.0,32394000.0,-45000.0,,50777000.0,,,1891000.0,,,68239000.0,192889000.0,25910000.0,,,,196023000.0,192889000.0,-3134000.0,192889000.0,80200000.0,80200000.0,80600000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 12:18:18+00:00,1.94,1.94,,204481000.0,1.93,21152000.0,,,154274000.0,82698000.0,71576000.0,155647000.0,-1373000.0,,246251000.0,,,6271000.0,,,255703000.0,829924000.0,25910000.0,,,,753497000.0,829924000.0,76427000.0,829924000.0,80200000.0,80200000.0,80600000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.54,1.54,2.68,154234000.0,1.53,20302000.0,,,121925000.0,83941000.0,37984000.0,123253000.0,-1328000.0,,195474000.0,,,4380000.0,,,187464000.0,637035000.0,,,,,557474000.0,637035000.0,79561000.0,637035000.0,80800000.0,80800000.0,80800000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q3,2009-07-01,2009-09-30,2010-11-04 16:30:18+00:00,0.72,0.72,0.8925,52987000.0,0.72,,,,58101000.0,27746000.0,30355000.0,58154000.0,-53000.0,,66693000.0,,,431000.0,,,68048000.0,215043000.0,,,,,187728000.0,215043000.0,27315000.0,215043000.0,80800000.0,80800000.0,80800000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.82,0.82,1.79,101247000.0,0.81,20302000.0,,,63824000.0,56195000.0,7629000.0,65099000.0,-1275000.0,,128781000.0,,,3949000.0,,,119416000.0,421992000.0,,,,,369746000.0,421992000.0,52246000.0,421992000.0,80300000.0,80300000.0,80300000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 15:39:59+00:00,0.22,0.22,0.8925,51174000.0,0.22,20302000.0,,,16723000.0,13059000.0,3664000.0,17674000.0,-951000.0,,66001000.0,,,492000.0,,,62215000.0,212259000.0,,,,,199692000.0,212259000.0,12567000.0,212259000.0,80300000.0,80300000.0,80300000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q1,2009-01-01,2009-03-31,2010-05-05 17:25:52+00:00,0.6,0.6,0.8925,50073000.0,0.59,,,,47101000.0,43136000.0,3965000.0,47425000.0,-324000.0,,62780000.0,,,3457000.0,,,57201000.0,209733000.0,,,,,170054000.0,209733000.0,39679000.0,209733000.0,79000000.0,79000000.0,80400000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 17:26:26+00:00,2.08,2.08,,220563000.0,2.07,,,,174079000.0,92055000.0,82024000.0,175331000.0,-1252000.0,,246257000.0,,,762000.0,,,284707000.0,842820000.0,,,,,751527000.0,842820000.0,91293000.0,842820000.0,84300000.0,84300000.0,84700000.0
