company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 16:11:03+00:00,9836000.0,1.23,1.23,,1.2,,114330000.0,183770000.0,181887000.0,1883000.0,183770000.0,,9438593000.0,12361311000.0,-1123000.0,,,22758000.0,2284606000.0,9438593000.0,2922718000.0,308178000.0,,2317200000.0,605518000.0,-309301000.0,296217000.0,12361311000.0,149400000.0,149266519.0,153395746.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 17:24:39+00:00,9637000.0,1.41,1.41,,1.38,0.0,151845000.0,227847000.0,228620000.0,-773000.0,240308000.0,-12461000.0,8008561000.0,11113782000.0,4221000.0,,,30162000.0,2442668000.0,8008561000.0,3105221000.0,246510000.0,,2482467000.0,622754000.0,-242289000.0,380465000.0,11113782000.0,170400000.0,170986886.0,173858303.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 14:01:42+00:00,2480000.0,0.28,0.28,,0.27,,31368000.0,47104000.0,46126000.0,978000.0,49653000.0,-2549000.0,1977176000.0,2762709000.0,-516000.0,,,6303000.0,639232000.0,1977176000.0,785533000.0,59508000.0,,648015000.0,137518000.0,-60024000.0,77494000.0,2762709000.0,177300000.0,180352408.0,183066015.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 16:32:55+00:00,2006000.0,0.38,0.38,,0.38,,38727000.0,62316000.0,63416000.0,-1100000.0,64143000.0,-1827000.0,1908203000.0,2669853000.0,5072000.0,,,11414000.0,591195000.0,1908203000.0,761650000.0,59964000.0,,604615000.0,157035000.0,-54892000.0,102143000.0,2669853000.0,168800000.0,168331560.0,170991124.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,Q4,2010-10-01,2010-12-31,,-138000.0,-0.12,-0.12,,-0.12,,-12942000.0,-22970000.0,-68959000.0,45989000.0,-20746000.0,-2224000.0,1342852000.0,1850311000.0,-321000.0,,30000000.0,14448000.0,531266000.0,1342852000.0,507459000.0,13463000.0,,575576000.0,-68117000.0,-13784000.0,-81901000.0,1850311000.0,183000000.0,181799306.0,182861802.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 07:58:40+00:00,8342000.0,0.5,0.5,,0.5,,46153000.0,82756000.0,31492000.0,51264000.0,91491000.0,-8735000.0,8063932000.0,10820237000.0,-217000.0,,30000000.0,30761000.0,2418135000.0,8063932000.0,2756305000.0,191205000.0,,2487238000.0,269067000.0,-191422000.0,77645000.0,10820237000.0,183000000.0,181799306.0,182861802.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,Q3YTD,2010-01-01,2010-09-30,,8480000.0,0.62,0.62,,0.62,,59095000.0,105726000.0,100451000.0,5275000.0,112237000.0,-6511000.0,6721080000.0,8969926000.0,104000.0,,,16313000.0,1886869000.0,6721080000.0,2248846000.0,177742000.0,,1911662000.0,337184000.0,-177638000.0,159546000.0,8969926000.0,186900000.0,182118506.0,182322597.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 12:25:10+00:00,2810000.0,0.13,0.13,,0.13,0.0,10653000.0,21957000.0,17177000.0,4780000.0,24296000.0,-2339000.0,2304501000.0,3054130000.0,-383000.0,0.0,0.0,8253000.0,646049000.0,2304501000.0,749629000.0,64304000.0,,657112000.0,92517000.0,-64687000.0,27830000.0,3054130000.0,186900000.0,182118506.0,182322597.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,Q2YTD,2010-01-01,2010-06-30,,5670000.0,0.49,0.49,,0.49,,48442000.0,83769000.0,83274000.0,495000.0,87941000.0,-4172000.0,4416579000.0,5915796000.0,487000.0,,,8060000.0,1240820000.0,4416579000.0,1499217000.0,113438000.0,,1254550000.0,244667000.0,-112951000.0,131716000.0,5915796000.0,179100000.0,181635778.0,182390849.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 06:03:33+00:00,2807000.0,0.25,0.25,,0.25,,26455000.0,42852000.0,43461000.0,-609000.0,44787000.0,-1935000.0,2203230000.0,2954653000.0,306000.0,0.0,0.0,6509000.0,617128000.0,2203230000.0,751423000.0,55369000.0,,626444000.0,124979000.0,-55063000.0,69916000.0,2954653000.0,179100000.0,181635778.0,182390849.0
