company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,assetretirementandlitigationobligation,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2009.0,FY,,2009-12-31,2011-03-01 16:11:03+00:00,1225017000.0,871833000.0,-166976000.0,,45190000.0,,1027311000.0,174361000.0,,3272814000.0,821280000.0,3980627000.0,436061000.0,2102253000.0,15286000.0,,620093000.0,,,30088000.0,9045000.0,,393575000.0,90061000.0,491611000.0,248352000.0,,7843941000.0,1351946000.0,1647594000.0,1482414000.0,1351946000.0,1367232000.0,6476709000.0,7843941000.0,4094094000.0,4994295000.0,0.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,FY,,2010-12-31,2012-02-27 17:24:39+00:00,1232876000.0,891019000.0,-146653000.0,,92007000.0,0.0,1063076000.0,212990000.0,,3179192000.0,847868000.0,3893275000.0,425576000.0,2113391000.0,14543000.0,,756714000.0,,30000000.0,117114000.0,3839000.0,,351645000.0,77510000.0,583102000.0,174250000.0,,7956667000.0,1499525000.0,1816216000.0,1440965000.0,1499525000.0,1514068000.0,6442599000.0,7956667000.0,4027060000.0,5001634000.0,0.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,Q3,,2010-09-30,2010-11-09 14:01:42+00:00,1220410000.0,883741000.0,-152980000.0,,102100000.0,,1056265000.0,192155000.0,,3266086000.0,835486000.0,3918015000.0,472607000.0,2083699000.0,15691000.0,,706099000.0,,,,,,381074000.0,80145000.0,603846000.0,167599000.0,,7916019000.0,1507131000.0,1730748000.0,1388009000.0,1507131000.0,1522822000.0,6393197000.0,7916019000.0,4101572000.0,5005188000.0,0.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,Q2,,2010-06-30,2010-08-06 16:32:55+00:00,1150243000.0,851611000.0,-195385000.0,,61247000.0,,1047099000.0,143452000.0,11514000.0,3256848000.0,830433000.0,4010129000.0,453028000.0,2056979000.0,15735000.0,,628068000.0,,,28584000.0,10665000.0,,378056000.0,96814000.0,579550000.0,143322000.0,,7778996000.0,1431264000.0,1634736000.0,1315744000.0,1431264000.0,1446999000.0,6331997000.0,7778996000.0,4087281000.0,5016253000.0,0.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2011.0,FY,,2011-12-31,2013-02-27 07:58:40+00:00,1127717000.0,872958000.0,-199520000.0,73000000.0,115650000.0,0.0,1088641000.0,134435000.0,,849177000.0,731047000.0,3541635000.0,384991000.0,1936235000.0,4747000.0,,292539000.0,,60838000.0,668673000.0,133202000.0,,422595000.0,62001000.0,-992519000.0,202292000.0,,5755167000.0,-103398000.0,2238708000.0,1524049000.0,-103398000.0,-98651000.0,5853818000.0,5755167000.0,1580224000.0,4329769000.0,0.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2011.0,Q3,,2011-09-30,2011-11-09 12:25:10+00:00,1262397000.0,1000391000.0,-161428000.0,72150000.0,107731000.0,0.0,1081011000.0,135869000.0,,1253415000.0,788546000.0,3700562000.0,481157000.0,2068935000.0,4922000.0,,336458000.0,,59998000.0,,,,387536000.0,75157000.0,-982645000.0,150240000.0,,5911201000.0,-63062000.0,1800305000.0,1472635000.0,-63062000.0,-58140000.0,5969341000.0,5911201000.0,2041961000.0,4496706000.0,0.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2011.0,Q2,,2011-06-30,2011-08-09 06:03:33+00:00,1253335000.0,925769000.0,-113353000.0,71300000.0,115807000.0,0.0,1074228000.0,123082000.0,,3189201000.0,831327000.0,3670654000.0,488814000.0,2072442000.0,15105000.0,,718120000.0,,60000000.0,,,,364594000.0,83615000.0,557852000.0,158222000.0,,7830057000.0,1518727000.0,1737087000.0,1471557000.0,1518727000.0,1533832000.0,6296225000.0,7830057000.0,4020528000.0,4824668000.0,0.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2011.0,Q1,,2011-03-31,2011-05-10 11:25:56+00:00,1273420000.0,935938000.0,-105594000.0,,108609000.0,,1064590000.0,147488000.0,,3185689000.0,841262000.0,3871444000.0,466320000.0,2071703000.0,15575000.0,,724219000.0,,,69962000.0,3108000.0,,344586000.0,90228000.0,608365000.0,117486000.0,,7917199000.0,1567361000.0,1818545000.0,1394014000.0,1567361000.0,1582936000.0,6334263000.0,7917199000.0,4026951000.0,4940249000.0,0.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2012.0,FY,,2012-12-31,2014-02-24 17:20:13+00:00,913631000.0,775818000.0,-186584000.0,53712000.0,24657000.0,0.0,1377668000.0,89353000.0,,86841000.0,331513000.0,2311708000.0,261265000.0,1248637000.0,102441000.0,49858000.0,104835000.0,,20000000.0,2793608000.0,1466221000.0,,357313000.0,36033000.0,-833897000.0,10535000.0,,5697583000.0,357187000.0,3980734000.0,2410387000.0,357187000.0,459628000.0,5237955000.0,5697583000.0,468212000.0,2827568000.0,0.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2012.0,Q3,,2012-09-30,2012-11-08 16:45:15+00:00,1248988000.0,946764000.0,-189840000.0,53194000.0,69775000.0,0.0,1102443000.0,93713000.0,68817000.0,1154440000.0,750037000.0,3244423000.0,504764000.0,2037386000.0,,23177000.0,325768000.0,,20000000.0,,,,431502000.0,69904000.0,-862030000.0,206695000.0,,5649960000.0,50573000.0,1684920000.0,1544500000.0,50573000.0,50573000.0,5599387000.0,5649960000.0,1927654000.0,4054887000.0,0.0
