company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 16:11:03+00:00,-95851000.0,,236820000.0,,,242291000.0,419663000.0,5150520000.0,-373043000.0,-340661000.0,713506000.0,,-826000.0,3122000.0,-373043000.0,-341487000.0,716628000.0,2098000.0,183770000.0,180612000.0,3158000.0,53783000.0,7581000.0,,,,-256139000.0,-5950807000.0,,11329000.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2009.0,Q4,2009-10-01,2009-12-31,,-89511000.0,,65342000.0,,798000.0,26881000.0,7861000.0,1427800000.0,35468000.0,-183292000.0,157142000.0,,-116000.0,715000.0,35468000.0,-183408000.0,157857000.0,10715000.0,43227000.0,43773000.0,-546000.0,20514000.0,894000.0,,,,-96823000.0,-1401087000.0,,3042000.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 17:24:39+00:00,-581211000.0,,253930000.0,,808000.0,108042000.0,467034000.0,5473728000.0,192765000.0,-840068000.0,658079000.0,,-525000.0,2475000.0,192765000.0,-840593000.0,660554000.0,13534000.0,227847000.0,228709000.0,-862000.0,67398000.0,894000.0,,,,-267690000.0,-5748891000.0,,8833000.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2009.0,Q3,2009-07-01,2009-09-30,,-456737000.0,,67690000.0,,10000.0,26387000.0,5980000.0,1538500000.0,358408000.0,-525755000.0,152652000.0,,-160000.0,499000.0,358408000.0,-525915000.0,153151000.0,-14346000.0,47104000.0,46520000.0,584000.0,12687000.0,,,,,-70020000.0,-1186072000.0,,1002000.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-09 14:01:42+00:00,-491700000.0,,188588000.0,,10000.0,81161000.0,459173000.0,4045928000.0,157297000.0,-656776000.0,500937000.0,,-409000.0,1760000.0,157297000.0,-657185000.0,502697000.0,2819000.0,184620000.0,184936000.0,-316000.0,46884000.0,,,,,-170867000.0,-4347804000.0,,5791000.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-06 16:32:55+00:00,-34963000.0,,120898000.0,,,54774000.0,453193000.0,2507428000.0,-201111000.0,-131021000.0,348285000.0,,-249000.0,1261000.0,-201111000.0,-131270000.0,349546000.0,17165000.0,137516000.0,138416000.0,-900000.0,34197000.0,,,,,-100847000.0,-3161732000.0,,4789000.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,Q4,2010-10-01,2010-12-31,,,,44114000.0,,-1849000.0,119966000.0,1193000.0,2311367000.0,-36759000.0,-90933000.0,111352000.0,-268000.0,-26566000.0,19683000.0,-37027000.0,-117499000.0,131035000.0,-25340000.0,-22968000.0,-69630000.0,46662000.0,16902000.0,3000.0,,,,-95365000.0,-2349322000.0,,4432000.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 07:58:40+00:00,,,247239000.0,,-502000.0,153776000.0,11407000.0,6626947000.0,-217424000.0,-267683000.0,490645000.0,-268000.0,-1771000.0,28573000.0,-217692000.0,-269454000.0,519218000.0,31570000.0,82756000.0,39013000.0,43743000.0,50617000.0,278000.0,,,,-275922000.0,-6856056000.0,,8239000.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,Q3TTM,2009-10-01,2010-09-30,,-89511000.0,,268467000.0,,2145000.0,60691000.0,18075000.0,5743380000.0,-145197000.0,-360042000.0,536435000.0,,24679000.0,9605000.0,-145197000.0,-335363000.0,546040000.0,67625000.0,148951000.0,152416000.0,-3465000.0,54229000.0,1169000.0,,,,-277380000.0,-5907821000.0,,6849000.0
Dean Foods Co,DF,5RGFDMYH829UYJH0KY29,931336,2010.0,Q3,2010-07-01,2010-09-30,,,,69591000.0,,4943000.0,28168000.0,4007000.0,1835180000.0,-63984000.0,-68938000.0,135807000.0,,24928000.0,8097000.0,-63984000.0,-44010000.0,143904000.0,40853000.0,21957000.0,23534000.0,-1577000.0,14514000.0,275000.0,,,,-67664000.0,-1903446000.0,,-1274000.0
