company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othergains,otherincome,otherspecialcharges,restructuringcharge,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,1413329,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:23:45+00:00,28000000.0,2.86,2.86,,2.86,2570000000.0,5021000000.0,6314000000.0,6314000000.0,6038000000.0,276000000.0,41144000000.0,55243000000.0,,,,-52000000.0,208000000.0,41144000000.0,14099000000.0,10000000.0,,5205000000.0,8894000000.0,-10000000.0,8884000000.0,55243000000.0,2111200000.0,2111200000.0,2111200000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,1413329,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 12:11:25+00:00,44000000.0,3.32,3.32,1.43,3.31,2787000000.0,6001000000.0,7150000000.0,7150000000.0,6890000000.0,260000000.0,47263000000.0,63640000000.0,,,,,84000000.0,47263000000.0,16377000000.0,311000000.0,,6129000000.0,10248000000.0,-311000000.0,9937000000.0,63640000000.0,2068000000.0,2068000000.0,2068000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,1413329,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 07:44:05+00:00,13000000.0,1.01,1.01,0.54,1.01,667000000.0,1556000000.0,2154000000.0,2154000000.0,2080000000.0,74000000.0,12893000000.0,17365000000.0,,,,,13000000.0,12893000000.0,4472000000.0,69000000.0,,1582000000.0,2890000000.0,-69000000.0,2821000000.0,17365000000.0,2059400000.0,2059400000.0,2059400000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,1413329,2008.0,Q2,2008-04-01,2008-06-30,2009-08-14 09:14:36+00:00,7000000.0,0.81,0.81,0.46,0.8,790000000.0,1584000000.0,1757000000.0,1757000000.0,1692000000.0,65000000.0,12456000000.0,16703000000.0,,,,,48000000.0,12456000000.0,4247000000.0,61000000.0,,1639000000.0,2608000000.0,-61000000.0,2547000000.0,16703000000.0,2088900000.0,2088900000.0,2115000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,1413329,2009.0,Q4,2009-10-01,2009-12-31,,20000000.0,0.79,0.79,0.58,0.78,632000000.0,1684000000.0,1584000000.0,1584000000.0,1522000000.0,62000000.0,12837000000.0,17008000000.0,,,,,26000000.0,12837000000.0,4171000000.0,225000000.0,,1730000000.0,2441000000.0,-225000000.0,2216000000.0,17008000000.0,1943000000.0,1943000000.0,1943000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,1413329,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 09:29:03+00:00,74000000.0,3.25,3.25,2.24,3.24,2691000000.0,5870000000.0,6552000000.0,6552000000.0,6342000000.0,210000000.0,46067000000.0,62080000000.0,,,,,29000000.0,46067000000.0,16013000000.0,797000000.0,,5973000000.0,10040000000.0,-797000000.0,9243000000.0,62080000000.0,1943000000.0,1943000000.0,1943000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,1413329,2009.0,Q3YTD,2009-01-01,2009-09-30,,54000000.0,2.46,2.46,1.66,2.46,2059000000.0,4186000000.0,4968000000.0,4968000000.0,4820000000.0,148000000.0,33230000000.0,45072000000.0,,,,,3000000.0,33230000000.0,11842000000.0,572000000.0,,4243000000.0,7599000000.0,-572000000.0,7027000000.0,45072000000.0,1927000000.0,1927000000.0,1927000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,1413329,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 08:23:57+00:00,18000000.0,0.93,0.93,0.58,0.93,775000000.0,1398000000.0,1854000000.0,1854000000.0,1798000000.0,56000000.0,12306000000.0,16573000000.0,,,,,1000000.0,12306000000.0,4267000000.0,221000000.0,,1417000000.0,2850000000.0,-221000000.0,2629000000.0,16573000000.0,1927000000.0,1927000000.0,1927000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,1413329,2009.0,Q2YTD,2009-01-01,2009-06-30,,36000000.0,1.53,1.53,1.08,1.53,1284000000.0,2788000000.0,3114000000.0,3114000000.0,3022000000.0,92000000.0,20924000000.0,28499000000.0,,,,,2000000.0,20924000000.0,7575000000.0,351000000.0,,2826000000.0,4749000000.0,-351000000.0,4398000000.0,28499000000.0,1955000000.0,1955000000.0,1955000000.0
Philip Morris International Inc,PM,HL3H1H2BGXWVG3BSWR90,1413329,2009.0,Q2,2009-04-01,2009-06-30,2010-08-27 10:09:42+00:00,21000000.0,0.79,0.79,0.54,0.79,639000000.0,1498000000.0,1597000000.0,1597000000.0,1546000000.0,51000000.0,11264000000.0,15213000000.0,,,,,1000000.0,11264000000.0,3949000000.0,193000000.0,,1520000000.0,2429000000.0,-193000000.0,2236000000.0,15213000000.0,1955000000.0,1955000000.0,1955000000.0
