company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,extraordinaryincome,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othercostofrevenue,othergains,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,preferreddividends,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 14:41:09+00:00,,6.71,6.71,0.1,177500000.0,6.69,,,,244800000.0,,998900000.0,970100000.0,28800000.0,992000000.0,6900000.0,644100000.0,2058200000.0,,,,,37800000.0,,,,,,,59500000.0,644100000.0,1414100000.0,,,237000000.0,1177100000.0,37800000.0,1214900000.0,2058200000.0,147800000.0,146700000.0,147200000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 13:33:43+00:00,,8.04,8.04,0.1,172600000.0,8.02,,,,222400000.0,,1156700000.0,1053300000.0,103400000.0,1150800000.0,5900000.0,,2242600000.0,,,,,,736300000.0,,,,,,53800000.0,,2242600000.0,,,962700000.0,1279900000.0,,1275700000.0,2242600000.0,143100000.0,141600000.0,141900000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2008.0,Q3,2008-07-01,2008-09-30,2009-10-22 12:56:50+00:00,0.0,1.98,1.98,0.025,47000000.0,1.97,0.0,0.0,0.0,68800000.0,0.0,283700000.0,296800000.0,-13100000.0,282300000.0,1400000.0,0.0,619500000.0,,,0.0,,-6500000.0,185200000.0,0.0,0.0,0.0,0.0,0.0,15200000.0,0.0,619500000.0,0.0,0.0,247400000.0,372100000.0,-6500000.0,365600000.0,619500000.0,142600000.0,141100000.0,141400000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2008.0,Q2,2008-04-01,2008-06-30,2009-07-23 12:48:37+00:00,0.0,2.06,2.06,0.025,46700000.0,2.05,0.0,0.0,0.0,64600000.0,0.0,297900000.0,288100000.0,9800000.0,296700000.0,1200000.0,0.0,609400000.0,,,0.0,,6800000.0,203000000.0,0.0,0.0,0.0,0.0,0.0,13800000.0,0.0,609400000.0,0.0,0.0,263500000.0,345900000.0,6800000.0,352700000.0,609400000.0,144000000.0,142700000.0,143200000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2009.0,Q4,2009-10-01,2009-12-31,,,1.46,1.46,0.03,41800000.0,1.46,,,,47900000.0,,209800000.0,152300000.0,57900000.0,208700000.0,1500000.0,709000000.0,452000000.0,,,,,400000.0,-518800000.0,,,,,,22400000.0,709000000.0,-257000000.0,,2200000.0,-454600000.0,197600000.0,2600000.0,200200000.0,452000000.0,142200000.0,140400000.0,140500000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 12:33:19+00:00,,5.48,5.48,0.1,189500000.0,5.48,,,,180000000.0,,784500000.0,755200000.0,29300000.0,779400000.0,5100000.0,709000000.0,1888900000.0,,,,,6600000.0,,,,,,,64000000.0,709000000.0,1179900000.0,,2200000.0,253500000.0,926400000.0,8800000.0,935200000.0,1888900000.0,142200000.0,140400000.0,140500000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2009.0,Q3,2009-07-01,2009-09-30,2009-10-22 12:56:50+00:00,0.0,1.05,1.05,0.025,53300000.0,1.05,0.0,0.0,0.0,28400000.0,0.0,151200000.0,150400000.0,400000.0,149700000.0,1100000.0,0.0,425400000.0,,,0.0,,3600000.0,183300000.0,0.0,0.0,0.0,0.0,0.0,13600000.0,0.0,425400000.0,0.0,0.0,250200000.0,175200000.0,3600000.0,178800000.0,425400000.0,142600000.0,140700000.0,140700000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2009.0,Q3YTD,2009-01-01,2009-09-30,,,4.02,4.02,0.08,147700000.0,4.02,,,,132100000.0,,574700000.0,602900000.0,-28600000.0,570700000.0,3600000.0,,1436900000.0,,,,,6200000.0,518800000.0,,,,,,41600000.0,,1436900000.0,,,708100000.0,728800000.0,6200000.0,735000000.0,1436900000.0,142600000.0,140700000.0,140700000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2009.0,Q2,2009-04-01,2009-06-30,2009-07-23 12:48:37+00:00,0.0,1.41,1.41,0.025,49300000.0,1.41,0.0,0.0,0.0,49100000.0,0.0,201400000.0,226300000.0,-24900000.0,200300000.0,1100000.0,0.0,511600000.0,,,0.0,,6900000.0,177800000.0,0.0,0.0,0.0,0.0,0.0,16000000.0,0.0,511600000.0,0.0,0.0,243100000.0,268500000.0,6900000.0,275400000.0,511600000.0,142100000.0,140300000.0,140400000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2009.0,Q2YTD,2009-01-01,2009-06-30,,,2.97,2.97,0.05,94400000.0,2.97,,,,103700000.0,,423500000.0,452500000.0,-29000000.0,421000000.0,2500000.0,,1011500000.0,,,,,2600000.0,335500000.0,,,,,,28000000.0,,1011500000.0,,,457900000.0,553600000.0,2600000.0,556200000.0,1011500000.0,142100000.0,140300000.0,140400000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2009.0,Q1,2009-01-01,2009-03-31,2010-04-22 14:51:30+00:00,,1.56,1.56,0.025,45100000.0,1.56,,,,54600000.0,,222100000.0,226200000.0,-4100000.0,220700000.0,1400000.0,,499900000.0,,,,,-4300000.0,157700000.0,,,,,,12000000.0,,499900000.0,,,214800000.0,285100000.0,-4300000.0,280800000.0,499900000.0,141500000.0,140100000.0,140100000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2010.0,Q4,2010-10-01,2010-12-31,,,0.93,0.93,0.35,51200000.0,0.93,,,,13100000.0,,134300000.0,139000000.0,1300000.0,132900000.0,1400000.0,547700000.0,385900000.0,-6000000.0,,,,-900000.0,-388400000.0,,,,,,22900000.0,547700000.0,-161800000.0,,500000.0,-314300000.0,152500000.0,-400000.0,152100000.0,385900000.0,142700000.0,141000000.0,141000000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2010.0,FY,2010-01-01,2010-12-31,2013-02-21 18:32:46+00:00,,4.06,4.06,1.075,210400000.0,4.06,,,,97200000.0,,585900000.0,556900000.0,29000000.0,579500000.0,6400000.0,741800000.0,1674200000.0,,,,,17500000.0,,,,,,,86100000.0,741800000.0,932400000.0,0.0,700000.0,296500000.0,635900000.0,18200000.0,654100000.0,1674200000.0,142700000.0,141000000.0,141000000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2010.0,Q3YTD,2010-01-01,2010-09-30,,,3.13,3.13,0.73,159200000.0,3.13,,,,84100000.0,,451600000.0,417900000.0,27700000.0,446600000.0,5000000.0,194100000.0,1288300000.0,6000000.0,,,,18400000.0,388400000.0,,,,,,63200000.0,194100000.0,1094200000.0,,200000.0,610800000.0,483400000.0,18600000.0,502000000.0,1288300000.0,143400000.0,141100000.0,141200000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2010.0,Q3TTM,2009-10-01,2010-09-30,,,4.59,4.59,0.75,201000000.0,4.59,,,,132000000.0,,661400000.0,570200000.0,85600000.0,655300000.0,6500000.0,903100000.0,1740300000.0,6000000.0,,,,18800000.0,-130400000.0,,,,,,85600000.0,903100000.0,837200000.0,,2400000.0,156200000.0,681000000.0,21200000.0,702200000.0,1740300000.0,143400000.0,141100000.0,141200000.0
