company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othercostofrevenue,otherincome,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 14:06:44+00:00,-0.07,-0.07,,,-0.07,-463000000.0,-110000000.0,-110000000.0,0.0,-161000000.0,51000000.0,25400000000.0,31746000000.0,,,300000000.0,,4575000000.0,25400000000.0,6346000000.0,2413000000.0,-231000000.0,4575000000.0,1771000000.0,-2344000000.0,-573000000.0,31746000000.0,2300000000.0,2300000000.0,2300000000.0
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.46,0.46,,3261000000.0,0.38,-143000000.0,1839000000.0,1834000000.0,5000000.0,1831000000.0,8000000.0,139152000000.0,162944000000.0,,1892000000.0,5214000000.0,6568000000.0,15828000000.0,141044000000.0,21900000000.0,10426000000.0,10660000000.0,25657000000.0,-3757000000.0,5448000000.0,1691000000.0,162944000000.0,3216100000.0,3216100000.0,3437900000.0
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.15,0.15,,2399000000.0,0.09,-242000000.0,826000000.0,821000000.0,5000000.0,834000000.0,-8000000.0,89518000000.0,102400000000.0,,1642000000.0,1891000000.0,2208000000.0,10867000000.0,91160000000.0,11240000000.0,7200000000.0,10122000000.0,15474000000.0,-4234000000.0,4813000000.0,579000000.0,102400000000.0,3014700000.0,3014700000.0,3276800000.0
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.87,1.87,,1580000000.0,1.54,500000000.0,6369000000.0,6369000000.0,,6371000000.0,-2000000.0,129698000000.0,130393000000.0,,-416000000.0,9860000000.0,-15408000000.0,9758000000.0,129282000000.0,1111000000.0,9612000000.0,1440000000.0,-4070000000.0,5181000000.0,1688000000.0,6869000000.0,130393000000.0,3442900000.0,3442900000.0,3923300000.0
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.38,1.38,,1154000000.0,1.11,301000000.0,4681000000.0,4681000000.0,,4684000000.0,-3000000.0,105465000000.0,98199000000.0,,-344000000.0,6781000000.0,-19656000000.0,7733000000.0,105121000000.0,-6922000000.0,6674000000.0,1028000000.0,-10769000000.0,3847000000.0,1135000000.0,4982000000.0,98199000000.0,3419700000.0,3419700000.0,4260700000.0
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2011.0,FY,2011-01-01,2011-12-31,2014-02-18 14:09:05+00:00,5.33,5.33,0.05,,4.94,-11541000000.0,20222000000.0,27659000000.0,,20213000000.0,9000000.0,113611000000.0,143042000000.0,0.0,-36000000.0,375000000.0,,10884000000.0,113575000000.0,29467000000.0,4431000000.0,1591000000.0,10884000000.0,18583000000.0,-2465000000.0,16118000000.0,143042000000.0,3792300000.0,3792300000.0,4091700000.0
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2012.0,FY,2012-01-01,2012-12-31,2015-02-13 07:03:25+00:00,1.47,1.47,0.15,,1.41,2026000000.0,5606000000.0,5606000000.0,,5613000000.0,-1000000.0,113039000000.0,133559000000.0,,83000000.0,365000000.0,,11529000000.0,113122000000.0,20437000000.0,3828000000.0,2187000000.0,11529000000.0,8908000000.0,-1276000000.0,7632000000.0,133559000000.0,3818400000.0,3818400000.0,3980900000.0
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2013.0,FY,2013-01-01,2013-12-31,2016-02-11 08:13:33+00:00,3.04,3.04,0.4,,2.94,2425000000.0,11944000000.0,11944000000.0,,11953000000.0,-7000000.0,120190000000.0,146917000000.0,,210000000.0,348000000.0,,10850000000.0,120400000000.0,26517000000.0,3689000000.0,2043000000.0,10850000000.0,15667000000.0,-1298000000.0,14369000000.0,146917000000.0,3931900000.0,3931900000.0,4065600000.0
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2014.0,FY,2014-01-01,2014-12-31,2017-02-09 08:44:28+00:00,0.31,0.31,0.5,,0.31,4000000.0,1230000000.0,1230000000.0,,1231000000.0,-1000000.0,131903000000.0,144077000000.0,,,424000000.0,,11842000000.0,131903000000.0,12174000000.0,797000000.0,1275000000.0,11842000000.0,332000000.0,902000000.0,1234000000.0,144077000000.0,3971000000.0,3971000000.0,3971000000.0
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2015.0,FY,2015-01-01,2015-12-31,2018-02-08 11:41:16+00:00,1.86,1.86,0.6,,1.84,2881000000.0,7371000000.0,7371000000.0,,7373000000.0,-2000000.0,131814000000.0,149558000000.0,,,2226000000.0,,10763000000.0,131814000000.0,17744000000.0,773000000.0,1818000000.0,10763000000.0,6981000000.0,3271000000.0,10252000000.0,149558000000.0,3964000000.0,3964000000.0,4007100000.0
