company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 14:03:27+00:00,-83000000.0,,,1236000000.0,1014000000.0,0.0,250000000.0,34032000000.0,-5268000000.0,-6457000000.0,17074000000.0,0.0,0.0,26000000.0,-5268000000.0,-6457000000.0,17100000000.0,6389000000.0,,,0.0,0.0,45287000000.0,,,-67104000000.0,-6022000000.0,-39519000000.0,-31000000.0,20229000000.0,
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2008.0,Q4,2008-10-01,2008-12-31,,938000000.0,,,-6293000000.0,136000000.0,,-663000000.0,-27565000000.0,9493000000.0,4029000000.0,,,,,9493000000.0,4029000000.0,-3269000000.0,10389000000.0,,,,,-32626000000.0,,,86813000000.0,4875000000.0,37721000000.0,,-49678000000.0,
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-06 14:06:44+00:00,-938000000.0,,,6293000000.0,-136000000.0,,663000000.0,27565000000.0,-9493000000.0,-4029000000.0,,0.0,0.0,0.0,-9493000000.0,-4029000000.0,3269000000.0,-10389000000.0,,,,,32626000000.0,0.0,,-86813000000.0,-4875000000.0,-37721000000.0,,49678000000.0,
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2009.0,Q4,2009-10-01,2009-12-31,,-343000000.0,,,2000000.0,-70000000.0,,180000000.0,10351000000.0,-8259000000.0,3823000000.0,15477000000.0,,,,-8259000000.0,3823000000.0,-153000000.0,-4659000000.0,,,-15630000000.0,-2574000000.0,8394000000.0,,,-21917000000.0,-668000000.0,-16216000000.0,,18355000000.0,
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 15:45:59+00:00,-343000000.0,,,382000000.0,454000000.0,,2450000000.0,45993000000.0,-22830000000.0,6619000000.0,15477000000.0,,,,-22830000000.0,6619000000.0,15477000000.0,-910000000.0,,,,-2574000000.0,39498000000.0,-630000000.0,,-104592000000.0,-4059000000.0,-68699000000.0,,75733000000.0,
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2009.0,Q3TTM,2008-10-01,2009-09-30,,938000000.0,,,-5913000000.0,660000000.0,,1607000000.0,8077000000.0,-5078000000.0,6825000000.0,,,,,-5078000000.0,6825000000.0,12361000000.0,14138000000.0,,,,,-1522000000.0,-630000000.0,,4138000000.0,1484000000.0,-14762000000.0,,7700000000.0,
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2009.0,Q3,2009-07-01,2009-09-30,,343000000.0,,,209000000.0,228000000.0,,619000000.0,10380000000.0,-1440000000.0,-2900000000.0,-9367000000.0,,,,-1440000000.0,-2900000000.0,6263000000.0,2151000000.0,,,15630000000.0,,11594000000.0,,,-32215000000.0,-1345000000.0,-12439000000.0,,18514000000.0,
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2009.0,Q3YTD,2009-01-01,2009-09-30,2009-11-06 14:06:44+00:00,0.0,,,380000000.0,524000000.0,,2270000000.0,35642000000.0,-14571000000.0,2796000000.0,,0.0,0.0,0.0,-14571000000.0,2796000000.0,15630000000.0,3749000000.0,,,,,31104000000.0,-630000000.0,,-82675000000.0,-3391000000.0,-52483000000.0,,57378000000.0,
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-06 11:50:07+00:00,-343000000.0,,,171000000.0,296000000.0,0.0,1651000000.0,25262000000.0,-13131000000.0,5696000000.0,9367000000.0,0.0,0.0,0.0,-13131000000.0,5696000000.0,9367000000.0,1598000000.0,,,0.0,0.0,19510000000.0,-630000000.0,,-50460000000.0,-2046000000.0,-40044000000.0,0.0,38864000000.0,
Ford Motor Co,F,20S05OYHG0MQM4VUIC57,37996,2009.0,Q2,2009-04-01,2009-06-30,,,,,5000000.0,606000000.0,,1651000000.0,9852000000.0,-8230000000.0,5031000000.0,5351000000.0,,,,-8230000000.0,5031000000.0,5351000000.0,2758000000.0,,,,,9799000000.0,,,-22426000000.0,-977000000.0,-19733000000.0,,18630000000.0,
