company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Frontier Communications Corp,FTR,,20520,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 12:25:21+00:00,,,78878000.0,365858000.0,561801000.0,,-12392000.0,1398000.0,135000000.0,,-519330000.0,-282775000.0,739266000.0,-519330000.0,-282775000.0,739266000.0,-62839000.0,184274000.0,184274000.0,5583000.0,15521000.0,5489000.0,-318437000.0,-288264000.0,-152812000.0,-200000000.0,
Frontier Communications Corp,FTR,,20520,2009.0,Q4,2009-10-01,2009-12-31,,,,-218000.0,68590000.0,102892000.0,,77768000.0,71000.0,578646000.0,,-237818000.0,-91743000.0,252099000.0,-237818000.0,-91743000.0,252099000.0,-77462000.0,5170000.0,5170000.0,66269000.0,,-278000.0,-78091000.0,-91465000.0,-738444000.0,,
Frontier Communications Corp,FTR,,20520,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 16:16:15+00:00,0.0,,59735000.0,364167000.0,476391000.0,,51565000.0,751000.0,1117476000.0,,-292362000.0,-255292000.0,742720000.0,-292362000.0,-255292000.0,742720000.0,195066000.0,123181000.0,123181000.0,91583000.0,,673000.0,-312366000.0,-255965000.0,-1098223000.0,,
Frontier Communications Corp,FTR,,20520,2009.0,Q3,2009-07-01,2009-09-30,,,,19495000.0,114511000.0,103123000.0,,-5243000.0,,,,-124425000.0,-53813000.0,160291000.0,-124425000.0,-53813000.0,160291000.0,-17947000.0,52746000.0,52746000.0,9665000.0,,323000.0,-78091000.0,-54136000.0,-46334000.0,,
Frontier Communications Corp,FTR,,20520,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-09 12:36:28+00:00,,,59953000.0,295577000.0,373499000.0,,-26203000.0,680000.0,538830000.0,,-54544000.0,-163549000.0,490621000.0,-54544000.0,-163549000.0,490621000.0,272528000.0,118011000.0,118011000.0,25314000.0,,951000.0,-234275000.0,-164500000.0,-359779000.0,,
Frontier Communications Corp,FTR,,20520,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-05 13:04:15+00:00,,,40458000.0,181066000.0,270376000.0,,-20960000.0,680000.0,538830000.0,,69881000.0,-109736000.0,330330000.0,69881000.0,-109736000.0,330330000.0,290475000.0,65265000.0,65265000.0,15649000.0,,628000.0,-156184000.0,-110364000.0,-313445000.0,,
Frontier Communications Corp,FTR,,20520,2010.0,Q4,2010-10-01,2010-12-31,,,,15843000.0,212196000.0,352802000.0,,-87989000.0,,,,-191441000.0,-244371000.0,336010000.0,-191441000.0,-244371000.0,336010000.0,-99802000.0,46622000.0,46622000.0,24575000.0,,3212000.0,-186347000.0,-247583000.0,-5094000.0,,
Frontier Communications Corp,FTR,,20520,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 11:39:17+00:00,-82560000.0,,19885000.0,511354000.0,893719000.0,,108149000.0,,0.0,,-555655000.0,-773955000.0,1222180000.0,-555655000.0,-773955000.0,1222180000.0,-107430000.0,155717000.0,155717000.0,64595000.0,,-113516000.0,-529389000.0,-577879000.0,-26266000.0,,
Frontier Communications Corp,FTR,,20520,2010.0,Q3TTM,2009-10-01,2010-09-30,,-82560000.0,,3824000.0,367748000.0,643809000.0,,273906000.0,71000.0,578646000.0,,-602032000.0,-621327000.0,1138269000.0,-602032000.0,-621327000.0,1138269000.0,-85090000.0,114265000.0,114265000.0,106289000.0,,-117006000.0,-421133000.0,-421761000.0,-759616000.0,,
Frontier Communications Corp,FTR,,20520,2010.0,Q3,2010-07-01,2010-09-30,,-82560000.0,,4847000.0,118295000.0,339894000.0,,172966000.0,,,,-200461000.0,-248229000.0,568600000.0,-200461000.0,-248229000.0,568600000.0,119910000.0,29684000.0,29684000.0,26056000.0,,8924000.0,-186336000.0,-174593000.0,-14125000.0,,
Frontier Communications Corp,FTR,,20520,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-04 15:03:01+00:00,-82560000.0,,4042000.0,299158000.0,540917000.0,,196138000.0,,,,-364214000.0,-529584000.0,886170000.0,-364214000.0,-529584000.0,886170000.0,-7628000.0,109095000.0,109095000.0,40020000.0,,-116728000.0,-343042000.0,-330296000.0,-21172000.0,,
Frontier Communications Corp,FTR,,20520,2010.0,Q2TTM,2009-07-01,2010-06-30,,,,18472000.0,363964000.0,407038000.0,,95697000.0,71000.0,578646000.0,,-525996000.0,-426911000.0,729960000.0,-525996000.0,-426911000.0,729960000.0,-222947000.0,137327000.0,137327000.0,89898000.0,,-125607000.0,-312888000.0,-301304000.0,-791825000.0,,
Frontier Communications Corp,FTR,,20520,2010.0,Q2,2010-04-01,2010-06-30,,,,-805000.0,71335000.0,99974000.0,,52448000.0,,,,-82467000.0,-211891000.0,194418000.0,-82467000.0,-211891000.0,194418000.0,-99940000.0,35939000.0,35939000.0,6057000.0,,-125794000.0,-78351000.0,-86097000.0,-4116000.0,,
Frontier Communications Corp,FTR,,20520,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-05 16:33:26+00:00,,,-805000.0,180863000.0,201023000.0,,23172000.0,,,,-163753000.0,-281355000.0,317570000.0,-163753000.0,-281355000.0,317570000.0,-127538000.0,79411000.0,79411000.0,13964000.0,,-125652000.0,-156706000.0,-155703000.0,-7047000.0,,
Frontier Communications Corp,FTR,,20520,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 13:43:28+00:00,,,,109528000.0,101049000.0,,-29276000.0,,,,-81286000.0,-69464000.0,123152000.0,-81286000.0,-69464000.0,123152000.0,-27598000.0,43472000.0,43472000.0,7907000.0,,142000.0,-78355000.0,-69606000.0,-2931000.0,,
Frontier Communications Corp,FTR,,20520,2011.0,Q4,2011-10-01,2011-12-31,,,,-16825000.0,205855000.0,341025000.0,,-66392000.0,,575000000.0,,-94052000.0,-85698000.0,300027000.0,-94052000.0,-85698000.0,300027000.0,120277000.0,45248000.0,45248000.0,-19854000.0,,39931000.0,-186584000.0,-125629000.0,-482468000.0,,
Frontier Communications Corp,FTR,,20520,2011.0,FY,2011-01-01,2011-12-31,2013-02-27 11:39:17+00:00,0.0,,-33072000.0,653500000.0,1403175000.0,,1828000.0,,575000000.0,,-735178000.0,-762672000.0,1572681000.0,-735178000.0,-762672000.0,1572681000.0,74831000.0,157608000.0,157608000.0,10070000.0,,62167000.0,-746387000.0,-824839000.0,-563791000.0,,
Frontier Communications Corp,FTR,,20520,2011.0,Q3TTM,2010-10-01,2011-09-30,,,,-404000.0,659841000.0,1414952000.0,,-19769000.0,,,,-832567000.0,-921345000.0,1608664000.0,-832567000.0,-921345000.0,1608664000.0,-145248000.0,158982000.0,158982000.0,54499000.0,,25448000.0,-746150000.0,-946793000.0,-86417000.0,,
Frontier Communications Corp,FTR,,20520,2011.0,Q3,2011-07-01,2011-09-30,,,,-43450000.0,118917000.0,351907000.0,,21774000.0,,,,-186254000.0,-249024000.0,408423000.0,-186254000.0,-249024000.0,408423000.0,-26855000.0,22320000.0,22320000.0,12422000.0,,17161000.0,-186588000.0,-266185000.0,334000.0,,
Frontier Communications Corp,FTR,,20520,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-08 15:54:48+00:00,,,-16247000.0,447645000.0,1062150000.0,,68220000.0,,0.0,,-641126000.0,-676974000.0,1272654000.0,-641126000.0,-676974000.0,1272654000.0,-45446000.0,112360000.0,112360000.0,29924000.0,,22236000.0,-559803000.0,-699210000.0,-81323000.0,,
Frontier Communications Corp,FTR,,20520,2011.0,Q2TTM,2010-07-01,2011-06-30,,-82560000.0,,47893000.0,659219000.0,1402939000.0,,131423000.0,,,,-846774000.0,-920550000.0,1768841000.0,-846774000.0,-920550000.0,1768841000.0,1517000.0,166346000.0,166346000.0,68133000.0,,17211000.0,-745898000.0,-855201000.0,-100876000.0,,
Frontier Communications Corp,FTR,,20520,2011.0,Q2,2011-04-01,2011-06-30,,,,18257000.0,209661000.0,358986000.0,,-48351000.0,,,,-261196000.0,-215631000.0,350117000.0,-261196000.0,-215631000.0,350117000.0,-126710000.0,33844000.0,33844000.0,5638000.0,,8282000.0,-186610000.0,-223913000.0,-74586000.0,,
Frontier Communications Corp,FTR,,20520,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-03 09:57:33+00:00,,,27203000.0,328728000.0,710243000.0,,46446000.0,,0.0,,-454872000.0,-427950000.0,864231000.0,-454872000.0,-427950000.0,864231000.0,-18591000.0,90040000.0,90040000.0,17502000.0,,5075000.0,-373215000.0,-433025000.0,-81657000.0,,
Frontier Communications Corp,FTR,,20520,2011.0,Q1TTM,2010-04-01,2011-03-31,,-82560000.0,,28831000.0,520893000.0,1143927000.0,,232222000.0,,,,-668045000.0,-916810000.0,1613142000.0,-668045000.0,-916810000.0,1613142000.0,28287000.0,168441000.0,168441000.0,68552000.0,,-116865000.0,-637639000.0,-717385000.0,-30406000.0,,
Frontier Communications Corp,FTR,,20520,2011.0,Q1,2011-01-01,2011-03-31,2012-05-09 15:05:03+00:00,,,8946000.0,119067000.0,351257000.0,,94797000.0,,,,-193676000.0,-212319000.0,514114000.0,-193676000.0,-212319000.0,514114000.0,108119000.0,56196000.0,56196000.0,11864000.0,,-3207000.0,-186605000.0,-209112000.0,-7071000.0,,
Frontier Communications Corp,FTR,,20520,2012.0,FY,2012-01-01,2012-12-31,2015-02-24 21:17:02+00:00,,,4715000.0,636485000.0,1266807000.0,,-13192000.0,,1360625000.0,,82904000.0,-634939000.0,1552473000.0,82904000.0,-634939000.0,1552473000.0,1000438000.0,153314000.0,153314000.0,145544000.0,,167565000.0,-399390000.0,-802504000.0,-878331000.0,,
Frontier Communications Corp,FTR,,20520,2012.0,Q4,2012-10-01,2012-12-31,,,,622000.0,191364000.0,304044000.0,,28674000.0,,260625000.0,,-57844000.0,-107301000.0,392188000.0,-57844000.0,-107301000.0,392188000.0,227043000.0,29199000.0,29199000.0,30271000.0,,85328000.0,-99843000.0,-192629000.0,-218626000.0,,
Frontier Communications Corp,FTR,,20520,2012.0,Q3TTM,2011-10-01,2012-09-30,,,,-12732000.0,650976000.0,1303788000.0,,-108258000.0,,1675000000.0,,46696000.0,-613336000.0,1460312000.0,46696000.0,-613336000.0,1460312000.0,893672000.0,169363000.0,169363000.0,95419000.0,,122168000.0,-486131000.0,-735504000.0,-1142173000.0,,
Frontier Communications Corp,FTR,,20520,2012.0,Q3,2012-07-01,2012-09-30,,,,4301000.0,116350000.0,298416000.0,,32009000.0,,597828000.0,,437612000.0,-150629000.0,402492000.0,437612000.0,-150629000.0,402492000.0,689475000.0,71626000.0,71626000.0,441000.0,,55233000.0,-99845000.0,-205862000.0,-60371000.0,,
Frontier Communications Corp,FTR,,20520,2012.0,Q3YTD,2012-01-01,2012-09-30,2013-11-07 10:06:03+00:00,,,4093000.0,445121000.0,962763000.0,,-41866000.0,,1100000000.0,,140748000.0,-527638000.0,1160285000.0,140748000.0,-527638000.0,1160285000.0,773395000.0,124115000.0,124115000.0,115273000.0,,82237000.0,-299547000.0,-609875000.0,-659705000.0,,
Frontier Communications Corp,FTR,,20520,2012.0,Q2TTM,2011-07-01,2012-06-30,,,,-60483000.0,653543000.0,1357279000.0,,-118493000.0,,1077172000.0,,-577170000.0,-711731000.0,1466243000.0,-577170000.0,-711731000.0,1466243000.0,177342000.0,120057000.0,120057000.0,107400000.0,,84096000.0,-572874000.0,-795827000.0,-1081468000.0,,
Frontier Communications Corp,FTR,,20520,2012.0,Q2,2012-04-01,2012-06-30,,,,161000.0,210247000.0,307047000.0,,-50940000.0,,502172000.0,,-178817000.0,-152263000.0,375280000.0,-178817000.0,-152263000.0,375280000.0,44200000.0,21999000.0,21999000.0,97174000.0,,27497000.0,-99851000.0,-179760000.0,-581138000.0,,
Frontier Communications Corp,FTR,,20520,2012.0,Q2YTD,2012-01-01,2012-06-30,2013-08-08 11:02:13+00:00,,,-208000.0,328771000.0,664347000.0,0.0,-73875000.0,,502172000.0,,-296864000.0,-377009000.0,757793000.0,-296864000.0,-377009000.0,757793000.0,83920000.0,52489000.0,52489000.0,114832000.0,,27004000.0,-199702000.0,-404013000.0,-599334000.0,,
Frontier Communications Corp,FTR,,20520,2012.0,Q1TTM,2011-04-01,2012-03-31,,,,-42387000.0,652957000.0,1409218000.0,,-115904000.0,,575000000.0,,-659549000.0,-775099000.0,1441080000.0,-659549000.0,-775099000.0,1441080000.0,6432000.0,131902000.0,131902000.0,15864000.0,,64881000.0,-659633000.0,-839980000.0,-574916000.0,,
