company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,otherspecialcharges,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Frontier Communications Corp,FTR,,20520,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 12:25:21+00:00,0.57,0.57,,561801000.0,0.57,,106496000.0,184274000.0,184274000.0,182660000.0,1614000.0,222013000.0,2237018000.0,,-5170000.0,,,,,810748000.0,222013000.0,2015005000.0,362634000.0,16118000.0,1372549000.0,642456000.0,-351686000.0,290770000.0,2237018000.0,320500000.0,320500000.0,320500000.0
Frontier Communications Corp,FTR,,20520,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 16:16:15+00:00,0.38,0.38,,476391000.0,0.38,,69928000.0,123181000.0,123181000.0,120783000.0,2398000.0,225907000.0,2117894000.0,,-41127000.0,,,,28334000.0,781097000.0,225907000.0,1891987000.0,378214000.0,6285000.0,1285822000.0,606165000.0,-413056000.0,193109000.0,2117894000.0,317900000.0,317900000.0,317900000.0
Frontier Communications Corp,FTR,,20520,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 12:36:28+00:00,0.17,0.17,,103123000.0,0.17,,29021000.0,52746000.0,52746000.0,52159000.0,587000.0,54549000.0,526816000.0,,5200000.0,,,,3706000.0,192948000.0,54549000.0,472267000.0,96578000.0,655000.0,299777000.0,172490000.0,-90723000.0,81767000.0,526816000.0,306800000.0,306800000.0,306800000.0
Frontier Communications Corp,FTR,,20520,2009.0,Q2,2009-04-01,2009-06-30,2010-08-05 13:04:15+00:00,0.09,0.09,,132818000.0,0.09,,14254000.0,28310000.0,28310000.0,27918000.0,392000.0,59203000.0,532142000.0,,3355000.0,,,,10751000.0,192754000.0,59203000.0,472939000.0,98670000.0,1263000.0,336323000.0,136616000.0,-94052000.0,42564000.0,532142000.0,310200000.0,310200000.0,310200000.0
Frontier Communications Corp,FTR,,20520,2010.0,Q4,2010-10-01,2010-12-31,,-0.05,-0.05,,352802000.0,-0.05,,26247000.0,46622000.0,46622000.0,45992000.0,630000.0,140624000.0,1358721000.0,,193000.0,,,,11275000.0,614340000.0,140624000.0,1218097000.0,167458000.0,454000.0,978417000.0,239680000.0,-166811000.0,72869000.0,1358721000.0,649828000.0,649828000.0,649828000.0
Frontier Communications Corp,FTR,,20520,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 11:39:17+00:00,0.23,0.23,,893719000.0,0.23,,114999000.0,155717000.0,155717000.0,152673000.0,3044000.0,383679000.0,3797675000.0,,13690000.0,,,,137142000.0,1611137000.0,383679000.0,3413996000.0,521820000.0,6848000.0,2641998000.0,771998000.0,-501282000.0,270716000.0,3797675000.0,649828000.0,649828000.0,649828000.0
Frontier Communications Corp,FTR,,20520,2010.0,Q3YTD,2010-01-01,2010-09-30,,0.28,0.28,,540917000.0,0.28,,88752000.0,109095000.0,109095000.0,106681000.0,2414000.0,243055000.0,2438954000.0,,13497000.0,,,,125867000.0,996797000.0,243055000.0,2195899000.0,354362000.0,6394000.0,1663581000.0,532318000.0,-334471000.0,197847000.0,2438954000.0,988945000.0,988945000.0,988945000.0
Frontier Communications Corp,FTR,,20520,2010.0,Q3,2010-07-01,2010-09-30,2011-11-04 15:03:01+00:00,0.03,0.03,,339894000.0,0.03,,40358000.0,29684000.0,29684000.0,28995000.0,689000.0,136373000.0,1402968000.0,,2207000.0,,,,78533000.0,614123000.0,136373000.0,1266595000.0,166607000.0,397000.0,1032550000.0,234045000.0,-164003000.0,70042000.0,1402968000.0,988945000.0,988945000.0,988945000.0
Frontier Communications Corp,FTR,,20520,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.25,0.25,,201023000.0,0.25,,48394000.0,79411000.0,79411000.0,77686000.0,1725000.0,106682000.0,1035986000.0,,11290000.0,,,,47334000.0,382674000.0,106682000.0,929304000.0,187755000.0,5997000.0,631031000.0,298273000.0,-170468000.0,127805000.0,1035986000.0,319300000.0,319300000.0,319300000.0
Frontier Communications Corp,FTR,,20520,2010.0,Q2,2010-04-01,2010-06-30,2011-08-05 16:33:26+00:00,0.11,0.11,,99974000.0,0.11,,16338000.0,35939000.0,35939000.0,35121000.0,818000.0,53139000.0,516137000.0,,6334000.0,,,,36964000.0,189649000.0,53139000.0,462998000.0,93968000.0,3500000.0,326587000.0,136411000.0,-84134000.0,52277000.0,516137000.0,319300000.0,319300000.0,319300000.0
