company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Walmart Inc,WMT,Y87794H0US1R65VBXU25,104169,2008.0,FY,2007-02-01,2008-01-31,2010-03-30 17:07:58+00:00,-1338000000.0,6299000000.0,1622000000.0,6317000000.0,,252000000.0,552000000.0,13543000000.0,-7422000000.0,-15670000000.0,20642000000.0,-7422000000.0,-15670000000.0,20642000000.0,-2198000000.0,13137000000.0,13269000000.0,-132000000.0,504000000.0,-352000000.0,,-3586000000.0,,-14937000000.0,-9688000000.0,-7691000000.0,957000000.0
Walmart Inc,WMT,Y87794H0US1R65VBXU25,104169,2009.0,Q4,2008-11-01,2009-01-31,,-1502000000.0,6596000000.0,1787000000.0,1685000000.0,-838000000.0,-550000000.0,7014000000.0,-1684000000.0,-6871000000.0,-3945000000.0,12721000000.0,-6871000000.0,-3945000000.0,12721000000.0,1355000000.0,3907000000.0,3907000000.0,,115000000.0,1785000000.0,,-932000000.0,,-3325000000.0,-4255000000.0,,-65000000.0
Walmart Inc,WMT,Y87794H0US1R65VBXU25,104169,2009.0,FY,2008-02-01,2009-01-31,2011-03-30 17:31:04+00:00,-1576000000.0,6596000000.0,1787000000.0,6739000000.0,,-781000000.0,1922000000.0,6833000000.0,-9918000000.0,-10742000000.0,23147000000.0,-9918000000.0,-10742000000.0,23147000000.0,1706000000.0,13880000000.0,13734000000.0,146000000.0,752000000.0,1619000000.0,,-3746000000.0,,-11499000000.0,-9484000000.0,-3521000000.0,714000000.0
Walmart Inc,WMT,Y87794H0US1R65VBXU25,104169,2009.0,Q3,2008-08-01,2008-10-31,,,,,1688000000.0,838000000.0,-346000000.0,-4989000000.0,3869000000.0,1333000000.0,-2270000000.0,262000000.0,1333000000.0,-2270000000.0,262000000.0,-1021000000.0,3250000000.0,3145000000.0,105000000.0,418000000.0,-295000000.0,,-936000000.0,,-3100000000.0,-263000000.0,-1337000000.0,287000000.0
Walmart Inc,WMT,Y87794H0US1R65VBXU25,104169,2009.0,Q3YTD,2008-02-01,2008-10-31,2009-12-07 18:16:25+00:00,-74000000.0,,,5054000000.0,838000000.0,-231000000.0,-5092000000.0,8517000000.0,-3047000000.0,-6797000000.0,10426000000.0,-3047000000.0,-6797000000.0,10426000000.0,351000000.0,9973000000.0,9827000000.0,146000000.0,637000000.0,-166000000.0,,-2814000000.0,,-8174000000.0,-5229000000.0,-3521000000.0,779000000.0
Walmart Inc,WMT,Y87794H0US1R65VBXU25,104169,2009.0,Q2YTD,2008-02-01,2008-07-31,2009-09-09 12:11:29+00:00,-74000000.0,,,3366000000.0,,115000000.0,-103000000.0,4648000000.0,-4380000000.0,-4527000000.0,10164000000.0,-4380000000.0,-4527000000.0,10164000000.0,1372000000.0,6723000000.0,6682000000.0,41000000.0,219000000.0,129000000.0,,-1878000000.0,,-5074000000.0,-4966000000.0,-2184000000.0,492000000.0
Walmart Inc,WMT,Y87794H0US1R65VBXU25,104169,2010.0,Q4,2009-11-01,2010-01-31,,,7389000000.0,2141000000.0,1902000000.0,,319000000.0,6775000000.0,-3394000000.0,-9265000000.0,-2959000000.0,13809000000.0,-9265000000.0,-2959000000.0,13809000000.0,1904000000.0,4933000000.0,4990000000.0,-57000000.0,142000000.0,-662000000.0,,-1018000000.0,,-3299000000.0,-2682000000.0,-2171000000.0,1002000000.0
Walmart Inc,WMT,Y87794H0US1R65VBXU25,104169,2010.0,FY,2009-02-01,2010-01-31,2012-03-27 17:22:22+00:00,,7389000000.0,2141000000.0,7157000000.0,,194000000.0,3812000000.0,5546000000.0,-14191000000.0,-11620000000.0,26249000000.0,-14191000000.0,-11620000000.0,26249000000.0,632000000.0,14883000000.0,14962000000.0,-79000000.0,318000000.0,-438000000.0,,-4653000000.0,,-12184000000.0,-7808000000.0,-7276000000.0,1002000000.0
Walmart Inc,WMT,Y87794H0US1R65VBXU25,104169,2010.0,Q3YTD,2009-02-01,2009-10-31,2010-12-06 08:26:47+00:00,,,,5255000000.0,,-125000000.0,-2963000000.0,8940000000.0,-4926000000.0,-8661000000.0,12440000000.0,-4926000000.0,-8661000000.0,12440000000.0,-1272000000.0,9950000000.0,9972000000.0,-22000000.0,176000000.0,224000000.0,,-3635000000.0,,-8885000000.0,-5126000000.0,-5105000000.0,
Walmart Inc,WMT,Y87794H0US1R65VBXU25,104169,2010.0,Q3TTM,2008-11-01,2009-10-31,,-1502000000.0,6596000000.0,1787000000.0,6940000000.0,-838000000.0,-675000000.0,4051000000.0,7256000000.0,-11797000000.0,-12606000000.0,25161000000.0,-11797000000.0,-12606000000.0,25161000000.0,83000000.0,13857000000.0,13879000000.0,-22000000.0,291000000.0,2009000000.0,,-4567000000.0,,-12210000000.0,-9381000000.0,-5105000000.0,-65000000.0
