company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,deferredacquisitioncost,longtermdebt,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,restrictedcash,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities
UDR Inc,UDR,P3CH2EG5X6Z1XWU1OO74,74208,2009.0,FY,,2009-12-31,2011-02-23 17:02:48+00:00,19146000.0,2000.0,5985000.0,,1950224000.0,26601000.0,3426589000.0,4947081000.0,3541000.0,31798000.0,115300000.0,-554785000.0,126487000.0,30857000.0,98758000.0,,5132617000.0,1395441000.0,1395441000.0,1398982000.0,3634877000.0,5132617000.0,,37650000.0
UDR Inc,UDR,P3CH2EG5X6Z1XWU1OO74,74208,2010.0,FY,,2010-12-31,2012-02-27 07:24:52+00:00,20889000.0,-3469000.0,9486000.0,,2451966000.0,27267000.0,3412580000.0,4790953000.0,3687000.0,26046000.0,697968000.0,-973864000.0,304377000.0,36561000.0,119057000.0,,5529540000.0,1474633000.0,1606343000.0,1610030000.0,3800453000.0,5529540000.0,131710000.0,3866000.0
UDR Inc,UDR,P3CH2EG5X6Z1XWU1OO74,74208,2010.0,Q3,,2010-09-30,2010-11-09 13:29:41+00:00,19939000.0,-3741000.0,10107000.0,,2439105000.0,26225000.0,3479670000.0,5292468000.0,3652000.0,27037000.0,106685000.0,-763359000.0,121461000.0,36582000.0,117012000.0,,5477358000.0,1672005000.0,1672005000.0,1675657000.0,3684689000.0,5477358000.0,,41873000.0
UDR Inc,UDR,P3CH2EG5X6Z1XWU1OO74,74208,2010.0,Q2,,2010-06-30,2010-08-03 12:48:01+00:00,20002000.0,-3605000.0,8074000.0,,2063441000.0,25508000.0,3411658000.0,4915867000.0,3621000.0,24920000.0,92042000.0,-690347000.0,103636000.0,32291000.0,113752000.0,,5079369000.0,1369489000.0,1369489000.0,1373110000.0,3592507000.0,5079369000.0,,37878000.0
UDR Inc,UDR,P3CH2EG5X6Z1XWU1OO74,74208,2011.0,FY,,2011-12-31,2013-02-26 17:37:37+00:00,23208000.0,-13902000.0,12503000.0,,3342667000.0,30068000.0,3918370000.0,5910486000.0,4734000.0,35516000.0,555257000.0,-1142895000.0,137982000.0,51019000.0,236475000.0,,6721354000.0,2185870000.0,2314050000.0,2318784000.0,4166095000.0,6721354000.0,128180000.0,213040000.0
UDR Inc,UDR,P3CH2EG5X6Z1XWU1OO74,74208,2011.0,Q3,,2011-09-30,2011-11-03 14:23:29+00:00,23924000.0,-15427000.0,13482000.0,,3324695000.0,23709000.0,3972186000.0,6386798000.0,4701000.0,37685000.0,380914000.0,-983176000.0,184060000.0,47489000.0,208766000.0,,6804903000.0,2326092000.0,2326092000.0,2330793000.0,4265344000.0,6804903000.0,,0.0
UDR Inc,UDR,P3CH2EG5X6Z1XWU1OO74,74208,2011.0,Q2,,2011-06-30,2011-08-05 06:09:26+00:00,23341000.0,-10285000.0,21634000.0,,2784477000.0,24747000.0,3699586000.0,5572548000.0,3775000.0,30524000.0,342848000.0,-947319000.0,147715000.0,42654000.0,187309000.0,,5961777000.0,1826873000.0,1826873000.0,1830648000.0,3943820000.0,5961777000.0,,0.0
UDR Inc,UDR,P3CH2EG5X6Z1XWU1OO74,74208,2011.0,Q1,,2011-03-31,2011-05-03 13:33:10+00:00,20837000.0,-3696000.0,11692000.0,,2550691000.0,21850000.0,3463477000.0,5007731000.0,3738000.0,26965000.0,460604000.0,-913407000.0,192467000.0,37445000.0,123360000.0,,5501877000.0,1633588000.0,1633588000.0,1637326000.0,3741191000.0,5501877000.0,,0.0
UDR Inc,UDR,P3CH2EG5X6Z1XWU1OO74,74208,2012.0,FY,,2012-12-31,2014-02-25 14:03:19+00:00,30937000.0,-11257000.0,12115000.0,,4101383000.0,24990000.0,3409333000.0,6081527000.0,916000.0,25025000.0,262840000.0,-1143781000.0,118643000.0,57915000.0,223418000.0,,6859103000.0,2946345000.0,2992916000.0,2993832000.0,3641853000.0,6859103000.0,46571000.0,477631000.0
UDR Inc,UDR,P3CH2EG5X6Z1XWU1OO74,74208,2012.0,Q2,,2012-06-30,2012-07-31 19:24:55+00:00,31156000.0,-13604000.0,184112000.0,,4101287000.0,28579000.0,3345068000.0,5991715000.0,4829000.0,35534000.0,188117000.0,-977577000.0,145310000.0,57313000.0,243305000.0,,6972621000.0,3110106000.0,3110106000.0,3114935000.0,3614381000.0,6972621000.0,,580098000.0
UDR Inc,UDR,P3CH2EG5X6Z1XWU1OO74,74208,2012.0,Q1,,2012-03-31,2012-05-02 13:31:47+00:00,31127000.0,-13939000.0,3558000.0,,3545499000.0,31641000.0,3913404000.0,5909989000.0,4786000.0,33482000.0,997327000.0,-1126561000.0,120908000.0,53986000.0,251643000.0,,6942515000.0,2404999000.0,2533179000.0,2537965000.0,4152907000.0,6942515000.0,128180000.0,
UDR Inc,UDR,P3CH2EG5X6Z1XWU1OO74,74208,2013.0,FY,,2013-12-31,2015-02-24 16:53:23+00:00,32279000.0,-5125000.0,30249000.0,,4112272000.0,26924000.0,3523703000.0,5989031000.0,856000.0,27203000.0,231067000.0,-1342070000.0,13847000.0,180589000.0,217597000.0,22796000.0,6807722000.0,2765077000.0,2811648000.0,2812504000.0,3777621000.0,6807722000.0,46571000.0,507655000.0
