company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,employeebenefitassets,goodwill,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Allegheny Technologies Inc,ATI,ZW1LRE7C3H17O2ZN9B45,1018963,2008.0,FY,,2008-12-31,2010-02-25 16:26:27+00:00,278500000.0,530500000.0,322000000.0,-746500000.0,469900000.0,662000000.0,,78200000.0,,,190900000.0,494600000.0,887600000.0,1633600000.0,71600000.0,281600000.0,,825100000.0,41400000.0,,,,134900000.0,127800000.0,,,2286700000.0,15200000.0,4170400000.0,1957400000.0,1929400000.0,693900000.0,1957400000.0,2029000000.0,2141400000.0,4170400000.0,607400000.0,1447500000.0,0.0,-244800000.0
Allegheny Technologies Inc,ATI,ZW1LRE7C3H17O2ZN9B45,1018963,2009.0,Q3,,2009-09-30,2009-11-05 16:24:00+00:00,283000000.0,415800000.0,278600000.0,-581800000.0,826300000.0,658100000.0,,300000.0,,124700000.0,196300000.0,1050400000.0,737300000.0,1852500000.0,74800000.0,20600000.0,,478000000.0,67700000.0,,,,138800000.0,116000000.0,,,2210800000.0,20200000.0,4380000000.0,2078700000.0,2047100000.0,582100000.0,2078700000.0,2153500000.0,2226500000.0,4380000000.0,480400000.0,1644400000.0,0.0,-208400000.0
Allegheny Technologies Inc,ATI,ZW1LRE7C3H17O2ZN9B45,1018963,2009.0,Q2,,2009-06-30,2009-08-27 11:02:03+00:00,236400000.0,398200000.0,229600000.0,-594700000.0,850700000.0,651700000.0,,35300000.0,,122200000.0,197300000.0,1055900000.0,692900000.0,1787000000.0,72100000.0,49900000.0,,484300000.0,76200000.0,,,,147000000.0,114800000.0,,,2227200000.0,17500000.0,4321400000.0,2075500000.0,2018000000.0,518800000.0,2075500000.0,2147600000.0,2173800000.0,4321400000.0,516400000.0,1655000000.0,0.0,-208700000.0
Allegheny Technologies Inc,ATI,ZW1LRE7C3H17O2ZN9B45,1018963,2010.0,Q3,,2010-09-30,2010-11-03 16:19:40+00:00,412100000.0,623000000.0,276400000.0,-653900000.0,443300000.0,657400000.0,5400000.0,0.0,,0.0,208100000.0,1039200000.0,1012000000.0,1939900000.0,84500000.0,0.0,49100000.0,447100000.0,77000000.0,,,,181000000.0,111200000.0,,,2228400000.0,21900000.0,4489700000.0,2048200000.0,2160700000.0,710400000.0,2048200000.0,2132700000.0,2357000000.0,4489700000.0,389100000.0,1646600000.0,0.0,-183700000.0
Allegheny Technologies Inc,ATI,ZW1LRE7C3H17O2ZN9B45,1018963,2010.0,Q2,,2010-06-30,2010-08-05 16:27:49+00:00,363600000.0,569300000.0,248000000.0,-662800000.0,378700000.0,651000000.0,,5000000.0,,0.0,204800000.0,1032100000.0,1053000000.0,1933500000.0,81100000.0,0.0,11500000.0,451800000.0,75600000.0,,,,182900000.0,117300000.0,,,2245200000.0,38000000.0,4397800000.0,2049400000.0,2076600000.0,654600000.0,2049400000.0,2130500000.0,2267300000.0,4397800000.0,387700000.0,1612700000.0,0.0,-184000000.0
Allegheny Technologies Inc,ATI,ZW1LRE7C3H17O2ZN9B45,1018963,2010.0,Q1,,2010-03-31,2010-05-07 16:32:35+00:00,396700000.0,472600000.0,254300000.0,-673400000.0,563500000.0,650900000.0,,8900000.0,,,203900000.0,1032300000.0,971100000.0,1921300000.0,79000000.0,11800000.0,,459700000.0,83100000.0,,,,175700000.0,120500000.0,,,2227200000.0,32100000.0,4403000000.0,2019500000.0,2090300000.0,692000000.0,2019500000.0,2098500000.0,2304500000.0,4403000000.0,391400000.0,1612500000.0,0.0,-185200000.0
Allegheny Technologies Inc,ATI,ZW1LRE7C3H17O2ZN9B45,1018963,2011.0,FY,,2011-12-31,2013-02-28 16:24:23+00:00,490700000.0,709100000.0,320300000.0,-941600000.0,380600000.0,1218100000.0,,23500000.0,,,737700000.0,1482000000.0,1384300000.0,2368800000.0,96300000.0,0.0,9800000.0,997000000.0,95500000.0,,,,370900000.0,124700000.0,,,2361500000.0,27300000.0,6046900000.0,2475300000.0,2569500000.0,861800000.0,2475300000.0,2571600000.0,3475300000.0,6046900000.0,1108600000.0,2613500000.0,0.0,-162700000.0
Allegheny Technologies Inc,ATI,ZW1LRE7C3H17O2ZN9B45,1018963,2011.0,Q3,,2011-09-30,2011-11-04 16:36:51+00:00,491800000.0,769300000.0,315800000.0,-637300000.0,431500000.0,1199200000.0,0.0,26000000.0,,,740600000.0,1483400000.0,1434500000.0,2307500000.0,92600000.0,,169700000.0,533700000.0,54200000.0,,,,389400000.0,120400000.0,,,2349700000.0,144900000.0,6127000000.0,2748700000.0,2689500000.0,978500000.0,2748700000.0,2841300000.0,3285700000.0,6127000000.0,1130000000.0,2307200000.0,0.0,-162900000.0
Allegheny Technologies Inc,ATI,ZW1LRE7C3H17O2ZN9B45,1018963,2011.0,Q2,,2011-06-30,2011-08-04 16:58:03+00:00,503600000.0,808100000.0,341000000.0,-639600000.0,367800000.0,1187200000.0,13500000.0,0.0,,,690600000.0,1496500000.0,1465400000.0,2292700000.0,89300000.0,0.0,109600000.0,536600000.0,36300000.0,,,,374600000.0,127500000.0,,,2307300000.0,154200000.0,6049000000.0,2690700000.0,2691100000.0,998800000.0,2690700000.0,2780000000.0,3269000000.0,6049000000.0,1065200000.0,2270200000.0,0.0,-164200000.0
Allegheny Technologies Inc,ATI,ZW1LRE7C3H17O2ZN9B45,1018963,2011.0,Q1,,2011-03-31,2011-05-05 16:46:40+00:00,505200000.0,694000000.0,270800000.0,-649000000.0,816300000.0,663800000.0,2200000.0,0.0,,,209100000.0,1422500000.0,1231900000.0,1999200000.0,92600000.0,0.0,75000000.0,476000000.0,42700000.0,,,,197100000.0,100500000.0,,,2264400000.0,139400000.0,5192500000.0,2110500000.0,2787100000.0,915400000.0,2110500000.0,2203100000.0,2989400000.0,5192500000.0,406200000.0,2074000000.0,0.0,-168700000.0
