company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
J M Smucker Co,SJM,5493000WDH6A0LHDJD55,91419,2009.0,FY,2008-05-01,2009-04-30,2011-06-28 16:18:21+00:00,-77335000.0,38823000.0,79450000.0,0.0,2539000.0,62578000.0,400000000.0,12601000.0,-176981000.0,446993000.0,12601000.0,-176981000.0,446993000.0,285152000.0,265953000.0,265953000.0,189000.0,1976000.0,5448000.0,-384876000.0,0.0,-108907000.0,-474000.0,-4025000.0,3013000.0,800000.0
J M Smucker Co,SJM,5493000WDH6A0LHDJD55,91419,2010.0,Q4,2010-02-01,2010-04-30,,,18398000.0,33206000.0,19554000.0,2147000.0,30306000.0,109000.0,-41564000.0,-4478000.0,201904000.0,-41564000.0,-4478000.0,201904000.0,158009000.0,120606000.0,120606000.0,-612000.0,103000.0,94000.0,-41638000.0,,-24319000.0,,-138000.0,,193000.0
J M Smucker Co,SJM,5493000WDH6A0LHDJD55,91419,2010.0,FY,2009-05-01,2010-04-30,2012-06-25 16:11:38+00:00,0.0,73657000.0,112095000.0,19554000.0,6390000.0,3812000.0,1832000.0,-788548000.0,-104443000.0,713478000.0,-788548000.0,-104443000.0,713478000.0,-173123000.0,494138000.0,494138000.0,29776000.0,6413000.0,-738000.0,-166224000.0,0.0,-136983000.0,-625000000.0,-5569000.0,13519000.0,205000.0
J M Smucker Co,SJM,5493000WDH6A0LHDJD55,91419,2010.0,Q3,2009-11-01,2010-01-31,,,18570000.0,27741000.0,,1048000.0,125580000.0,1437000.0,-585724000.0,-23233000.0,323762000.0,-585724000.0,-23233000.0,323762000.0,-284147000.0,135479000.0,135479000.0,16392000.0,4638000.0,-14000.0,-41593000.0,,-23231000.0,-550000000.0,-206000.0,,12000.0
J M Smucker Co,SJM,5493000WDH6A0LHDJD55,91419,2010.0,Q3YTD,2009-05-01,2010-01-31,2011-03-11 17:12:59+00:00,,55259000.0,78889000.0,,4243000.0,-26494000.0,1723000.0,-746984000.0,-99965000.0,511574000.0,-746984000.0,-99965000.0,511574000.0,-331132000.0,373532000.0,373532000.0,30388000.0,6310000.0,-832000.0,-124586000.0,0.0,-112664000.0,-625000000.0,-5431000.0,13519000.0,12000.0
J M Smucker Co,SJM,5493000WDH6A0LHDJD55,91419,2010.0,Q2,2009-08-01,2009-10-31,,,18312000.0,25877000.0,,-124000.0,21931000.0,-427000.0,-41895000.0,-51705000.0,213660000.0,-41895000.0,-51705000.0,213660000.0,119936000.0,139990000.0,139990000.0,7550000.0,470000.0,-658000.0,-41586000.0,,-62162000.0,,-352000.0,11115000.0,
J M Smucker Co,SJM,5493000WDH6A0LHDJD55,91419,2010.0,Q2YTD,2009-05-01,2009-10-31,2010-12-10 16:00:46+00:00,,36689000.0,51148000.0,,3195000.0,-152074000.0,286000.0,-161260000.0,-76732000.0,187812000.0,-161260000.0,-76732000.0,187812000.0,-46985000.0,238053000.0,238053000.0,13996000.0,1672000.0,-818000.0,-82993000.0,0.0,-89433000.0,-75000000.0,-5225000.0,13519000.0,0.0
J M Smucker Co,SJM,5493000WDH6A0LHDJD55,91419,2010.0,Q1,2009-05-01,2009-07-31,2010-09-09 16:33:56+00:00,,18377000.0,25271000.0,,3319000.0,-174005000.0,713000.0,-119365000.0,-25027000.0,-25848000.0,-119365000.0,-25027000.0,-25848000.0,-166921000.0,98063000.0,98063000.0,6446000.0,1202000.0,-160000.0,-41407000.0,0.0,-27271000.0,-75000000.0,-4873000.0,2404000.0,0.0
J M Smucker Co,SJM,5493000WDH6A0LHDJD55,91419,2011.0,Q4,2011-02-01,2011-04-30,,,18287000.0,44062000.0,,6068000.0,-182521000.0,3207000.0,-184968000.0,-48133000.0,-2780000.0,-184968000.0,-48133000.0,-2780000.0,-229813000.0,94898000.0,94898000.0,22494000.0,4531000.0,-1000.0,-50935000.0,37000.0,-68967000.0,,-141771000.0,20000000.0,798000.0
J M Smucker Co,SJM,5493000WDH6A0LHDJD55,91419,2011.0,FY,2010-05-01,2011-04-30,2013-06-21 08:34:19+00:00,0.0,73800000.0,165800000.0,0.0,7900000.0,-380500000.0,408200000.0,-170400000.0,-192900000.0,391600000.0,-170400000.0,-192900000.0,391600000.0,36200000.0,479500000.0,479500000.0,53000000.0,14500000.0,-100000.0,-194000000.0,-75600000.0,-180100000.0,-10000000.0,-389100000.0,57100000.0,5800000.0
