company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Duke Realty Corp,DRE,,783280,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 15:10:28+00:00,82151000.0,246441000.0,-15118000.0,17100000.0,325000000.0,290014000.0,-145735000.0,-522592000.0,642847000.0,-145735000.0,-522592000.0,642847000.0,-25480000.0,110408000.0,110408000.0,218965000.0,-18306000.0,-162742000.0,,-367651000.0,-61016000.0,-511070000.0,-379487000.0,-12405000.0,95673000.0,116563000.0
Duke Realty Corp,DRE,,783280,2009.0,Q4,2009-10-01,2009-12-31,,22565000.0,66433000.0,-1666000.0,-458000.0,5079000.0,,-148760000.0,43454000.0,96714000.0,-148760000.0,43454000.0,96714000.0,-8592000.0,15172000.0,15172000.0,-5790000.0,613306000.0,-13154000.0,,-57569000.0,-14028000.0,-72622000.0,-709118000.0,,,143258000.0
Duke Realty Corp,DRE,,783280,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:24:03+00:00,87002000.0,266803000.0,-18832000.0,551136000.0,790418000.0,,-99734000.0,-175948000.0,400472000.0,-99734000.0,-175948000.0,400472000.0,124790000.0,-271490000.0,-271490000.0,336989000.0,-28679000.0,-46810000.0,,-226308000.0,-37524000.0,-347944000.0,-1186301000.0,0.0,0.0,256330000.0
Duke Realty Corp,DRE,,783280,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 15:17:26+00:00,64437000.0,200370000.0,-17166000.0,551594000.0,785339000.0,,49026000.0,-219402000.0,303758000.0,49026000.0,-219402000.0,303758000.0,133382000.0,-286662000.0,-286662000.0,342779000.0,-641985000.0,-33656000.0,,-168739000.0,-23496000.0,-275322000.0,-477183000.0,0.0,0.0,113072000.0
Duke Realty Corp,DRE,,783280,2009.0,Q3,2009-07-01,2009-09-30,,22343000.0,68692000.0,-7074000.0,-37000.0,620387000.0,,118008000.0,-104795000.0,116002000.0,118008000.0,-104795000.0,116002000.0,129215000.0,-314151000.0,-314151000.0,346192000.0,-637952000.0,-12592000.0,,-57566000.0,-1431000.0,-89395000.0,193176000.0,,-14223000.0,12846000.0
Duke Realty Corp,DRE,,783280,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-06 15:31:16+00:00,42094000.0,131678000.0,-10092000.0,551631000.0,164952000.0,,-68982000.0,-114607000.0,187756000.0,-68982000.0,-114607000.0,187756000.0,4167000.0,27489000.0,27489000.0,-3413000.0,-4033000.0,-21064000.0,,-111173000.0,-22065000.0,-185927000.0,-670359000.0,,14223000.0,100226000.0
Duke Realty Corp,DRE,,783280,2010.0,Q4,2010-10-01,2010-12-31,,29797000.0,69706000.0,12252000.0,108000.0,95237000.0,,-168948000.0,18179000.0,148304000.0,-168948000.0,18179000.0,148304000.0,-2465000.0,25819000.0,25819000.0,10730000.0,389300000.0,35565000.0,,-59812000.0,-391693000.0,57010000.0,-590843000.0,-2938000.0,517742000.0,-200445000.0
Duke Realty Corp,DRE,,783280,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 14:22:08+00:00,103023000.0,271058000.0,,298004000.0,431434000.0,,-231304000.0,-288790000.0,391156000.0,-231304000.0,-288790000.0,391156000.0,-128938000.0,65262000.0,65262000.0,-48187000.0,-5074000.0,-38905000.0,,-237224000.0,-682801000.0,-88723000.0,-599657000.0,-118787000.0,521639000.0,
Duke Realty Corp,DRE,,783280,2010.0,Q3YTD,2010-01-01,2010-09-30,2010-11-05 15:17:26+00:00,73226000.0,201352000.0,-12252000.0,297896000.0,336197000.0,,-62356000.0,-306969000.0,242852000.0,-62356000.0,-306969000.0,242852000.0,-126473000.0,39443000.0,39443000.0,-58917000.0,-394374000.0,-74470000.0,,-177412000.0,-291108000.0,-145733000.0,-8814000.0,-115849000.0,3897000.0,200445000.0
Duke Realty Corp,DRE,,783280,2010.0,Q3TTM,2009-10-01,2010-09-30,,95791000.0,267785000.0,-13918000.0,297438000.0,341276000.0,,-211116000.0,-263515000.0,339566000.0,-211116000.0,-263515000.0,339566000.0,-135065000.0,54615000.0,54615000.0,-64707000.0,218932000.0,-87624000.0,,-234981000.0,-305136000.0,-218355000.0,-717932000.0,-115849000.0,3897000.0,343703000.0
