company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,preferreddividends,restructuringcharge,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Duke Realty Corp,DRE,,783280,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 15:10:28+00:00,0.33,0.33,,293019000.0,0.33,10165000.0,-7005000.0,184000000.0,110408000.0,86167000.0,24241000.0,50408000.0,2620000.0,-184000000.0,155556000.0,,3404000.0,,,,802791000.0,557974000.0,434624000.0,-39057000.0,57380000.0,,184000000.0,977657000.0,1237415000.0,79162000.0,1053415000.0,152800000.0,146915000.0,154553000.0
Duke Realty Corp,DRE,,783280,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:24:03+00:00,-1.67,-1.67,0.76,245456000.0,-1.67,275360000.0,-6070000.0,151605000.0,-271490000.0,-240235000.0,-31255000.0,-333601000.0,-11340000.0,-151605000.0,120915000.0,,20867000.0,,,,634455000.0,570137000.0,449509000.0,-12337000.0,73451000.0,,151605000.0,1199531000.0,1083964000.0,-246305000.0,932359000.0,199800000.0,201206000.0,201206000.0
Duke Realty Corp,DRE,,783280,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 15:17:26+00:00,-2.88,-1.44,,85880000.0,-1.44,274572000.0,7947000.0,56180000.0,-314151000.0,-303718000.0,-10433000.0,-322882000.0,-9632000.0,-56180000.0,46666000.0,,-12835000.0,,,,219082000.0,139600000.0,100880000.0,0.0,18363000.0,,56180000.0,546718000.0,319962000.0,-295771000.0,263782000.0,112100000.0,223952000.0,223952000.0
Duke Realty Corp,DRE,,783280,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 15:31:16+00:00,-0.16,-0.16,,84859000.0,-0.16,16949000.0,-3187000.0,50917000.0,-15098000.0,-16026000.0,928000.0,-32406000.0,-1055000.0,-50917000.0,45778000.0,,455000.0,,,,218828000.0,169437000.0,129444000.0,,18363000.0,,50917000.0,317023000.0,348272000.0,-19213000.0,297355000.0,202500000.0,207290000.0,207290000.0
Duke Realty Corp,DRE,,783280,2010.0,Q4,2010-10-01,2010-12-31,,0.06,0.06,0.68,19189000.0,0.06,,,8147000.0,25819000.0,25347000.0,472000.0,9483000.0,26000.0,-8147000.0,-12632000.0,125000.0,-1718000.0,,,,13117000.0,105064000.0,100971000.0,-32620000.0,16310000.0,,8147000.0,79001000.0,114213000.0,25347000.0,106066000.0,201500000.0,238920000.0,238920000.0
Duke Realty Corp,DRE,,783280,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 14:22:08+00:00,-0.07,-0.07,0.68,276045000.0,-0.07,9834000.0,-1126000.0,186407000.0,65262000.0,39291000.0,25971000.0,-14108000.0,-536000.0,-186407000.0,126886000.0,,40005000.0,,,,669543000.0,627234000.0,515361000.0,-39662000.0,79906000.0,,186407000.0,1000337000.0,1184904000.0,38165000.0,998497000.0,201500000.0,238920000.0,238920000.0
Duke Realty Corp,DRE,,783280,2010.0,Q3,2010-07-01,2010-09-30,2010-11-05 15:17:26+00:00,0.13,0.13,,97323000.0,0.13,1860000.0,-1126000.0,64049000.0,57435000.0,46381000.0,11054000.0,34064000.0,993000.0,-64049000.0,49681000.0,-125000.0,57495000.0,,,,238920000.0,170473000.0,132351000.0,,22378000.0,,64049000.0,319337000.0,371146000.0,45255000.0,307097000.0,262000000.0,251866000.0,257383000.0
Duke Realty Corp,DRE,,783280,2010.0,Q3YTD,2010-01-01,2010-09-30,,-0.13,-0.13,,256856000.0,-0.13,9834000.0,-1126000.0,178260000.0,39443000.0,13944000.0,25499000.0,-23591000.0,-562000.0,-178260000.0,139518000.0,-125000.0,41723000.0,,,,656426000.0,522170000.0,414390000.0,-7042000.0,63596000.0,,178260000.0,921336000.0,1070691000.0,12818000.0,892431000.0,262000000.0,251866000.0,257383000.0
Duke Realty Corp,DRE,,783280,2010.0,Q2,2010-04-01,2010-06-30,2011-08-05 16:48:34+00:00,-0.19,-0.19,,78956000.0,-0.19,7974000.0,,58044000.0,-20640000.0,-24958000.0,4318000.0,-42391000.0,-1104000.0,-58044000.0,43430000.0,,-15569000.0,,,,205588000.0,199944000.0,168398000.0,-4973000.0,22855000.0,0.0,58044000.0,325331000.0,373986000.0,-24958000.0,315942000.0,223100000.0,227082000.0,227082000.0
Duke Realty Corp,DRE,,783280,2010.0,Q2YTD,2010-01-01,2010-06-30,,-0.26,-0.26,,159533000.0,-0.26,7974000.0,,114211000.0,-17992000.0,-32437000.0,14445000.0,-57655000.0,-1555000.0,-114211000.0,89837000.0,,-15772000.0,,,,417506000.0,351697000.0,282039000.0,-7042000.0,41218000.0,,114211000.0,601999000.0,699545000.0,-32437000.0,585334000.0,223100000.0,227082000.0,227082000.0
