company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 15:17:40+00:00,,840000.0,3147000.0,2005000.0,71895000.0,7875000.0,1776000.0,14810000.0,31621000.0,23000.0,52506000.0,-226707000.0,236954000.0,52460000.0,-226707000.0,236954000.0,64483000.0,100967000.0,100967000.0,,48442000.0,20862000.0,,-550614000.0,-100462000.0,,0.0,416494000.0,0.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 12:47:11+00:00,-83719000.0,840000.0,11870000.0,1999000.0,98080000.0,,-1200000.0,50738000.0,21966000.0,,33142000.0,-364440000.0,343494000.0,33142000.0,-364440000.0,343494000.0,10996000.0,145138000.0,145138000.0,,48698000.0,11176000.0,,-533069000.0,-115386000.0,,,367652000.0,82000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2008.0,Q4,2008-10-01,2008-12-31,,-83719000.0,210000.0,1852000.0,1000000.0,27452000.0,,-261000.0,7976000.0,2164000.0,,2307000.0,-80467000.0,92473000.0,2307000.0,-80467000.0,92473000.0,14052000.0,40533000.0,40533000.0,,16302000.0,143000.0,,-53514000.0,-20436000.0,,,77196000.0,6000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2008.0,Q3,2008-07-01,2008-09-30,,,210000.0,2807000.0,,24570000.0,,-2153000.0,21081000.0,1670000.0,,2421000.0,-116881000.0,93218000.0,2421000.0,-116881000.0,93218000.0,-23395000.0,33360000.0,33360000.0,,13997000.0,751000.0,,-121096000.0,-36428000.0,,,40641000.0,2000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-09 16:03:07+00:00,0.0,630000.0,10018000.0,999000.0,70628000.0,,-939000.0,42762000.0,19802000.0,,30835000.0,-283973000.0,251021000.0,30835000.0,-283973000.0,251021000.0,-3056000.0,104605000.0,104605000.0,,32396000.0,11033000.0,,-479555000.0,-94950000.0,,0.0,290456000.0,76000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-09-04 16:01:01+00:00,0.0,420000.0,7211000.0,999000.0,46058000.0,,1214000.0,21681000.0,18132000.0,,28414000.0,-167092000.0,157803000.0,28414000.0,-167092000.0,157803000.0,20339000.0,71245000.0,71245000.0,,18399000.0,10282000.0,,-358459000.0,-58522000.0,,0.0,249815000.0,74000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2009.0,Q4,2009-10-01,2009-12-31,,,210000.0,4384000.0,999000.0,32573000.0,,-328000.0,33631000.0,7965000.0,,-6099000.0,-139939000.0,124869000.0,-6099000.0,-139939000.0,124869000.0,-21497000.0,40080000.0,40080000.0,,18375000.0,865000.0,,-259557000.0,-29244000.0,,-14929000.0,148801000.0,61000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 11:20:49+00:00,-5779000.0,840000.0,20989000.0,1998000.0,122494000.0,,854000.0,93330000.0,21724000.0,,-42537000.0,-357498000.0,424412000.0,-42537000.0,-357498000.0,424412000.0,25231000.0,145913000.0,145913000.0,,61835000.0,2236000.0,,-790351000.0,-108147000.0,,-66497000.0,545336000.0,1443000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2009.0,Q3TTM,2008-10-01,2009-09-30,,-89498000.0,840000.0,18457000.0,1999000.0,117373000.0,,921000.0,67675000.0,15923000.0,,-34131000.0,-298026000.0,392016000.0,-34131000.0,-298026000.0,392016000.0,60780000.0,146366000.0,146366000.0,,59762000.0,1514000.0,,-584308000.0,-99339000.0,,-51568000.0,473731000.0,1388000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2009.0,Q3,2009-07-01,2009-09-30,,,210000.0,-1168000.0,,31565000.0,,764000.0,27064000.0,2996000.0,,-30954000.0,-193334000.0,105243000.0,-30954000.0,-193334000.0,105243000.0,-118281000.0,32745000.0,32745000.0,,13659000.0,713000.0,,-366912000.0,-31183000.0,,-34663000.0,204733000.0,28000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-09 15:00:45+00:00,-5779000.0,630000.0,16605000.0,999000.0,89921000.0,,1182000.0,59699000.0,13759000.0,,-36438000.0,-217559000.0,299543000.0,-36438000.0,-217559000.0,299543000.0,46728000.0,105833000.0,105833000.0,,43460000.0,1371000.0,,-530794000.0,-78903000.0,,-51568000.0,396535000.0,1382000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2009.0,Q2TTM,2008-07-01,2009-06-30,,-89498000.0,840000.0,22432000.0,1999000.0,110378000.0,,-1996000.0,61692000.0,14597000.0,,-756000.0,-221573000.0,379991000.0,-756000.0,-221573000.0,379991000.0,155666000.0,146981000.0,146981000.0,,60100000.0,1552000.0,,-338492000.0,-104584000.0,,-16905000.0,309639000.0,1362000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-09 16:01:56+00:00,-5779000.0,420000.0,17773000.0,999000.0,58356000.0,,418000.0,32635000.0,10763000.0,,-5484000.0,-24225000.0,194300000.0,-5484000.0,-24225000.0,194300000.0,165009000.0,73088000.0,73088000.0,,29801000.0,658000.0,,-163882000.0,-47720000.0,,-16905000.0,191802000.0,1354000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2010.0,Q4,2010-10-01,2010-12-31,,-458000.0,50000.0,2371000.0,291000.0,39129000.0,,-726000.0,7530000.0,13830000.0,,-6875000.0,-68459000.0,110359000.0,-6875000.0,-68459000.0,110359000.0,34299000.0,52510000.0,52510000.0,,11140000.0,6594000.0,,-246406000.0,-48700000.0,,-27299000.0,226981000.0,124000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 16:20:00+00:00,-12668000.0,507000.0,26200000.0,1258000.0,143242000.0,,1141000.0,38574000.0,45776000.0,,-17676000.0,-335359000.0,402455000.0,-17676000.0,-335359000.0,402455000.0,50561000.0,171220000.0,171220000.0,,48912000.0,28973000.0,,-1146993000.0,-192045000.0,,-92425000.0,1016171000.0,176000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2010.0,Q3TTM,2009-10-01,2010-09-30,,-12210000.0,667000.0,28213000.0,1966000.0,136686000.0,,1539000.0,64675000.0,39911000.0,,-16900000.0,-406839000.0,416965000.0,-16900000.0,-406839000.0,416965000.0,-5235000.0,158790000.0,158790000.0,,56147000.0,23244000.0,,-1160144000.0,-172589000.0,,-80055000.0,937991000.0,113000.0
Akamai Technologies Inc,AKAM,OC1LZNN2LF5WTJ5RIL89,1086222,2010.0,Q3,2010-07-01,2010-09-30,,-200000.0,63000.0,1699000.0,1000.0,36479000.0,,4386000.0,31895000.0,10953000.0,,-2096000.0,-43192000.0,117963000.0,-2096000.0,-43192000.0,117963000.0,77061000.0,39709000.0,39709000.0,,9817000.0,9456000.0,,-285408000.0,-42058000.0,,-22505000.0,284460000.0,14000.0
