company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repurchaseofcommonequity,saleofinvestments
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2009.0,FY,2009-01-01,2009-12-31,2012-07-06 15:50:13+00:00,,-837000.0,6790000.0,,-498000.0,-886000.0,242000.0,-2646000.0,-44165000.0,43327000.0,-2646000.0,-44165000.0,43327000.0,-3982000.0,16102000.0,16102000.0,20669000.0,-238000.0,,-2650000.0,652000.0,-59429000.0,-6798000.0,,22062000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2010.0,Q4,2010-10-01,2010-12-31,,,-590000.0,1552000.0,,-357000.0,4314000.0,-1958000.0,-5938000.0,-19000.0,22563000.0,-5938000.0,-19000.0,22563000.0,16249000.0,8947000.0,8947000.0,7537000.0,5353000.0,,-2591000.0,213000.0,-8814000.0,-1094000.0,-6742000.0,9889000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2010.0,FY,2010-01-01,2010-12-31,2013-02-21 17:23:01+00:00,,-2228000.0,6350000.0,,-924000.0,1030000.0,,-33849000.0,-7720000.0,64146000.0,-33849000.0,-7720000.0,64146000.0,21653000.0,31428000.0,31428000.0,24736000.0,6781000.0,,-10630000.0,602000.0,-66008000.0,-7109000.0,-30000000.0,65397000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2010.0,Q3,2010-07-01,2010-09-30,,,-574000.0,1560000.0,,-57000.0,3305000.0,1958000.0,-22766000.0,-984000.0,19026000.0,-22766000.0,-984000.0,19026000.0,-4781000.0,8611000.0,8611000.0,5466000.0,958000.0,,-2658000.0,84000.0,-25831000.0,-1370000.0,-23024000.0,26217000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-10-26 16:00:22+00:00,,-1638000.0,4798000.0,,-567000.0,-3284000.0,1958000.0,-27911000.0,-7701000.0,41583000.0,-27911000.0,-7701000.0,41583000.0,5404000.0,22481000.0,22481000.0,17199000.0,1428000.0,,-8039000.0,389000.0,-57194000.0,-6015000.0,-23258000.0,55508000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-07-27 17:20:59+00:00,,-1064000.0,3238000.0,,-510000.0,-6589000.0,,-5145000.0,-6717000.0,22557000.0,-5145000.0,-6717000.0,22557000.0,10185000.0,13870000.0,13870000.0,11733000.0,470000.0,,-5381000.0,305000.0,-31363000.0,-4645000.0,-234000.0,29291000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,Q4,2011-10-01,2011-12-31,,,603000.0,1793000.0,,-226000.0,735000.0,,-6678000.0,215000.0,18687000.0,-6678000.0,215000.0,18687000.0,11998000.0,11543000.0,11543000.0,4672000.0,3704000.0,,-3447000.0,-56000.0,-4583000.0,-1810000.0,-6935000.0,6608000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,FY,2011-01-01,2011-12-31,2014-02-24 16:56:26+00:00,,10177000.0,6781000.0,,-1077000.0,-13172000.0,,-11199000.0,-8576000.0,65478000.0,-11199000.0,-8576000.0,65478000.0,44626000.0,47704000.0,47704000.0,24165000.0,9419000.0,,-13683000.0,,-32302000.0,-7225000.0,-6935000.0,30951000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,Q3TTM,2010-10-01,2011-09-30,,,8984000.0,6540000.0,,-1208000.0,-9593000.0,-1958000.0,-10459000.0,-8810000.0,69354000.0,-10459000.0,-8810000.0,69354000.0,48877000.0,45108000.0,45108000.0,27030000.0,11068000.0,,-12827000.0,269000.0,-36533000.0,-6509000.0,-6742000.0,34232000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,Q3,2011-07-01,2011-09-30,,,15554000.0,1799000.0,,-314000.0,5344000.0,,-2437000.0,-2777000.0,27382000.0,-2437000.0,-2777000.0,27382000.0,21854000.0,13444000.0,13444000.0,6617000.0,995000.0,,-3432000.0,178000.0,-15138000.0,-2109000.0,,14470000.0
