company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,goodwill,intangibleassets,netpremisesandequipment,otherassets,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,retainedearnings,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,FY,,2011-12-31,2013-02-21 17:23:01+00:00,-1882000.0,169620000.0,0.0,340716000.0,34544000.0,,14460000.0,52724000.0,5326000.0,31693000.0,,-584000.0,349458000.0,312317000.0,312439000.0,312439000.0,37019000.0,349458000.0,0.0,78110000.0,-25933000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,Q3,,2011-09-30,2011-10-26 16:00:22+00:00,-1692000.0,157622000.0,0.0,335084000.0,34911000.0,,14076000.0,52391000.0,5037000.0,28330000.0,0.0,-8680000.0,339200000.0,305714000.0,305833000.0,305833000.0,33367000.0,339200000.0,0.0,80200000.0,-18998000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,Q2,,2011-06-30,2011-07-27 17:20:59+00:00,-1693000.0,135768000.0,0.0,332121000.0,35278000.0,,13409000.0,61116000.0,4443000.0,23967000.0,0.0,-18692000.0,321267000.0,292738000.0,292857000.0,292857000.0,28410000.0,321267000.0,0.0,75696000.0,-18998000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,FY,,2012-12-31,2014-02-24 16:56:26+00:00,-3093000.0,128908000.0,0.0,283609000.0,33134000.0,,18009000.0,48582000.0,4864000.0,32260000.0,,-5644000.0,279841000.0,242599000.0,242717000.0,242717000.0,37124000.0,279841000.0,0.0,51208000.0,-32273000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,Q3,,2012-09-30,2012-11-02 14:56:04+00:00,-2817000.0,150101000.0,0.0,277744000.0,33480000.0,,18466000.0,48700000.0,5064000.0,27930000.0,,26632000.0,304928000.0,271816000.0,271934000.0,271934000.0,32994000.0,304928000.0,0.0,54181000.0,-29743000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,Q2,,2012-06-30,2012-07-26 14:01:19+00:00,-2417000.0,129595000.0,0.0,275061000.0,33835000.0,,14960000.0,52746000.0,5126000.0,22867000.0,,17256000.0,289728000.0,261617000.0,261735000.0,261735000.0,27993000.0,289728000.0,0.0,58592000.0,-28283000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,Q1,,2012-03-31,2012-07-06 15:58:09+00:00,-2213000.0,119809000.0,0.0,270590000.0,34189000.0,,14875000.0,45551000.0,5229000.0,20364000.0,,8708000.0,274510000.0,248802000.0,248917000.0,248917000.0,25593000.0,274510000.0,0.0,60086000.0,-28283000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2013.0,FY,,2013-12-31,2015-02-25 16:30:41+00:00,-4083000.0,132691000.0,0.0,295557000.0,,68697000.0,32703000.0,52077000.0,6688000.0,36860000.0,,51042000.0,353910000.0,310243000.0,310362000.0,310362000.0,43548000.0,353910000.0,,67742000.0,-32273000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2013.0,Q3,,2013-09-30,2013-10-25 16:26:22+00:00,-3931000.0,119009000.0,0.0,289911000.0,69508000.0,,27617000.0,58117000.0,6408000.0,39660000.0,,32794000.0,332688000.0,286501000.0,286620000.0,286620000.0,46068000.0,332688000.0,0.0,58437000.0,-32273000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2013.0,Q2,,2013-06-30,2013-07-26 12:13:16+00:00,-3565000.0,135468000.0,0.0,286816000.0,71447000.0,,26443000.0,57541000.0,5437000.0,29377000.0,,19467000.0,305378000.0,270445000.0,270564000.0,270564000.0,34814000.0,305378000.0,0.0,14479000.0,-32273000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2013.0,Q1,,2013-03-31,2013-04-26 15:26:32+00:00,-3483000.0,125919000.0,0.0,283161000.0,72123000.0,,18743000.0,49037000.0,5398000.0,24982000.0,,4977000.0,282881000.0,252382000.0,252501000.0,252501000.0,30380000.0,282881000.0,0.0,17059000.0,-32273000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2014.0,FY,,2014-12-31,2016-02-25 17:14:56+00:00,-4537000.0,168924000.0,0.0,307059000.0,,66419000.0,32185000.0,47493000.0,8405000.0,37271000.0,,101813000.0,379884000.0,334088000.0,334208000.0,334208000.0,45676000.0,379884000.0,,64863000.0,-70247000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2014.0,Q3,,2014-09-30,2014-10-24 16:48:00+00:00,-4580000.0,155100000.0,0.0,302320000.0,,66989000.0,32800000.0,50999000.0,6939000.0,29667000.0,,86158000.0,362909000.0,326183000.0,326303000.0,326303000.0,36606000.0,362909000.0,,57021000.0,-57715000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2014.0,Q2,,2014-06-30,2014-07-25 13:00:52+00:00,-4430000.0,133154000.0,0.0,298780000.0,,67558000.0,34396000.0,55869000.0,2950000.0,30790000.0,,74650000.0,356719000.0,322979000.0,322979000.0,322979000.0,33740000.0,356719000.0,0.0,65742000.0,-46021000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2014.0,Q1,,2014-03-31,2014-04-25 12:51:21+00:00,-4287000.0,130045000.0,0.0,295736000.0,68127000.0,,33393000.0,51325000.0,2722000.0,25390000.0,,62471000.0,346373000.0,318261000.0,318261000.0,318261000.0,28112000.0,346373000.0,0.0,63483000.0,-35659000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2015.0,FY,,2015-12-31,2017-02-21 17:17:01+00:00,-5229000.0,199728000.0,0.0,321215000.0,,64142000.0,30897000.0,59568000.0,6775000.0,41553000.0,,168011000.0,439041000.0,390592000.0,390713000.0,390713000.0,48328000.0,439041000.0,,84706000.0,-93405000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2015.0,Q3,,2015-09-30,2015-10-23 16:01:28+00:00,-4969000.0,160376000.0,0.0,317617000.0,,64712000.0,31027000.0,64691000.0,6625000.0,36226000.0,,150975000.0,416322000.0,373351000.0,373471000.0,373471000.0,42851000.0,416322000.0,,95516000.0,-90272000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2015.0,Q2,,2015-06-30,2015-07-24 16:01:03+00:00,-4859000.0,169263000.0,0.0,313586000.0,,65281000.0,31290000.0,65595000.0,9709000.0,29380000.0,,135721000.0,398946000.0,359737000.0,359857000.0,359857000.0,39089000.0,398946000.0,,67517000.0,-84711000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2016.0,FY,,2016-12-31,2018-02-21 17:20:24+00:00,-12228000.0,168243000.0,0.0,342311000.0,,63443000.0,31104000.0,70848000.0,10097000.0,49932000.0,,255140000.0,528042000.0,467893000.0,468013000.0,468013000.0,60029000.0,528042000.0,,194404000.0,-117330000.0
