company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,salariesandemployeebenefitsexpense,servicechargesondepositsincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,trustfeeincome,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2009.0,FY,2009-01-01,2009-12-31,2012-07-06 15:50:13+00:00,0.44,0.44,0.07,6790000.0,0.42,13947000.0,2882000.0,16102000.0,16102000.0,,16102000.0,11565000.0,1222000.0,,,12879000.0,7307000.0,50274000.0,9778000.0,84390000.0,114439000.0,30049000.0,114439000.0,96132000.0,36600000.0,33264000.0,38082000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2010.0,FY,2010-01-01,2010-12-31,2013-02-21 17:23:01+00:00,0.86,0.86,0.28,6350000.0,0.8,19482000.0,3075000.0,31428000.0,31428000.0,,31428000.0,12979000.0,1192000.0,,,16468000.0,131388000.0,56446000.0,13648000.0,95318000.0,146228000.0,50910000.0,146228000.0,,36500000.0,33159000.0,39051000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2010.0,Q3,2010-07-01,2010-09-30,2011-10-26 16:00:22+00:00,0.24,0.24,0.07,1560000.0,0.22,4913000.0,679000.0,8611000.0,8611000.0,,8611000.0,3249000.0,301000.0,,,4075000.0,2505000.0,14326000.0,3455000.0,23889000.0,37413000.0,13524000.0,37413000.0,31152000.0,35900000.0,32945000.0,38744000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2010.0,Q2,2010-04-01,2010-06-30,2011-07-27 17:20:59+00:00,0.19,0.19,0.07,1622000.0,0.18,4687000.0,759000.0,7169000.0,7169000.0,,7169000.0,3060000.0,315000.0,,,3840000.0,2300000.0,14189000.0,3251000.0,23470000.0,35326000.0,11856000.0,35326000.0,29460000.0,37700000.0,33733000.0,39514000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,Q4,2011-10-01,2011-12-31,,0.31,0.31,0.09,218000.0,0.29,8297000.0,989000.0,11543000.0,13286000.0,-1743000.0,11543000.0,2765000.0,316000.0,,,2991000.0,41380000.0,7364000.0,-5786000.0,14327000.0,35910000.0,21583000.0,35910000.0,,37000000.0,37006000.0,39608000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,FY,2011-01-01,2011-12-31,2014-02-24 16:56:26+00:00,1.29,1.29,0.36,5206000.0,1.2,32003000.0,4491000.0,47704000.0,49447000.0,-1743000.0,47704000.0,12956000.0,1228000.0,,,15328000.0,165561000.0,52443000.0,5085000.0,90424000.0,171874000.0,81450000.0,171874000.0,,37000000.0,37006000.0,39608000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,Q3,2011-07-01,2011-09-30,2012-11-02 14:56:04+00:00,0.36,0.36,0.09,1799000.0,0.34,8852000.0,1280000.0,13444000.0,13444000.0,,13444000.0,3493000.0,303000.0,,,3989000.0,42482000.0,13707000.0,3779000.0,24268000.0,46564000.0,22296000.0,46564000.0,,37300000.0,37126000.0,39828000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,Q3YTD,2011-01-01,2011-09-30,,0.98,0.98,0.27,4988000.0,0.91,23706000.0,3502000.0,36161000.0,36161000.0,,36161000.0,10191000.0,912000.0,,,12337000.0,124181000.0,45079000.0,10871000.0,76097000.0,135964000.0,59867000.0,135964000.0,,37300000.0,37126000.0,39828000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,Q2,2011-04-01,2011-06-30,2012-07-26 14:01:19+00:00,0.32,0.32,0.09,1627000.0,0.3,7968000.0,1248000.0,11937000.0,11937000.0,,11937000.0,3432000.0,310000.0,,,4475000.0,41497000.0,15104000.0,3984000.0,25886000.0,45791000.0,19905000.0,45791000.0,,37300000.0,36762000.0,39490000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,Q2YTD,2011-01-01,2011-06-30,,0.62,0.62,0.18,3189000.0,0.57,14854000.0,2222000.0,22717000.0,22717000.0,,22717000.0,6698000.0,609000.0,,,8348000.0,81699000.0,31372000.0,7092000.0,51829000.0,89400000.0,37571000.0,89400000.0,,37300000.0,36762000.0,39490000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2011.0,Q1,2011-01-01,2011-03-31,2012-07-06 15:58:09+00:00,0.3,0.3,0.09,1562000.0,0.27,6886000.0,974000.0,10780000.0,10780000.0,,10780000.0,3266000.0,299000.0,,,3873000.0,40202000.0,16268000.0,3108000.0,25943000.0,43609000.0,17666000.0,43609000.0,,35900000.0,36507000.0,39301000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,Q4,2012-10-01,2012-12-31,,0.56,0.56,1.41,1228000.0,0.54,1968000.0,1001000.0,20465000.0,21954000.0,-1489000.0,20465000.0,3682000.0,235000.0,,,4893000.0,46907000.0,10152000.0,-2264000.0,20956000.0,44878000.0,23922000.0,44878000.0,,36400000.0,36516000.0,37816000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,FY,2012-01-01,2012-12-31,2015-02-25 16:30:41+00:00,1.65,1.65,1.74,6758000.0,1.59,27586000.0,5169000.0,60069000.0,61784000.0,-1715000.0,60069000.0,14969000.0,1057000.0,,,19896000.0,184795000.0,54678000.0,4988000.0,101470000.0,190840000.0,89370000.0,190840000.0,,36400000.0,36516000.0,37816000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,Q3YTD,2012-01-01,2012-09-30,,1.09,1.09,0.33,5530000.0,1.05,25618000.0,4168000.0,39604000.0,39830000.0,-226000.0,39604000.0,11287000.0,822000.0,,,15003000.0,137888000.0,44526000.0,7252000.0,80514000.0,145962000.0,65448000.0,145962000.0,,36400000.0,36500000.0,37541000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,Q3TTM,2011-10-01,2012-09-30,,1.4,1.4,0.42,5748000.0,1.34,33915000.0,5157000.0,51147000.0,53116000.0,-1969000.0,51147000.0,14052000.0,1138000.0,,,17994000.0,179268000.0,51890000.0,1466000.0,94841000.0,181872000.0,87031000.0,181872000.0,,36400000.0,36500000.0,37541000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,Q3,2012-07-01,2012-09-30,2013-10-25 16:26:22+00:00,0.37,0.37,0.11,1715000.0,0.36,7792000.0,989000.0,13482000.0,13708000.0,-226000.0,13482000.0,3801000.0,251000.0,,,5017000.0,45027000.0,13380000.0,1124000.0,24902000.0,46402000.0,21500000.0,46402000.0,,36400000.0,36500000.0,37541000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,Q2YTD,2012-01-01,2012-06-30,,0.72,0.72,0.22,3815000.0,0.69,17826000.0,3179000.0,26122000.0,26122000.0,,26122000.0,7486000.0,571000.0,,,9986000.0,92861000.0,31146000.0,6128000.0,55612000.0,99560000.0,43948000.0,99560000.0,,36100000.0,36128000.0,37440000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,Q2TTM,2011-07-01,2012-06-30,,1.39,1.39,0.4,5832000.0,1.32,34975000.0,5448000.0,51109000.0,52852000.0,-1743000.0,51109000.0,13744000.0,1190000.0,,,16966000.0,176723000.0,52217000.0,4121000.0,94207000.0,182034000.0,87827000.0,182034000.0,,36100000.0,36128000.0,37440000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,Q2,2012-04-01,2012-06-30,2013-07-26 12:13:16+00:00,0.35,0.35,0.11,1961000.0,0.34,8571000.0,1732000.0,12629000.0,12629000.0,,12629000.0,3772000.0,268000.0,,,4855000.0,45337000.0,15305000.0,3220000.0,27625000.0,48825000.0,21200000.0,48825000.0,,36100000.0,36128000.0,37440000.0
Marketaxess Holdings Inc,MKTX,5493002U1CA1XJOVID83,1278021,2012.0,Q1TTM,2011-04-01,2012-03-31,,1.36,1.36,0.38,5498000.0,1.28,34372000.0,4964000.0,50417000.0,52160000.0,-1743000.0,50417000.0,13404000.0,1232000.0,,,16586000.0,172883000.0,52016000.0,4885000.0,92468000.0,179000000.0,86532000.0,179000000.0,,36500000.0,36934000.0,38695000.0
