company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,accruedinvestmentincome,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,goodwill,intangibleassets,longtermdebt,netpremisesandequipment,noncontrollinginterests,otherassets,otherlongtermliabilities,othershorttermpayables,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,treasurystock,unearnedpremiumsdebit
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2008.0,FY,,2008-12-31,2010-02-26 15:34:52+00:00,66000000.0,,-2098000000.0,1685000000.0,,1806000000.0,7163000000.0,,3194000000.0,969000000.0,38000000.0,5303000000.0,2866000000.0,2912000000.0,7237000000.0,408000000.0,15206000000.0,5722000000.0,5722000000.0,5760000000.0,9446000000.0,15206000000.0,0.0,-1223000000.0,86000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2009.0,FY,,2009-12-31,2011-02-25 18:23:55+00:00,,,-2171000000.0,1707000000.0,,1772000000.0,6219000000.0,,3034000000.0,850000000.0,35000000.0,6475000000.0,2725000000.0,3157000000.0,7033000000.0,558000000.0,15337000000.0,5828000000.0,5828000000.0,5863000000.0,9474000000.0,15337000000.0,0.0,-806000000.0,86000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2009.0,Q3,,2009-09-30,2009-11-05 16:05:25+00:00,0.0,,-1836000000.0,1813000000.0,,1742000000.0,7047000000.0,,3037000000.0,964000000.0,35000000.0,5444000000.0,2864000000.0,2737000000.0,7013000000.0,664000000.0,15341000000.0,6004000000.0,6004000000.0,6039000000.0,9302000000.0,15341000000.0,0.0,-915000000.0,73000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2009.0,Q2,,2009-06-30,2009-08-10 17:10:45+00:00,24000000.0,,-1924000000.0,1291000000.0,,1743000000.0,6983000000.0,,3588000000.0,970000000.0,33000000.0,5590000000.0,2903000000.0,2532000000.0,6900000000.0,114000000.0,14921000000.0,5727000000.0,5727000000.0,5760000000.0,9161000000.0,14921000000.0,0.0,-992000000.0,87000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2010.0,FY,,2010-12-31,2012-02-28 16:38:19+00:00,62000000.0,,-2300000000.0,1894000000.0,0.0,1746000000.0,6823000000.0,,3026000000.0,822000000.0,47000000.0,5675000000.0,2764000000.0,3035000000.0,7436000000.0,8000000.0,15310000000.0,6368000000.0,6368000000.0,6415000000.0,8895000000.0,15310000000.0,0.0,-514000000.0,96000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2010.0,Q3,,2010-09-30,2010-11-09 15:44:47+00:00,,,-2138000000.0,1695000000.0,,1720000000.0,6647000000.0,,3028000000.0,816000000.0,45000000.0,5647000000.0,2513000000.0,2823000000.0,7236000000.0,124000000.0,14903000000.0,6370000000.0,6370000000.0,6415000000.0,8488000000.0,14903000000.0,0.0,-448000000.0,98000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2010.0,Q2,,2010-06-30,2010-08-17 13:44:25+00:00,,,-2406000000.0,1475000000.0,,1710000000.0,6499000000.0,,3030000000.0,815000000.0,43000000.0,6734000000.0,2703000000.0,3178000000.0,7187000000.0,667000000.0,15621000000.0,6000000000.0,6000000000.0,6043000000.0,9578000000.0,15621000000.0,0.0,-491000000.0,98000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2010.0,Q1,,2010-03-31,2010-05-07 14:27:15+00:00,,,-2246000000.0,1167000000.0,,1670000000.0,7250000000.0,,3032000000.0,920000000.0,37000000.0,5562000000.0,2742000000.0,2507000000.0,7062000000.0,667000000.0,14962000000.0,5977000000.0,5977000000.0,6014000000.0,8948000000.0,14962000000.0,0.0,-509000000.0,63000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2011.0,FY,,2011-12-31,2013-02-27 14:38:58+00:00,63000000.0,,-3188000000.0,2113000000.0,0.0,1717000000.0,6963000000.0,,2668000000.0,804000000.0,57000000.0,5488000000.0,3107000000.0,3416000000.0,7949000000.0,260000000.0,15454000000.0,5883000000.0,5883000000.0,5940000000.0,9514000000.0,15454000000.0,0.0,-595000000.0,86000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2011.0,Q3,,2011-09-30,2011-11-04 14:30:49+00:00,80000000.0,,-2333000000.0,1714000000.0,,1684000000.0,6933000000.0,,2670000000.0,804000000.0,58000000.0,5587000000.0,2602000000.0,2925000000.0,7696000000.0,379000000.0,15121000000.0,6407000000.0,6407000000.0,6465000000.0,8656000000.0,15121000000.0,,-640000000.0,83000000.0
