company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netrealizedcapitalgains,nonoperatingincome,othernoninterestincome,otheroperatingexpenses,salariesandemployeebenefitsexpense,servicechargesondepositsincome,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 15:34:52+00:00,4.49,4.49,,4.45,0.0,298000000.0,95000000.0,267000000.0,2489000000.0,557000000.0,1932000000.0,2475000000.0,14000000.0,-172000000.0,,173000000.0,,3344000000.0,6937000000.0,11135000000.0,267000000.0,95000000.0,10281000000.0,11135000000.0,855000000.0,10963000000.0,551200000.0,539000000.0,542000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 18:23:55+00:00,-0.13,-0.13,,-0.14,,113000000.0,47000000.0,220000000.0,-62000000.0,381000000.0,-443000000.0,-73000000.0,11000000.0,-173000000.0,,-12000000.0,,3221000000.0,6830000000.0,10730000000.0,220000000.0,47000000.0,10051000000.0,10730000000.0,494000000.0,10557000000.0,561500000.0,514000000.0,515000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2008.0,Q3,2008-07-01,2008-09-30,2009-11-05 16:05:25+00:00,-0.02,-0.02,-0.2,-0.02,0.0,-20000000.0,10000000.0,54000000.0,-5000000.0,17000000.0,-22000000.0,-8000000.0,3000000.0,-44000000.0,,-23000000.0,,950000000.0,1805000000.0,2819000000.0,54000000.0,10000000.0,2755000000.0,2819000000.0,-3000000.0,2775000000.0,400000000.0,513000000.0,516000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2008.0,Q2,2008-04-01,2008-06-30,2009-08-10 17:10:45+00:00,0.12,0.12,-0.2,0.12,115000000.0,66000000.0,12000000.0,55000000.0,67000000.0,55000000.0,12000000.0,65000000.0,2000000.0,-43000000.0,,-16000000.0,,859000000.0,1879000000.0,3033000000.0,55000000.0,12000000.0,2853000000.0,3033000000.0,121000000.0,2990000000.0,541700000.0,512000000.0,512000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2009.0,Q4,2009-10-01,2009-12-31,,0.05,0.05,0.4,0.05,,-57000000.0,4000000.0,61000000.0,26000000.0,-12000000.0,38000000.0,23000000.0,3000000.0,-57000000.0,,23000000.0,,883000000.0,1550000000.0,2398000000.0,61000000.0,4000000.0,2433000000.0,2398000000.0,-69000000.0,2341000000.0,527900000.0,522000000.0,524000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 16:38:19+00:00,0.43,0.43,,0.42,,21000000.0,17000000.0,241000000.0,241000000.0,531000000.0,-290000000.0,227000000.0,14000000.0,-224000000.0,0.0,-2000000.0,,2871000000.0,6182000000.0,9831000000.0,241000000.0,17000000.0,9053000000.0,9831000000.0,552000000.0,9607000000.0,527900000.0,522000000.0,524000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.38,0.38,-0.4,0.37,,78000000.0,13000000.0,180000000.0,215000000.0,543000000.0,-328000000.0,204000000.0,11000000.0,-167000000.0,,-25000000.0,,1988000000.0,4632000000.0,7433000000.0,180000000.0,13000000.0,6620000000.0,7433000000.0,621000000.0,7266000000.0,539000000.0,524000000.0,526000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 15:44:47+00:00,0.41,0.41,,0.41,,-46000000.0,3000000.0,59000000.0,225000000.0,207000000.0,18000000.0,221000000.0,4000000.0,-56000000.0,,22000000.0,,626000000.0,1533000000.0,2354000000.0,59000000.0,3000000.0,2159000000.0,2354000000.0,161000000.0,2298000000.0,539000000.0,524000000.0,526000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2009.0,Q2YTD,2009-01-01,2009-06-30,,-0.03,-0.03,-0.4,-0.04,,124000000.0,10000000.0,121000000.0,-10000000.0,336000000.0,-346000000.0,-17000000.0,7000000.0,-111000000.0,,-47000000.0,,1362000000.0,3099000000.0,5079000000.0,121000000.0,10000000.0,4461000000.0,5079000000.0,460000000.0,4968000000.0,536100000.0,522000000.0,523000000.0
Marsh & McLennan Companies Inc,MMC,549300XMP3KDCKJXIU47,62709,2009.0,Q2,2009-04-01,2009-06-30,2010-08-17 13:44:25+00:00,-0.36,-0.36,,-0.37,,44000000.0,4000000.0,65000000.0,-190000000.0,157000000.0,-347000000.0,-193000000.0,3000000.0,-61000000.0,,-32000000.0,,648000000.0,1528000000.0,2470000000.0,65000000.0,4000000.0,2176000000.0,2470000000.0,201000000.0,2409000000.0,536100000.0,522000000.0,523000000.0
