company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherrevenue,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Booking Holdings Inc,BKNG,FXM8FAOHMYDIPD38UZ17,1075531,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:08:25+00:00,4.64,4.64,42796000.0,3.74,,90171000.0,386693000.0,185624000.0,185934000.0,182246000.0,3378000.0,928835000.0,1866954000.0,9824000.0,,17852000.0,237008000.0,928835000.0,955971000.0,34853000.0,11350000.0,666497000.0,289474000.0,-13679000.0,276105000.0,1884806000.0,39300000.0,39299000.0,48671000.0
Booking Holdings Inc,BKNG,FXM8FAOHMYDIPD38UZ17,1075531,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 16:59:00+00:00,,11.54,39193000.0,9.88,,-47168000.0,482889000.0,489472000.0,489470000.0,489472000.0,0.0,1077449000.0,2315971000.0,-6672000.0,,22241000.0,267846000.0,1077449000.0,1260763000.0,24084000.0,2225000.0,789928000.0,470835000.0,-28531000.0,442302000.0,2338212000.0,,42406000.0,49522000.0
Booking Holdings Inc,BKNG,FXM8FAOHMYDIPD38UZ17,1075531,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 16:26:42+00:00,,7.49,10098000.0,6.42,,-124887000.0,148050000.0,318982000.0,318982000.0,318982000.0,,296654000.0,723502000.0,-1220000.0,,7158000.0,75103000.0,296654000.0,434006000.0,5911000.0,471000.0,233251000.0,200755000.0,-6660000.0,194095000.0,730660000.0,,42569000.0,49670000.0
Booking Holdings Inc,BKNG,FXM8FAOHMYDIPD38UZ17,1075531,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 17:27:03+00:00,1.61,1.61,9723000.0,1.38,,32495000.0,121851000.0,67011000.0,66978000.0,67011000.0,,298503000.0,597307000.0,-3880000.0,,6434000.0,64289000.0,298503000.0,305238000.0,6505000.0,516000.0,195863000.0,109375000.0,-9869000.0,99473000.0,603741000.0,41600000.0,41661000.0,48479000.0
Booking Holdings Inc,BKNG,FXM8FAOHMYDIPD38UZ17,1075531,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 17:23:50+00:00,11.0,11.0,45763000.0,10.35,,218141000.0,704157000.0,528142000.0,528142000.0,527541000.0,601000.0,1175934000.0,3072243000.0,-14427000.0,,12662000.0,372254000.0,1175934000.0,1908971000.0,29944000.0,3857000.0,1122174000.0,786797000.0,-40514000.0,746283000.0,3084905000.0,48000000.0,47955000.0,50988000.0
Booking Holdings Inc,BKNG,FXM8FAOHMYDIPD38UZ17,1075531,2010.0,Q4,2010-10-01,2010-12-31,,9.84,2.84,12451000.0,2.62,,45794000.0,170456000.0,135111000.0,135111000.0,135729000.0,-618000.0,252903000.0,728072000.0,-1621000.0,,3243000.0,106545000.0,252903000.0,478412000.0,7578000.0,1144000.0,289452000.0,188960000.0,-8055000.0,180905000.0,731315000.0,48000000.0,47955000.0,50988000.0
Booking Holdings Inc,BKNG,FXM8FAOHMYDIPD38UZ17,1075531,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.16,8.16,33312000.0,7.73,,172347000.0,533701000.0,393031000.0,393031000.0,391812000.0,1219000.0,923031000.0,2344171000.0,-12806000.0,,9419000.0,265709000.0,923031000.0,1430559000.0,22366000.0,2713000.0,832722000.0,597837000.0,-32459000.0,565378000.0,2353590000.0,,48570000.0,50559000.0
Booking Holdings Inc,BKNG,FXM8FAOHMYDIPD38UZ17,1075531,2010.0,Q3,2010-07-01,2010-09-30,2011-11-07 17:03:15+00:00,,4.59,12775000.0,4.41,,94119000.0,213560000.0,224560000.0,224560000.0,222980000.0,1580000.0,335569000.0,998483000.0,-10715000.0,,3274000.0,103084000.0,335569000.0,666188000.0,8293000.0,918000.0,329419000.0,336769000.0,-18090000.0,318679000.0,1001757000.0,,48570000.0,50559000.0
Booking Holdings Inc,BKNG,FXM8FAOHMYDIPD38UZ17,1075531,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.16,3.57,20537000.0,3.32,,78228000.0,320141000.0,168471000.0,168471000.0,168832000.0,-361000.0,587462000.0,1345688000.0,-2091000.0,,6145000.0,162625000.0,587462000.0,764371000.0,14073000.0,1795000.0,503303000.0,261068000.0,-14369000.0,246699000.0,1351833000.0,,47791000.0,50847000.0
Booking Holdings Inc,BKNG,FXM8FAOHMYDIPD38UZ17,1075531,2010.0,Q2,2010-04-01,2010-06-30,2011-08-05 16:06:11+00:00,,2.41,10758000.0,2.26,,51275000.0,171131000.0,114596000.0,114596000.0,114957000.0,-361000.0,322184000.0,764181000.0,1039000.0,,3258000.0,90207000.0,322184000.0,445255000.0,9267000.0,940000.0,272096000.0,173159000.0,-7288000.0,165871000.0,767439000.0,,47791000.0,50847000.0
