company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Teradyne Inc,TER,C3X4YJ278QNZHRJULN75,97210,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 14:03:37+00:00,20633000.0,-2.31,-2.31,,-2.31,329674000.0,12577000.0,-394227000.0,-394995000.0,768000.0,-394227000.0,608850000.0,1107042000.0,,-14236000.0,,218061000.0,62775000.0,247789000.0,608850000.0,498192000.0,,12558000.0,878932000.0,-380740000.0,-1678000.0,-382418000.0,1107042000.0,170700000.0,170593000.0,170593000.0
Teradyne Inc,TER,C3X4YJ278QNZHRJULN75,97210,2009.0,FY,2009-01-01,2009-12-31,2011-03-01 14:03:37+00:00,32296000.0,-0.77,-0.77,,-0.77,0.0,-8800000.0,-133837000.0,-133837000.0,0.0,-133837000.0,507774000.0,819407000.0,,-23633000.0,,164835000.0,36493000.0,200430000.0,507774000.0,311633000.0,,3417000.0,434054000.0,-122421000.0,-20216000.0,-142637000.0,819407000.0,173800000.0,173604000.0,173604000.0
Teradyne Inc,TER,C3X4YJ278QNZHRJULN75,97210,2009.0,Q3,2009-07-06,2009-10-04,2010-11-10 17:04:46+00:00,8214000.0,0.04,0.04,,0.04,,-1500000.0,6675000.0,6675000.0,,6675000.0,155407000.0,262162000.0,,,,38266000.0,5189000.0,46314000.0,155407000.0,106755000.0,4600000.0,1003000.0,97983000.0,8772000.0,-3597000.0,5175000.0,262162000.0,166900000.0,174495000.0,180792000.0
Teradyne Inc,TER,C3X4YJ278QNZHRJULN75,97210,2009.0,Q2,2009-04-06,2009-07-05,2010-08-12 14:29:38+00:00,8214000.0,-0.39,-0.39,,-0.39,,-2200000.0,-66768000.0,-66768000.0,,-66768000.0,122451000.0,169580000.0,,,,38451000.0,15270000.0,47257000.0,122451000.0,47129000.0,8046000.0,1141000.0,109192000.0,-62063000.0,-6905000.0,-68968000.0,169580000.0,171200000.0,173022000.0,173022000.0
Teradyne Inc,TER,C3X4YJ278QNZHRJULN75,97210,2010.0,Q4,2010-10-04,2010-12-31,,7290000.0,0.37,0.37,,0.3,,-4394000.0,65231000.0,61104000.0,4127000.0,65231000.0,132334000.0,289962000.0,,,,43411000.0,-5545000.0,51195000.0,132334000.0,157628000.0,4779000.0,212000.0,96351000.0,61277000.0,-4567000.0,56710000.0,289962000.0,179800000.0,179924000.0,226807000.0
Teradyne Inc,TER,C3X4YJ278QNZHRJULN75,97210,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 16:35:41+00:00,29250000.0,2.14,2.14,,1.75,,16655000.0,384820000.0,379692000.0,5128000.0,384820000.0,708579000.0,1566162000.0,,,,191863000.0,-3800000.0,225333000.0,708579000.0,857583000.0,24451000.0,5861000.0,442646000.0,414937000.0,-18590000.0,396347000.0,1566162000.0,179800000.0,179924000.0,226807000.0
Teradyne Inc,TER,C3X4YJ278QNZHRJULN75,97210,2010.0,Q3,2010-07-05,2010-10-03,2010-11-10 17:04:46+00:00,7291000.0,0.81,0.81,,0.66,,6676000.0,147340000.0,147340000.0,,147340000.0,226311000.0,502086000.0,,,,50122000.0,-859000.0,61109000.0,226311000.0,275775000.0,5562000.0,1466000.0,117663000.0,158112000.0,-4096000.0,154016000.0,502086000.0,181900000.0,181239000.0,229389000.0
Teradyne Inc,TER,C3X4YJ278QNZHRJULN75,97210,2010.0,Q3YTD,2010-01-01,2010-10-03,,21960000.0,1.77,1.77,,1.45,,21049000.0,319589000.0,318588000.0,1001000.0,319589000.0,576245000.0,1276200000.0,,,,148452000.0,1745000.0,174138000.0,576245000.0,699955000.0,19672000.0,5649000.0,346295000.0,353660000.0,-14023000.0,339637000.0,1276200000.0,181900000.0,181239000.0,229389000.0
Teradyne Inc,TER,C3X4YJ278QNZHRJULN75,97210,2010.0,Q2,2010-04-05,2010-07-04,2010-08-12 14:29:38+00:00,7313000.0,0.68,0.68,,0.55,,9543000.0,122149000.0,122149000.0,,122149000.0,200473000.0,454776000.0,,,,50393000.0,1700000.0,58343000.0,200473000.0,254303000.0,8543000.0,3681000.0,117749000.0,136554000.0,-4862000.0,131692000.0,454776000.0,179600000.0,179990000.0,231541000.0
Teradyne Inc,TER,C3X4YJ278QNZHRJULN75,97210,2010.0,Q2YTD,2010-01-01,2010-07-04,,14669000.0,0.96,0.96,,0.79,,14373000.0,172249000.0,171248000.0,1001000.0,172249000.0,349934000.0,774114000.0,,,,98330000.0,2604000.0,113029000.0,349934000.0,424180000.0,14110000.0,4183000.0,228632000.0,195548000.0,-9927000.0,185621000.0,774114000.0,179600000.0,179990000.0,231541000.0
