company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,otherincome,otherrevenue,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 14:21:37+00:00,306000000.0,3.54,3.54,0.705,3.5,34000000.0,859000000.0,4627000000.0,1887000000.0,2740000000.0,4387000000.0,240000000.0,15393000000.0,25278000000.0,,,-9000000.0,933000000.0,-6000000.0,114000000.0,6203000000.0,15393000000.0,10818000000.0,1412000000.0,6651000000.0,4167000000.0,-1421000000.0,2746000000.0,26211000000.0,1239300000.0,1239600000.0,1254000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2008.0,FY,2008-01-01,2008-12-31,2011-02-18 10:11:39+00:00,346000000.0,-11.22,-11.22,0.75,-11.22,7213000000.0,693000000.0,-14649000000.0,-5090000000.0,-9559000000.0,-13398000000.0,-1251000000.0,14911000000.0,25548000000.0,,,7000000.0,886000000.0,3000000.0,327000000.0,6678000000.0,14911000000.0,11523000000.0,1360000000.0,14567000000.0,-3044000000.0,-1353000000.0,-4397000000.0,26434000000.0,1194100000.0,1194200000.0,1194200000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2008.0,Q3,2008-07-01,2008-09-30,2009-11-04 08:02:05+00:00,140000000.0,0.89,0.89,0.1875,0.89,39000000.0,487000000.0,1124000000.0,769000000.0,355000000.0,1067000000.0,57000000.0,4103000000.0,7346000000.0,,,29000000.0,233000000.0,3000000.0,20000000.0,1726000000.0,4103000000.0,3476000000.0,321000000.0,1928000000.0,1548000000.0,-292000000.0,1256000000.0,7579000000.0,1198900000.0,1194800000.0,1202100000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2008.0,Q2,2008-04-01,2008-06-30,2009-07-29 07:10:46+00:00,129000000.0,0.66,0.66,0.1875,0.66,18000000.0,315000000.0,843000000.0,570000000.0,273000000.0,792000000.0,51000000.0,4342000000.0,7250000000.0,,,9000000.0,219000000.0,0.0,6000000.0,1767000000.0,4342000000.0,3127000000.0,331000000.0,1920000000.0,1207000000.0,-322000000.0,885000000.0,7469000000.0,1200000000.0,1193300000.0,1201100000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2009.0,Q4,2009-10-01,2009-12-31,,66000000.0,0.53,0.53,0.19,0.54,33000000.0,307000000.0,632000000.0,611000000.0,21000000.0,631000000.0,1000000.0,4124000000.0,6502000000.0,,,-30000000.0,708000000.0,,120000000.0,1662000000.0,4124000000.0,3086000000.0,257000000.0,1881000000.0,1205000000.0,-287000000.0,918000000.0,7210000000.0,1190900000.0,1184000000.0,1195100000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 10:17:25+00:00,280000000.0,2.08,2.08,0.75,2.07,85000000.0,1153000000.0,2512000000.0,2084000000.0,428000000.0,2477000000.0,35000000.0,14235000000.0,24680000000.0,,,-67000000.0,708000000.0,33000000.0,212000000.0,6073000000.0,14235000000.0,11153000000.0,1166000000.0,6683000000.0,4470000000.0,-1233000000.0,3237000000.0,25388000000.0,1190900000.0,1184000000.0,1195100000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 07:47:31+00:00,71000000.0,0.56,0.56,0.1875,0.55,52000000.0,320000000.0,663000000.0,582000000.0,81000000.0,662000000.0,1000000.0,3419000000.0,6262000000.0,,,-39000000.0,,0.0,29000000.0,1451000000.0,3419000000.0,2843000000.0,299000000.0,1603000000.0,1240000000.0,-338000000.0,902000000.0,6262000000.0,1182100000.0,1179900000.0,1193300000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2009.0,Q3YTD,2009-01-01,2009-09-30,,214000000.0,1.55,1.55,0.56,1.53,52000000.0,846000000.0,1880000000.0,1473000000.0,407000000.0,1846000000.0,34000000.0,10111000000.0,18178000000.0,,,-37000000.0,,33000000.0,92000000.0,4411000000.0,10111000000.0,8067000000.0,909000000.0,4802000000.0,3265000000.0,-946000000.0,2319000000.0,18178000000.0,1182100000.0,1179900000.0,1193300000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 08:03:43+00:00,66000000.0,0.44,0.44,0.1875,0.43,,299000000.0,529000000.0,429000000.0,100000000.0,524000000.0,5000000.0,3334000000.0,5920000000.0,,,24000000.0,,33000000.0,27000000.0,1459000000.0,3334000000.0,2586000000.0,297000000.0,1585000000.0,1001000000.0,-273000000.0,728000000.0,5920000000.0,1190900000.0,1195200000.0,1205400000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2009.0,Q2YTD,2009-01-01,2009-06-30,,143000000.0,0.99,0.99,0.38,0.98,,526000000.0,1217000000.0,891000000.0,326000000.0,1184000000.0,33000000.0,6692000000.0,11916000000.0,,,2000000.0,,33000000.0,63000000.0,2960000000.0,6692000000.0,5224000000.0,610000000.0,3199000000.0,2025000000.0,-608000000.0,1417000000.0,11916000000.0,1190900000.0,1195200000.0,1205400000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2009.0,Q1,2009-01-01,2009-03-31,2010-05-05 07:39:31+00:00,77000000.0,0.55,0.55,0.1875,0.55,,227000000.0,688000000.0,462000000.0,226000000.0,660000000.0,28000000.0,3358000000.0,5996000000.0,,,-22000000.0,,0.0,36000000.0,1501000000.0,3358000000.0,2638000000.0,313000000.0,1614000000.0,1024000000.0,-335000000.0,689000000.0,5996000000.0,1200000000.0,1196100000.0,1200300000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 12:35:05+00:00,264000000.0,2.27,2.27,0.85,2.25,20000000.0,1348000000.0,2571000000.0,2571000000.0,,2578000000.0,-7000000.0,15023000000.0,26275000000.0,,,-331000000.0,613000000.0,-70000000.0,97000000.0,6126000000.0,15023000000.0,11865000000.0,1178000000.0,6437000000.0,5428000000.0,-1509000000.0,3919000000.0,26888000000.0,1135700000.0,1128400000.0,1145300000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2010.0,Q4,2010-10-01,2010-12-31,,144000000.0,1.32,1.32,0.42,1.3,11000000.0,810000000.0,1491000000.0,1491000000.0,,1494000000.0,-3000000.0,7895000000.0,13521000000.0,,,-7000000.0,613000000.0,-70000000.0,62000000.0,3205000000.0,7895000000.0,6239000000.0,579000000.0,3352000000.0,2887000000.0,-586000000.0,2301000000.0,14134000000.0,1135700000.0,1128400000.0,1145300000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2010.0,Q3,2010-07-01,2010-09-30,2011-11-02 12:03:01+00:00,54000000.0,0.46,0.46,0.2125,0.46,9000000.0,221000000.0,520000000.0,520000000.0,,522000000.0,-2000000.0,3529000000.0,6377000000.0,,,-307000000.0,,0.0,29000000.0,1409000000.0,3529000000.0,2848000000.0,299000000.0,1501000000.0,1347000000.0,-606000000.0,741000000.0,6377000000.0,1134800000.0,1121000000.0,1138000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2010.0,Q3YTD,2010-01-01,2010-09-30,,120000000.0,0.95,0.95,0.43,0.95,9000000.0,538000000.0,1080000000.0,1080000000.0,,1084000000.0,-4000000.0,7128000000.0,12754000000.0,,,-324000000.0,,,35000000.0,2921000000.0,7128000000.0,5626000000.0,599000000.0,3085000000.0,2541000000.0,-923000000.0,1618000000.0,12754000000.0,1134800000.0,1121000000.0,1138000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2010.0,Q3TTM,2009-10-01,2010-09-30,,186000000.0,1.48,1.48,0.61,1.49,42000000.0,845000000.0,1712000000.0,1691000000.0,21000000.0,1715000000.0,-3000000.0,11252000000.0,19256000000.0,,,-354000000.0,708000000.0,,155000000.0,4583000000.0,11252000000.0,8712000000.0,856000000.0,4966000000.0,3746000000.0,-1210000000.0,2536000000.0,19964000000.0,1134800000.0,1121000000.0,1138000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2010.0,Q2,2010-04-01,2010-06-30,2011-08-03 12:12:31+00:00,66000000.0,0.49,0.49,0.2125,0.49,0.0,317000000.0,560000000.0,560000000.0,,562000000.0,-2000000.0,3599000000.0,6377000000.0,,,-17000000.0,,0.0,6000000.0,1512000000.0,3599000000.0,2778000000.0,300000000.0,1584000000.0,1194000000.0,-317000000.0,877000000.0,6377000000.0,1146900000.0,1136500000.0,1153800000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2010.0,Q2YTD,2010-01-01,2010-06-30,,66000000.0,0.49,0.49,0.21,0.49,,317000000.0,560000000.0,560000000.0,,562000000.0,-2000000.0,3599000000.0,6377000000.0,,,-17000000.0,,,6000000.0,1512000000.0,3599000000.0,2778000000.0,300000000.0,1584000000.0,1194000000.0,-317000000.0,877000000.0,6377000000.0,1146900000.0,1136500000.0,1153800000.0
