company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxliabilities,notereceivable,othercurrentassets,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2008.0,FY,,2008-12-31,2010-02-19 14:21:37+00:00,7779000000.0,-1676000000.0,1099000000.0,,169580000000.0,872000000.0,565000000.0,30267000000.0,10923000000.0,19855000000.0,1027000000.0,1842000000.0,4105000000.0,3382000000.0,266000000.0,1161000000.0,5171000000.0,730000000.0,7215000000.0,3447000000.0,6541000000.0,6719000000.0,44574000000.0,26249000000.0,,,-99780000000.0,2041000000.0,,114059000000.0,42288000000.0,16622000000.0,14139000000.0,42288000000.0,45670000000.0,68389000000.0,114059000000.0,93332000000.0,54250000000.0,-25836000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2009.0,FY,,2009-12-31,2011-02-18 10:11:39+00:00,7807000000.0,-580000000.0,4733000000.0,,158145000000.0,781000000.0,670000000.0,29639000000.0,10410000000.0,15346000000.0,1542000000.0,1769000000.0,3922000000.0,1000000.0,269000000.0,1607000000.0,5070000000.0,645000000.0,,23000000.0,6854000000.0,5967000000.0,,,,,-97135000000.0,862000000.0,805000000.0,66059000000.0,33396000000.0,13692000000.0,9473000000.0,33396000000.0,33397000000.0,32662000000.0,66059000000.0,48445000000.0,23189000000.0,-27034000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2009.0,Q3,,2009-09-30,2009-11-04 08:02:05+00:00,8084000000.0,-1047000000.0,7126000000.0,,161499000000.0,970000000.0,704000000.0,31978000000.0,11301000000.0,15410000000.0,1174000000.0,1892000000.0,4691000000.0,346000000.0,269000000.0,1447000000.0,4833000000.0,697000000.0,0.0,2000000.0,6870000000.0,6506000000.0,0.0,0.0,,,-97775000000.0,2090000000.0,,71266000000.0,36142000000.0,15252000000.0,11146000000.0,36142000000.0,36488000000.0,34778000000.0,71266000000.0,51323000000.0,23632000000.0,-26535000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2009.0,Q2,,2009-06-30,2009-07-29 07:10:46+00:00,7952000000.0,-1101000000.0,7009000000.0,,161921000000.0,933000000.0,802000000.0,32064000000.0,11326000000.0,15411000000.0,1177000000.0,1840000000.0,4739000000.0,360000000.0,267000000.0,1251000000.0,4847000000.0,745000000.0,0.0,2000000.0,6371000000.0,6472000000.0,0.0,0.0,,,-98599000000.0,2087000000.0,,70920000000.0,36185000000.0,15243000000.0,10974000000.0,36185000000.0,36545000000.0,34375000000.0,70920000000.0,50938000000.0,23401000000.0,-26036000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2010.0,FY,,2010-12-31,2012-02-24 10:17:25+00:00,7809000000.0,-632000000.0,3663000000.0,0.0,157162000000.0,991000000.0,581000000.0,29994000000.0,10319000000.0,16523000000.0,1796000000.0,1920000000.0,3874000000.0,5000000.0,296000000.0,1950000000.0,6596000000.0,,,,7403000000.0,6167000000.0,,,561000000.0,,-94557000000.0,26000000.0,,66707000000.0,32940000000.0,13321000000.0,8826000000.0,32940000000.0,32945000000.0,33762000000.0,66707000000.0,49512000000.0,24936000000.0,-29033000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2010.0,Q3,,2010-09-30,2010-11-03 07:47:31+00:00,6934000000.0,-620000000.0,4009000000.0,,157489000000.0,815000000.0,541000000.0,29826000000.0,10275000000.0,16523000000.0,1656000000.0,1945000000.0,3760000000.0,5000000.0,294000000.0,1659000000.0,5309000000.0,530000000.0,,0.0,7369000000.0,5947000000.0,,,,,-95326000000.0,34000000.0,0.0,65220000000.0,33009000000.0,12334000000.0,7783000000.0,33009000000.0,33014000000.0,32206000000.0,65220000000.0,49126000000.0,24423000000.0,-28534000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2010.0,Q2,,2010-06-30,2010-08-04 08:03:43+00:00,6778000000.0,-732000000.0,4238000000.0,,157719000000.0,807000000.0,635000000.0,29697000000.0,10371000000.0,16486000000.0,1679000000.0,1860000000.0,3784000000.0,6000000.0,270000000.0,1621000000.0,5328000000.0,570000000.0,,0.0,6868000000.0,5923000000.0,,,,,-95848000000.0,34000000.0,0.0,65030000000.0,33105000000.0,12631000000.0,7619000000.0,33105000000.0,33111000000.0,31919000000.0,65030000000.0,48615000000.0,24300000000.0,-28034000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2010.0,Q1,,2010-03-31,2010-05-05 07:39:31+00:00,7291000000.0,-717000000.0,5167000000.0,,157972000000.0,872000000.0,651000000.0,29758000000.0,10455000000.0,16387000000.0,1743000000.0,1890000000.0,3815000000.0,4000000.0,280000000.0,1633000000.0,5143000000.0,542000000.0,,0.0,6902000000.0,6028000000.0,,,,,-96410000000.0,260000000.0,0.0,66066000000.0,33311000000.0,13393000000.0,8423000000.0,33311000000.0,33315000000.0,32751000000.0,66066000000.0,48858000000.0,24328000000.0,-27534000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2011.0,FY,,2011-12-31,2013-02-22 12:35:05+00:00,7815000000.0,-852000000.0,3476000000.0,0.0,156131000000.0,1084000000.0,663000000.0,30029000000.0,10037000000.0,19501000000.0,1820000000.0,1890000000.0,3963000000.0,-3000000.0,549000000.0,2541000000.0,6922000000.0,,,,8520000000.0,6334000000.0,,,481000000.0,,-91671000000.0,23000000.0,,67801000000.0,29957000000.0,13432000000.0,8922000000.0,29957000000.0,29954000000.0,37847000000.0,67801000000.0,50406000000.0,28925000000.0,-33651000000.0
Time Warner Inc,TWX,KNG3XRAA0RHN9H62OK76,1105705,2011.0,Q3,,2011-09-30,2011-11-02 12:03:01+00:00,7242000000.0,-486000000.0,3245000000.0,0.0,156289000000.0,979000000.0,475000000.0,30095000000.0,10146000000.0,18511000000.0,1925000000.0,1999000000.0,3921000000.0,-3000000.0,286000000.0,2444000000.0,5742000000.0,,,,8721000000.0,6243000000.0,,,621000000.0,,-92444000000.0,22000000.0,,66890000000.0,31166000000.0,12082000000.0,8243000000.0,31166000000.0,31163000000.0,35727000000.0,66890000000.0,50887000000.0,27484000000.0,-32193000000.0
