company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2009.0,FY,2008-08-29,2009-09-03,2011-10-25 15:34:34+00:00,-2.35,-2.35,-2.35,1000000.0,-1993000000.0,-1993000000.0,-1882000000.0,-111000000.0,5243000000.0,4803000000.0,-140000000.0,-16000000.0,235000000.0,0.0,647000000.0,,354000000.0,5243000000.0,-440000000.0,182000000.0,22000000.0,1236000000.0,-1676000000.0,-176000000.0,-1852000000.0,4803000000.0,800900000.0,800700000.0,800700000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2009.0,Q1,2008-08-29,2008-12-04,2010-01-12 14:40:38+00:00,,-0.93,-0.93,13000000.0,-731000000.0,-731000000.0,-718000000.0,-13000000.0,1851000000.0,1402000000.0,-5000000.0,-10000000.0,9000000.0,,178000000.0,-66000000.0,102000000.0,1851000000.0,-449000000.0,41000000.0,10000000.0,223000000.0,-672000000.0,-41000000.0,-713000000.0,1402000000.0,,773300000.0,773300000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q4,2010-06-04,2010-09-02,,0.36,0.36,0.31,25000000.0,359000000.0,359000000.0,342000000.0,17000000.0,1712000000.0,2493000000.0,-16000000.0,-2000000.0,10000000.0,,197000000.0,,141000000.0,1712000000.0,781000000.0,41000000.0,10000000.0,348000000.0,433000000.0,-33000000.0,400000000.0,2493000000.0,885200000.0,887500000.0,1050700000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,FY,2009-09-04,2010-09-02,2012-10-29 16:49:33+00:00,2.09,2.09,1.85,-19000000.0,1900000000.0,1900000000.0,1850000000.0,50000000.0,5768000000.0,8482000000.0,-39000000.0,491000000.0,-27000000.0,,624000000.0,,528000000.0,5768000000.0,2714000000.0,178000000.0,18000000.0,1125000000.0,1589000000.0,331000000.0,1920000000.0,8482000000.0,885200000.0,887500000.0,1050700000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q3YTD,2009-09-04,2010-06-03,,1.73,1.73,1.54,-44000000.0,1541000000.0,1541000000.0,1508000000.0,33000000.0,4056000000.0,5989000000.0,-23000000.0,493000000.0,-37000000.0,,427000000.0,,387000000.0,4056000000.0,1933000000.0,137000000.0,8000000.0,777000000.0,1156000000.0,364000000.0,1520000000.0,5989000000.0,885800000.0,885400000.0,1049400000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q3,2010-03-05,2010-06-03,2011-07-12 15:12:41+00:00,1.06,1.06,0.92,-41000000.0,960000000.0,960000000.0,939000000.0,21000000.0,1440000000.0,2288000000.0,-19000000.0,438000000.0,-24000000.0,,142000000.0,,190000000.0,1440000000.0,848000000.0,44000000.0,4000000.0,308000000.0,540000000.0,398000000.0,938000000.0,2288000000.0,885800000.0,885400000.0,1049400000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q2YTD,2009-09-04,2010-03-04,,0.67,0.67,0.62,-3000000.0,581000000.0,581000000.0,569000000.0,12000000.0,2616000000.0,3701000000.0,-4000000.0,55000000.0,-13000000.0,,285000000.0,,197000000.0,2616000000.0,1085000000.0,93000000.0,4000000.0,469000000.0,616000000.0,-34000000.0,582000000.0,3701000000.0,848800000.0,847600000.0,1005300000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q2,2009-12-04,2010-03-04,2011-04-12 16:55:00+00:00,0.43,0.43,0.39,4000000.0,379000000.0,379000000.0,365000000.0,14000000.0,1319000000.0,1961000000.0,13000000.0,-1000000.0,-21000000.0,,148000000.0,,100000000.0,1319000000.0,642000000.0,46000000.0,2000000.0,227000000.0,415000000.0,-45000000.0,370000000.0,1961000000.0,848800000.0,847600000.0,1005300000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q1TTM,2008-12-05,2009-12-03,,-2.11,-1.18,-1.19,-19000000.0,-1060000000.0,-1060000000.0,-960000000.0,-100000000.0,4689000000.0,5141000000.0,-152000000.0,50000000.0,234000000.0,,606000000.0,66000000.0,349000000.0,4689000000.0,452000000.0,188000000.0,14000000.0,1255000000.0,-803000000.0,-124000000.0,-927000000.0,5141000000.0,850000000.0,846300000.0,1000700000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q1,2009-09-04,2009-12-03,2011-01-11 15:26:05+00:00,0.24,0.24,0.23,-7000000.0,202000000.0,202000000.0,204000000.0,-2000000.0,1297000000.0,1740000000.0,-17000000.0,56000000.0,8000000.0,,137000000.0,,97000000.0,1297000000.0,443000000.0,47000000.0,2000000.0,242000000.0,201000000.0,11000000.0,212000000.0,1740000000.0,850000000.0,846300000.0,1000700000.0
