company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2009.0,FY,2008-08-29,2009-09-03,2011-10-25 15:34:34+00:00,-408000000.0,72000000.0,43000000.0,107000000.0,2114000000.0,0.0,,16000000.0,301000000.0,716000000.0,-290000000.0,-674000000.0,1206000000.0,-290000000.0,-674000000.0,1206000000.0,242000000.0,-1993000000.0,-1993000000.0,997000000.0,-165000000.0,25000000.0,-705000000.0,,-488000000.0,-435000000.0,-2000000.0,171000000.0,26000000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2009.0,Q1,2008-08-29,2008-12-04,2010-01-12 14:40:38+00:00,-409000000.0,,-8000000.0,-29000000.0,605000000.0,,,185000000.0,,289000000.0,-88000000.0,-489000000.0,359000000.0,-88000000.0,-489000000.0,359000000.0,-218000000.0,-731000000.0,-731000000.0,300000000.0,-64000000.0,61000000.0,-150000000.0,,-270000000.0,-163000000.0,,123000000.0,6000000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q4,2010-06-04,2010-09-02,,-14000000.0,22000000.0,9000000.0,10000000.0,509000000.0,423000000.0,,95000000.0,14000000.0,,-248000000.0,-229000000.0,1077000000.0,-248000000.0,-229000000.0,1077000000.0,600000000.0,359000000.0,359000000.0,92000000.0,-131000000.0,-299000000.0,-23000000.0,-3000000.0,-347000000.0,-87000000.0,-21000000.0,3000000.0,8000000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,FY,2009-09-04,2010-09-02,2012-10-29 16:49:33+00:00,-165000000.0,83000000.0,-2000000.0,95000000.0,1922000000.0,518000000.0,,-504000000.0,38000000.0,200000000.0,-1220000000.0,-448000000.0,3096000000.0,-1220000000.0,-448000000.0,3096000000.0,1428000000.0,1900000000.0,1900000000.0,-305000000.0,-330000000.0,-279000000.0,-267000000.0,-3000000.0,-616000000.0,-840000000.0,-21000000.0,3000000.0,94000000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q3,2010-03-05,2010-06-03,,-8000000.0,20000000.0,-10000000.0,34000000.0,476000000.0,95000000.0,,-169000000.0,24000000.0,,-490000000.0,44000000.0,889000000.0,-490000000.0,44000000.0,889000000.0,443000000.0,960000000.0,960000000.0,-398000000.0,-63000000.0,21000000.0,-72000000.0,,-114000000.0,-379000000.0,,,50000000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q3YTD,2009-09-04,2010-06-03,2011-07-12 15:12:41+00:00,-151000000.0,61000000.0,-11000000.0,85000000.0,1413000000.0,95000000.0,,-599000000.0,24000000.0,200000000.0,-972000000.0,-219000000.0,2019000000.0,-972000000.0,-219000000.0,2019000000.0,828000000.0,1541000000.0,1541000000.0,-397000000.0,-199000000.0,20000000.0,-244000000.0,,-269000000.0,-753000000.0,,0.0,86000000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q2YTD,2009-09-04,2010-03-04,2011-04-12 16:55:00+00:00,-143000000.0,41000000.0,-1000000.0,51000000.0,937000000.0,,,-430000000.0,,200000000.0,-482000000.0,-263000000.0,1130000000.0,-482000000.0,-263000000.0,1130000000.0,385000000.0,581000000.0,581000000.0,1000000.0,-136000000.0,-1000000.0,-172000000.0,,-155000000.0,-374000000.0,,0.0,36000000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q1TTM,2008-12-05,2009-12-03,,1000000.0,72000000.0,53000000.0,172000000.0,2000000000.0,,,-528000000.0,301000000.0,627000000.0,-423000000.0,-210000000.0,1173000000.0,-423000000.0,-210000000.0,1173000000.0,540000000.0,-1060000000.0,-1060000000.0,689000000.0,-150000000.0,-30000000.0,-643000000.0,,-280000000.0,-556000000.0,-2000000.0,48000000.0,51000000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2010.0,Q1,2009-09-04,2009-12-03,2011-01-11 15:26:05+00:00,,,2000000.0,36000000.0,491000000.0,,,-359000000.0,,200000000.0,-221000000.0,-25000000.0,326000000.0,-221000000.0,-25000000.0,326000000.0,80000000.0,202000000.0,202000000.0,-8000000.0,-49000000.0,6000000.0,-88000000.0,,-62000000.0,-284000000.0,,,31000000.0
Micron Technology Inc,MU,B3DXGBC8GAIYWI2Z0172,723125,2011.0,FY,2010-09-03,2011-09-01,2013-10-28 16:39:35+00:00,-31000000.0,57000000.0,99000000.0,59000000.0,2105000000.0,,,-108000000.0,36000000.0,690000000.0,-1195000000.0,-2042000000.0,2484000000.0,-1195000000.0,-2042000000.0,2484000000.0,-753000000.0,190000000.0,190000000.0,240000000.0,-111000000.0,403000000.0,-384000000.0,-40000000.0,-2550000000.0,-1263000000.0,-163000000.0,49000000.0,127000000.0
