company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Paychex Inc,PAYX,,723531,2008.0,FY,2007-06-01,2008-05-31,2010-07-16 16:17:20+00:00,-32940000.0,19033000.0,80614000.0,0.0,26849000.0,,-1572950000.0,933165000.0,724669000.0,-1572950000.0,933165000.0,724669000.0,84884000.0,576145000.0,576145000.0,22028000.0,-130805000.0,,-442146000.0,-80501595000.0,-101888000.0,-999999000.0,81568872000.0,716000.0
Paychex Inc,PAYX,,723531,2009.0,Q3YTD,2009-06-01,2010-02-28,2011-03-23 17:04:19+00:00,0.0,25800000.0,64900000.0,13100000.0,13500000.0,,254300000.0,-950800000.0,503000000.0,254300000.0,-950800000.0,503000000.0,-193500000.0,361500000.0,361500000.0,37300000.0,590700000.0,,-336400000.0,-1327500000.0,-52700000.0,,416300000.0,
Paychex Inc,PAYX,,723531,2009.0,Q3,2009-12-01,2010-02-28,,,9000000.0,21600000.0,,58200000.0,,986600000.0,-1156500000.0,223900000.0,986600000.0,-1156500000.0,223900000.0,54000000.0,112000000.0,112000000.0,23100000.0,1098800000.0,,-112200000.0,-570700000.0,-20400000.0,,-565400000.0,
Paychex Inc,PAYX,,723531,2009.0,Q2TTM,2008-12-01,2009-11-30,,-32940000.0,23894000.0,82249000.0,13050000.0,10687000.0,,-1808101000.0,803669000.0,675455000.0,-1808101000.0,803669000.0,675455000.0,-328977000.0,536664000.0,536664000.0,21961000.0,-365562000.0,,-442540000.0,-64153086000.0,-81495000.0,-999999000.0,65057424000.0,716000.0
Paychex Inc,PAYX,,723531,2009.0,Q2YTD,2009-06-01,2009-11-30,2010-12-20 16:36:03+00:00,,16800000.0,43300000.0,13100000.0,-44700000.0,,-732300000.0,205700000.0,279100000.0,-732300000.0,205700000.0,279100000.0,-247500000.0,249500000.0,249500000.0,14200000.0,-508100000.0,,-224200000.0,-756800000.0,-32300000.0,,981700000.0,
Paychex Inc,PAYX,,723531,2009.0,Q2,2009-09-01,2009-11-30,,,8800000.0,21700000.0,13100000.0,-70700000.0,,-140700000.0,-41800000.0,92500000.0,-140700000.0,-41800000.0,92500000.0,-90000000.0,125900000.0,125900000.0,6800000.0,-28600000.0,,-112100000.0,-420200000.0,-18100000.0,,383400000.0,
Paychex Inc,PAYX,,723531,2009.0,Q1,2009-06-01,2009-08-31,2010-09-27 16:42:40+00:00,,8000000.0,21600000.0,,26000000.0,,-591600000.0,247500000.0,186600000.0,-591600000.0,247500000.0,186600000.0,-157500000.0,123600000.0,123600000.0,7400000.0,-479500000.0,,-112100000.0,-336600000.0,-14200000.0,,598300000.0,
Paychex Inc,PAYX,,723531,2009.0,FY,2008-06-01,2009-05-31,2010-07-16 16:17:20+00:00,-6466000.0,22956000.0,85772000.0,0.0,19016000.0,,-784701000.0,404462000.0,688771000.0,-784701000.0,404462000.0,688771000.0,308532000.0,533545000.0,533545000.0,27482000.0,-336969000.0,,-447732000.0,-17467092000.0,-81116000.0,0.0,17958518000.0,618000.0
Paychex Inc,PAYX,,723531,2009.0,Q4,2010-03-01,2009-05-31,,-6466000.0,-2844000.0,20872000.0,-13100000.0,5516000.0,,-1039001000.0,1355262000.0,185771000.0,-1039001000.0,1355262000.0,185771000.0,502032000.0,172045000.0,172045000.0,-9818000.0,-927669000.0,,-111332000.0,-16139592000.0,-28416000.0,,17542218000.0,618000.0
Paychex Inc,PAYX,,723531,2010.0,Q4,2010-03-01,2010-05-31,,,9209000.0,21606000.0,50000.0,-44775000.0,,-652432000.0,549556000.0,107884000.0,-652432000.0,549556000.0,107884000.0,5008000.0,115523000.0,115523000.0,6321000.0,-540222000.0,,-112210000.0,-227385000.0,-20461000.0,,797352000.0,
