company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,dividendspayable,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxliabilities,othercurrentassets,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2009.0,FY,,2009-12-31,2011-02-25 15:10:15+00:00,73020000.0,183178000.0,98730000.0,25428000.0,73526000.0,,402405000.0,9586000.0,1180445000.0,281354000.0,391754000.0,159463000.0,178283000.0,148806000.0,35545000.0,6363000.0,99811000.0,896977000.0,8346000.0,2098157000.0,1268104000.0,451712000.0,189682000.0,1268104000.0,1268104000.0,830053000.0,2098157000.0,1468162000.0,640371000.0,0.0,-56706000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2010.0,FY,,2010-12-31,2012-02-24 16:35:05+00:00,104055000.0,213553000.0,117879000.0,-12709000.0,235136000.0,0.0,442117000.0,12289000.0,1207001000.0,281392000.0,408450000.0,196546000.0,188562000.0,148534000.0,47523000.0,11982000.0,95383000.0,1005040000.0,119445000.0,2381695000.0,1375660000.0,692758000.0,353668000.0,1375660000.0,1375660000.0,1006035000.0,2381695000.0,1500375000.0,652367000.0,0.0,-58788000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2010.0,Q3,,2010-09-30,2010-11-03 18:35:29+00:00,94299000.0,210188000.0,163119000.0,-9107000.0,206054000.0,,426612000.0,12366000.0,1208756000.0,281978000.0,480559000.0,191698000.0,187021000.0,158536000.0,53019000.0,7747000.0,90754000.0,975702000.0,11070000.0,2346461000.0,1335758000.0,660959000.0,280854000.0,1335758000.0,1335758000.0,1010703000.0,2346461000.0,1498481000.0,729849000.0,0.0,-57449000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2010.0,Q2,,2010-06-30,2010-08-06 16:02:46+00:00,83204000.0,200430000.0,131549000.0,-38693000.0,159138000.0,,418783000.0,12223000.0,1169641000.0,277431000.0,459832000.0,170109000.0,179284000.0,152271000.0,47773000.0,7721000.0,89754000.0,949494000.0,10559000.0,2211527000.0,1272135000.0,577450000.0,237535000.0,1272135000.0,1272135000.0,939392000.0,2211527000.0,1454793000.0,701857000.0,0.0,-57449000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2011.0,FY,,2011-12-31,2013-02-21 16:47:17+00:00,110977000.0,252845000.0,130696000.0,-55469000.0,230259000.0,0.0,490988000.0,14161000.0,1431366000.0,382222000.0,806366000.0,254258000.0,213717000.0,142482000.0,51799000.0,19641000.0,115846000.0,1142412000.0,2444000.0,2836107000.0,1513135000.0,789161000.0,258278000.0,1513135000.0,1513135000.0,1322972000.0,2836107000.0,1833229000.0,1064694000.0,0.0,-64796000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2011.0,Q3,,2011-09-30,2011-10-31 16:42:47+00:00,119738000.0,258346000.0,173854000.0,-25653000.0,220461000.0,0.0,486532000.0,14172000.0,1441640000.0,393947000.0,733204000.0,271617000.0,219702000.0,166325000.0,54882000.0,33133000.0,95619000.0,1109168000.0,85395000.0,2893728000.0,1505421000.0,805306000.0,393159000.0,1505421000.0,1505421000.0,1388307000.0,2893728000.0,1868720000.0,995148000.0,0.0,-64626000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2011.0,Q2,,2011-06-30,2011-08-08 17:16:36+00:00,128117000.0,270234000.0,122894000.0,22169000.0,202961000.0,,479031000.0,14095000.0,1450988000.0,406340000.0,793117000.0,282381000.0,231538000.0,169810000.0,58429000.0,20449000.0,98617000.0,1075006000.0,85020000.0,2923320000.0,1511650000.0,814005000.0,350126000.0,1511650000.0,1511650000.0,1411670000.0,2923320000.0,1877777000.0,1061544000.0,0.0,-64556000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2011.0,Q1,,2011-03-31,2011-05-03 14:29:34+00:00,112906000.0,242177000.0,113002000.0,13858000.0,195548000.0,,464985000.0,0.0,1246258000.0,299333000.0,415383000.0,215650000.0,199703000.0,153915000.0,50632000.0,16127000.0,94435000.0,1052991000.0,102801000.0,2465428000.0,1472986000.0,704007000.0,328709000.0,1472986000.0,1472986000.0,992442000.0,2465428000.0,1561718000.0,663733000.0,0.0,-58848000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2012.0,FY,,2012-12-31,2014-02-13 14:56:29+00:00,117341000.0,256095000.0,150176000.0,-43403000.0,318864000.0,0.0,551559000.0,16575000.0,1321727000.0,341372000.0,779241000.0,234950000.0,219161000.0,121349000.0,71956000.0,21265000.0,128375000.0,1113541000.0,7335000.0,2785390000.0,1464998000.0,881865000.0,291427000.0,1464998000.0,1464998000.0,1320392000.0,2785390000.0,1684364000.0,1028965000.0,0.0,-156699000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2012.0,Q3,,2012-09-30,2012-11-02 16:27:46+00:00,117793000.0,277505000.0,154557000.0,-35674000.0,260503000.0,0.0,537677000.0,16540000.0,1490821000.0,378660000.0,782768000.0,249564000.0,223762000.0,157971000.0,56292000.0,20328000.0,113817000.0,1249130000.0,5152000.0,2957435000.0,1608837000.0,843864000.0,294042000.0,1608837000.0,1608837000.0,1348598000.0,2957435000.0,1889809000.0,1054556000.0,0.0,-142296000.0
