company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 15:10:15+00:00,-392825000.0,17898000.0,72074000.0,20139000.0,30989000.0,,-6486000.0,5177000.0,663709000.0,22679000.0,-280657000.0,223060000.0,22679000.0,-280657000.0,223060000.0,-41404000.0,127026000.0,127026000.0,41970000.0,13555000.0,140005000.0,,-39398000.0,-27837000.0,-565187000.0,-50000000.0,
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2009.0,Q4,2009-10-01,2009-12-31,,,6161000.0,18943000.0,3911000.0,8368000.0,,150000.0,5552000.0,5208000.0,-50729000.0,-5182000.0,54858000.0,-50729000.0,-5182000.0,54858000.0,-903000.0,33087000.0,33087000.0,1690000.0,3928000.0,1531000.0,,-9668000.0,-6713000.0,-50197000.0,,
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:35:05+00:00,,24804000.0,50796000.0,17311000.0,31850000.0,,4242000.0,29092000.0,70114000.0,-184984000.0,-19617000.0,212532000.0,-184984000.0,-19617000.0,212532000.0,12173000.0,113391000.0,113391000.0,13395000.0,9143000.0,1860000.0,,-38637000.0,-25059000.0,-225604000.0,,3582000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2009.0,Q3,2009-07-01,2009-09-30,,,6351000.0,6940000.0,3736000.0,7862000.0,,764000.0,37463000.0,10135000.0,-72337000.0,-6677000.0,84763000.0,-72337000.0,-6677000.0,84763000.0,6513000.0,29777000.0,29777000.0,3310000.0,1452000.0,-1000.0,,-9667000.0,-7376000.0,-74257000.0,,700000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-03 18:35:29+00:00,,18643000.0,31853000.0,13400000.0,23482000.0,,4092000.0,23540000.0,64906000.0,-134255000.0,-14435000.0,157674000.0,-134255000.0,-14435000.0,157674000.0,13076000.0,80304000.0,80304000.0,11705000.0,5215000.0,329000.0,,-28969000.0,-18346000.0,-175407000.0,,3582000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-06 16:02:46+00:00,,12292000.0,24913000.0,9664000.0,15620000.0,,3328000.0,-13923000.0,54771000.0,-61918000.0,-7758000.0,72911000.0,-61918000.0,-7758000.0,72911000.0,6563000.0,50527000.0,50527000.0,8395000.0,3763000.0,330000.0,,-19302000.0,-10970000.0,-101150000.0,,2882000.0
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2010.0,Q4,2010-10-01,2010-12-31,,-22956000.0,6637000.0,27520000.0,6658000.0,6759000.0,,-3282000.0,-1134000.0,-96973000.0,33203000.0,-27970000.0,27131000.0,33203000.0,-27970000.0,27131000.0,29082000.0,41513000.0,41513000.0,-26644000.0,403368000.0,720000.0,,-12252000.0,-5734000.0,-260940000.0,,
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2010.0,FY,2010-01-01,2010-12-31,2013-02-21 16:47:17+00:00,-91286000.0,26288000.0,73867000.0,16776000.0,32367000.0,,3918000.0,-14221000.0,61551000.0,95521000.0,-122306000.0,184477000.0,95521000.0,-122306000.0,184477000.0,161610000.0,157100000.0,157100000.0,-17057000.0,414621000.0,720000.0,,-46334000.0,-31740000.0,-334317000.0,,
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2010.0,Q3TTM,2009-10-01,2010-09-30,,-68330000.0,25812000.0,65290000.0,14029000.0,33976000.0,,7350000.0,-7535000.0,163732000.0,11589000.0,-99518000.0,212204000.0,11589000.0,-99518000.0,212204000.0,131625000.0,148674000.0,148674000.0,11277000.0,15181000.0,1531000.0,,-43750000.0,-32719000.0,-123574000.0,,
IDEX Corp,IEX,549300U5Y5EL6PHYLF13,832101,2010.0,Q3,2010-07-01,2010-09-30,,-17057000.0,6699000.0,21373000.0,3278000.0,8688000.0,,13750000.0,5149000.0,5630000.0,-2945000.0,-25530000.0,61641000.0,-2945000.0,-25530000.0,61641000.0,46916000.0,38564000.0,38564000.0,2541000.0,3718000.0,,,-12213000.0,-8473000.0,-80000.0,,
