company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 17:23:05+00:00,2.95,2.95,,,2.93,536900000.0,1086600000.0,1086600000.0,975700000.0,110900000.0,11034900000.0,12694000000.0,38400000.0,,,11034900000.0,1659100000.0,106900000.0,32900000.0,,1659100000.0,-74000000.0,1585100000.0,12694000000.0,330700000.0,330700000.0,333000000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:35:28+00:00,3.17,3.17,0.6,,3.14,542700000.0,1114400000.0,1114400000.0,1000300000.0,114100000.0,11670500000.0,13359900000.0,42000000.0,,,11670500000.0,1689400000.0,124600000.0,50300000.0,,1689400000.0,-74300000.0,1615100000.0,13359900000.0,313000000.0,313000000.0,313000000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2008.0,Q3,2008-07-01,2008-09-30,2009-10-26 17:17:26+00:00,0.68,0.68,0.15,,0.68,118200000.0,241300000.0,241300000.0,213600000.0,27700000.0,2942800000.0,3316200000.0,6800000.0,,,2942800000.0,373400000.0,35100000.0,14400000.0,,373400000.0,-20700000.0,352700000.0,3316200000.0,314100000.0,314100000.0,314100000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 16:06:39+00:00,0.96,0.96,0.15,,0.95,167200000.0,341900000.0,341900000.0,307000000.0,34900000.0,2960100000.0,3476900000.0,11000000.0,,,2960100000.0,516800000.0,31400000.0,12700000.0,,516800000.0,-18700000.0,498100000.0,3476900000.0,319800000.0,319800000.0,323200000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2009.0,Q4,2009-10-01,2009-12-31,,0.73,0.73,0.15,,0.72,124700000.0,256700000.0,256700000.0,229500000.0,27200000.0,2866200000.0,3265800000.0,10300000.0,,,2866200000.0,399600000.0,34200000.0,5700000.0,,399600000.0,-28500000.0,371100000.0,3265800000.0,308200000.0,308200000.0,308200000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2009.0,FY,2009-01-01,2009-12-31,2012-02-17 16:05:11+00:00,2.54,2.54,0.6,,2.53,433600000.0,871400000.0,871400000.0,793000000.0,78400000.0,10345800000.0,11720700000.0,30800000.0,,,10345800000.0,1374900000.0,122200000.0,21500000.0,,1374900000.0,-100700000.0,1274200000.0,11720700000.0,308200000.0,308200000.0,308200000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.83,1.83,0.49,,1.83,308900000.0,614700000.0,614700000.0,563500000.0,51200000.0,7479600000.0,8454900000.0,20500000.0,,,7479600000.0,975300000.0,88000000.0,15800000.0,,975300000.0,-72200000.0,903100000.0,8454900000.0,308600000.0,308600000.0,308600000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2009.0,Q3,2009-07-01,2009-09-30,2010-10-22 12:33:51+00:00,0.53,0.53,0.15,,0.53,90500000.0,182700000.0,182700000.0,165600000.0,17100000.0,2542800000.0,2837600000.0,7300000.0,,,2542800000.0,294800000.0,33800000.0,4900000.0,,294800000.0,-28900000.0,265900000.0,2837600000.0,308600000.0,308600000.0,308600000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.29,1.29,0.32,,1.29,218400000.0,432000000.0,432000000.0,397900000.0,34100000.0,4936800000.0,5617300000.0,13200000.0,,,4936800000.0,680500000.0,54200000.0,10900000.0,,680500000.0,-43300000.0,637200000.0,5617300000.0,308100000.0,308100000.0,308100000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2009.0,Q2,2009-04-01,2009-06-30,2010-07-26 17:26:54+00:00,0.75,0.75,0.15,,0.75,129700000.0,253800000.0,253800000.0,233400000.0,20400000.0,2472600000.0,2870700000.0,7300000.0,,,2472600000.0,398100000.0,27400000.0,5500000.0,,398100000.0,-21900000.0,376200000.0,2870700000.0,308100000.0,308100000.0,308100000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2009.0,Q1,2009-01-01,2009-03-31,2010-04-22 19:03:03+00:00,0.53,0.53,0.15,,0.53,88700000.0,178200000.0,178200000.0,164500000.0,13700000.0,2464200000.0,2746600000.0,5900000.0,,,2464200000.0,282400000.0,26800000.0,5400000.0,,282400000.0,-21400000.0,261000000.0,2746600000.0,310400000.0,310400000.0,310400000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2010.0,Q4,2010-10-01,2010-12-31,,0.83,0.83,0.2,,0.82,139400000.0,278400000.0,278400000.0,246400000.0,32000000.0,3147000000.0,3586700000.0,10300000.0,,,3147000000.0,439700000.0,38900000.0,6700000.0,,439700000.0,-32200000.0,407500000.0,3586700000.0,299600000.0,299600000.0,299600000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2010.0,FY,2010-01-01,2010-12-31,2013-02-19 16:45:58+00:00,2.74,2.74,0.8,,2.7,460200000.0,923700000.0,923700000.0,827700000.0,96000000.0,11082300000.0,12542500000.0,33500000.0,,,11082300000.0,1460200000.0,134700000.0,24900000.0,,1460200000.0,-109800000.0,1350400000.0,12542500000.0,299600000.0,299600000.0,299600000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.91,1.91,0.6,,1.88,320800000.0,645300000.0,645300000.0,581300000.0,64000000.0,7935300000.0,8955800000.0,23200000.0,,,7935300000.0,1020500000.0,95800000.0,18200000.0,,1020500000.0,-77600000.0,942900000.0,8955800000.0,299300000.0,299300000.0,299300000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2010.0,Q3TTM,2009-10-01,2010-09-30,,2.64,2.64,0.75,,2.6,445500000.0,902000000.0,902000000.0,810800000.0,91200000.0,10801500000.0,12221600000.0,33500000.0,,,10801500000.0,1420100000.0,130000000.0,23900000.0,,1420100000.0,-106100000.0,1314000000.0,12221600000.0,299300000.0,299300000.0,299300000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2010.0,Q3,2010-07-01,2010-09-30,2011-10-20 16:52:30+00:00,0.58,0.58,0.2,,0.57,96900000.0,195600000.0,195600000.0,174600000.0,21000000.0,2680500000.0,2994600000.0,8200000.0,,,2680500000.0,314100000.0,36100000.0,6300000.0,,314100000.0,-29800000.0,284300000.0,2994600000.0,299300000.0,299300000.0,299300000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2010.0,Q2,2010-04-01,2010-06-30,2011-07-21 17:26:24+00:00,0.8,0.8,0.2,,0.79,133200000.0,268800000.0,268800000.0,243300000.0,25500000.0,2625800000.0,3041200000.0,10300000.0,,,2625800000.0,415400000.0,29900000.0,6200000.0,,415400000.0,-23700000.0,391700000.0,3041200000.0,302300000.0,302300000.0,302300000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.33,1.33,0.4,,1.31,223900000.0,449700000.0,449700000.0,406700000.0,43000000.0,5254800000.0,5961200000.0,15000000.0,,,5254800000.0,706400000.0,59700000.0,11900000.0,,706400000.0,-47800000.0,658600000.0,5961200000.0,302300000.0,302300000.0,302300000.0
Omnicom Group Inc,OMC,HKUPACFHSSASQK8HLS17,29989,2010.0,Q2TTM,2009-07-01,2010-06-30,,2.59,2.59,0.7,,2.56,439100000.0,889100000.0,889100000.0,801800000.0,87300000.0,10663800000.0,12064600000.0,32600000.0,,,10663800000.0,1400800000.0,127700000.0,22500000.0,,1400800000.0,-105200000.0,1295600000.0,12064600000.0,302300000.0,302300000.0,302300000.0
