company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity
McKesson Corp,MCK,,927653,2008.0,FY,2007-04-01,2008-03-31,2010-05-04 16:25:08+00:00,-610000000.0,247000000.0,-66000000.0,146000000.0,124000000.0,,14000000.0,451000000.0,354000000.0,366000000.0,-1470000000.0,-5000000.0,870000000.0,-1000000.0,-1470000000.0,-5000000.0,869000000.0,-592000000.0,990000000.0,990000000.0,,-942000000.0,,961000000.0,-70000000.0,-356000000.0,-422000000.0,-1698000000.0
McKesson Corp,MCK,,927653,2009.0,Q3,2008-10-01,2008-12-31,,,,,,112000000.0,,-35000000.0,-272000000.0,14000000.0,70000000.0,-20000000.0,-79000000.0,186000000.0,,-20000000.0,-79000000.0,186000000.0,52000000.0,-20000000.0,-20000000.0,,366000000.0,,39000000.0,-33000000.0,-118000000.0,-71000000.0,
McKesson Corp,MCK,,927653,2009.0,Q3YTD,2008-04-01,2008-12-31,2010-01-26 16:42:35+00:00,-320000000.0,,,,330000000.0,,-40000000.0,-981000000.0,87000000.0,3602000000.0,-349000000.0,-532000000.0,734000000.0,,-349000000.0,-532000000.0,734000000.0,-187000000.0,542000000.0,542000000.0,,843000000.0,,76000000.0,-83000000.0,-288000000.0,-3604000000.0,-351000000.0
McKesson Corp,MCK,,927653,2009.0,Q2,2008-07-01,2008-09-30,,-78000000.0,,,,112000000.0,,-8000000.0,-333000000.0,38000000.0,2974000000.0,-199000000.0,-91000000.0,234000000.0,,-199000000.0,-91000000.0,234000000.0,-64000000.0,327000000.0,327000000.0,,128000000.0,,79000000.0,-33000000.0,-92000000.0,-2974000000.0,-204000000.0
McKesson Corp,MCK,,927653,2009.0,Q2YTD,2008-04-01,2008-09-30,2009-10-27 17:07:26+00:00,-320000000.0,,,,218000000.0,,-5000000.0,-709000000.0,73000000.0,3532000000.0,-329000000.0,-453000000.0,548000000.0,,-329000000.0,-453000000.0,548000000.0,-239000000.0,562000000.0,562000000.0,,477000000.0,,37000000.0,-50000000.0,-170000000.0,-3533000000.0,-351000000.0
McKesson Corp,MCK,,927653,2009.0,Q1,2008-04-01,2008-06-30,2009-07-28 16:45:15+00:00,-242000000.0,,,,106000000.0,,3000000.0,-376000000.0,35000000.0,558000000.0,-130000000.0,-362000000.0,314000000.0,,-130000000.0,-362000000.0,314000000.0,-175000000.0,235000000.0,235000000.0,,349000000.0,,-42000000.0,-17000000.0,-78000000.0,-559000000.0,-147000000.0
McKesson Corp,MCK,,927653,2010.0,Q4,2010-01-01,2010-03-31,,,326000000.0,234000000.0,188000000.0,-202000000.0,1000000.0,2000000.0,157000000.0,27000000.0,45000000.0,-184000000.0,-106000000.0,591000000.0,,-184000000.0,-106000000.0,591000000.0,303000000.0,348000000.0,348000000.0,,-38000000.0,,-179000000.0,-33000000.0,72000000.0,-222000000.0,-1000000.0
McKesson Corp,MCK,,927653,2010.0,FY,2009-04-01,2010-03-31,2012-05-02 16:33:22+00:00,-18000000.0,326000000.0,234000000.0,188000000.0,148000000.0,1000000.0,36000000.0,838000000.0,212000000.0,45000000.0,-421000000.0,-309000000.0,2316000000.0,,-421000000.0,-309000000.0,2316000000.0,1622000000.0,1263000000.0,1263000000.0,0.0,-259000000.0,,-93000000.0,-131000000.0,-199000000.0,-224000000.0,-323000000.0
McKesson Corp,MCK,,927653,2010.0,Q3YTD,2009-04-01,2009-12-31,2011-02-01 17:10:46+00:00,-18000000.0,,,,350000000.0,,34000000.0,681000000.0,185000000.0,,-237000000.0,-203000000.0,1725000000.0,,-237000000.0,-203000000.0,1725000000.0,1319000000.0,915000000.0,915000000.0,,-221000000.0,,86000000.0,-98000000.0,-271000000.0,-2000000.0,-322000000.0
McKesson Corp,MCK,,927653,2010.0,Q3,2009-10-01,2009-12-31,,-18000000.0,,,,126000000.0,,2000000.0,114000000.0,77000000.0,-13000000.0,30000000.0,-11000000.0,192000000.0,,30000000.0,-11000000.0,192000000.0,213000000.0,326000000.0,326000000.0,,-374000000.0,,89000000.0,-32000000.0,-82000000.0,-2000000.0,
