company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
McKesson Corp,MCK,,927653,2008.0,FY,2007-04-01,2008-03-31,2010-05-04 16:25:08+00:00,3.4,3.4,0.24,3.32,,468000000.0,990000000.0,989000000.0,1000000.0,990000000.0,,96694000000.0,101703000000.0,,121000000.0,886000000.0,-5000000.0,347000000.0,,2303000000.0,96694000000.0,5009000000.0,142000000.0,,3531000000.0,1478000000.0,-21000000.0,1457000000.0,101703000000.0,291200000.0,291000000.0,298000000.0
McKesson Corp,MCK,,927653,2009.0,FY,2008-04-01,2009-03-31,2010-05-04 16:25:08+00:00,2.99,2.99,0.48,2.95,,241000000.0,823000000.0,823000000.0,,823000000.0,,101254000000.0,106632000000.0,,12000000.0,943000000.0,493000000.0,364000000.0,,2382000000.0,101254000000.0,5378000000.0,144000000.0,,4182000000.0,1196000000.0,-132000000.0,1064000000.0,106632000000.0,275300000.0,275000000.0,279000000.0
McKesson Corp,MCK,,927653,2009.0,Q4,2009-01-01,2009-03-31,,1.87,1.02,0.12,1.02,,116000000.0,281000000.0,281000000.0,,281000000.0,,24759000000.0,26224000000.0,,-59000000.0,-882000000.0,,364000000.0,,1485000000.0,24759000000.0,1465000000.0,42000000.0,,967000000.0,498000000.0,-101000000.0,397000000.0,26224000000.0,275300000.0,275000000.0,279000000.0
McKesson Corp,MCK,,927653,2009.0,Q3YTD,2008-04-01,2008-12-31,,1.12,1.97,0.36,1.93,,125000000.0,542000000.0,542000000.0,,542000000.0,,76495000000.0,80408000000.0,,71000000.0,1825000000.0,493000000.0,,,897000000.0,76495000000.0,3913000000.0,102000000.0,,3215000000.0,698000000.0,-31000000.0,667000000.0,80408000000.0,285700000.0,274000000.0,274000000.0
McKesson Corp,MCK,,927653,2009.0,Q3,2008-10-01,2008-12-31,2010-01-26 16:42:35+00:00,-0.07,-0.07,0.12,-0.07,,-50000000.0,-20000000.0,-20000000.0,,-20000000.0,,25787000000.0,27130000000.0,,17000000.0,904000000.0,493000000.0,,,,25787000000.0,1343000000.0,33000000.0,,1397000000.0,-54000000.0,-16000000.0,-70000000.0,27130000000.0,285700000.0,274000000.0,274000000.0
McKesson Corp,MCK,,927653,2009.0,Q2YTD,2008-04-01,2008-09-30,,1.19,2.04,0.24,2.0,,175000000.0,562000000.0,562000000.0,,562000000.0,,50708000000.0,53278000000.0,,54000000.0,921000000.0,,,,897000000.0,50708000000.0,2570000000.0,69000000.0,,1818000000.0,752000000.0,-15000000.0,737000000.0,53278000000.0,274800000.0,275000000.0,280000000.0
McKesson Corp,MCK,,927653,2009.0,Q2,2008-07-01,2008-09-30,2009-10-27 17:07:26+00:00,1.19,1.19,0.12,1.17,,52000000.0,327000000.0,327000000.0,,327000000.0,,25272000000.0,26574000000.0,,33000000.0,921000000.0,0.0,,,,25272000000.0,1302000000.0,35000000.0,,921000000.0,381000000.0,-2000000.0,379000000.0,26574000000.0,274800000.0,275000000.0,280000000.0
McKesson Corp,MCK,,927653,2009.0,Q1,2008-04-01,2008-06-30,2009-07-28 16:45:15+00:00,,0.85,0.12,0.83,,123000000.0,235000000.0,235000000.0,,235000000.0,,25436000000.0,26704000000.0,,21000000.0,,,,,897000000.0,25436000000.0,1268000000.0,34000000.0,,897000000.0,371000000.0,-13000000.0,358000000.0,26704000000.0,,277000000.0,282000000.0
McKesson Corp,MCK,,927653,2010.0,Q4,2010-01-01,2010-03-31,,2.36,1.29,0.12,1.26,,184000000.0,348000000.0,348000000.0,,348000000.0,,25060000000.0,26643000000.0,,4000000.0,-1796000000.0,,376000000.0,,2430000000.0,25060000000.0,1583000000.0,45000000.0,,1010000000.0,573000000.0,-41000000.0,532000000.0,26643000000.0,268700000.0,269000000.0,273000000.0
McKesson Corp,MCK,,927653,2010.0,FY,2009-04-01,2010-03-31,2012-05-02 16:33:22+00:00,4.7,4.7,0.48,4.62,,601000000.0,1263000000.0,1263000000.0,0.0,1263000000.0,,103026000000.0,108702000000.0,,43000000.0,882000000.0,-20000000.0,376000000.0,,2430000000.0,103026000000.0,5676000000.0,187000000.0,,3668000000.0,2008000000.0,-144000000.0,1864000000.0,108702000000.0,268700000.0,269000000.0,273000000.0
McKesson Corp,MCK,,927653,2010.0,Q3,2009-10-01,2009-12-31,2010-01-26 16:42:35+00:00,1.21,1.21,0.12,1.19,,161000000.0,326000000.0,326000000.0,,326000000.0,,26817000000.0,28272000000.0,,25000000.0,946000000.0,0.0,,,,26817000000.0,1455000000.0,47000000.0,,946000000.0,509000000.0,-22000000.0,487000000.0,28272000000.0,269400000.0,269000000.0,274000000.0
McKesson Corp,MCK,,927653,2010.0,Q3YTD,2009-04-01,2009-12-31,,2.34,3.41,0.36,3.36,,417000000.0,915000000.0,915000000.0,,915000000.0,,77966000000.0,82059000000.0,,39000000.0,2678000000.0,-20000000.0,,,,77966000000.0,4093000000.0,142000000.0,,2658000000.0,1435000000.0,-103000000.0,1332000000.0,82059000000.0,269400000.0,269000000.0,274000000.0
McKesson Corp,MCK,,927653,2010.0,Q3TTM,2009-01-01,2009-12-31,,4.21,4.43,0.48,4.38,,533000000.0,1196000000.0,1196000000.0,,1196000000.0,,102725000000.0,108283000000.0,,-20000000.0,1796000000.0,-20000000.0,364000000.0,,1485000000.0,102725000000.0,5558000000.0,184000000.0,,3625000000.0,1933000000.0,-204000000.0,1729000000.0,108283000000.0,269400000.0,269000000.0,274000000.0
McKesson Corp,MCK,,927653,2010.0,Q2,2009-07-01,2009-09-30,2009-10-27 17:07:26+00:00,1.13,1.13,0.12,1.11,,123000000.0,301000000.0,301000000.0,,301000000.0,,25795000000.0,27130000000.0,,4000000.0,888000000.0,-20000000.0,,,,25795000000.0,1335000000.0,47000000.0,,868000000.0,467000000.0,-43000000.0,424000000.0,27130000000.0,266400000.0,267000000.0,271000000.0
McKesson Corp,MCK,,927653,2010.0,Q2YTD,2009-04-01,2009-09-30,,1.13,2.2,0.24,2.17,,256000000.0,589000000.0,589000000.0,,589000000.0,,51149000000.0,53787000000.0,,14000000.0,1732000000.0,-20000000.0,,,,51149000000.0,2638000000.0,95000000.0,,1712000000.0,926000000.0,-81000000.0,845000000.0,53787000000.0,266400000.0,267000000.0,271000000.0
McKesson Corp,MCK,,927653,2010.0,Q2TTM,2008-10-01,2009-09-30,,2.93,3.15,0.48,3.12,,322000000.0,850000000.0,850000000.0,,850000000.0,,101695000000.0,107141000000.0,,-28000000.0,1754000000.0,473000000.0,364000000.0,,1485000000.0,101695000000.0,5446000000.0,170000000.0,,4076000000.0,1370000000.0,-198000000.0,1172000000.0,107141000000.0,266400000.0,267000000.0,271000000.0
McKesson Corp,MCK,,927653,2010.0,Q1,2009-04-01,2009-06-30,2009-07-28 16:45:15+00:00,,1.07,0.12,1.06,,133000000.0,288000000.0,288000000.0,,288000000.0,,25354000000.0,26657000000.0,,10000000.0,844000000.0,,,,,25354000000.0,1303000000.0,48000000.0,,844000000.0,459000000.0,-38000000.0,421000000.0,26657000000.0,,270000000.0,272000000.0
McKesson Corp,MCK,,927653,2010.0,Q1TTM,2008-07-01,2009-06-30,,2.99,3.21,0.48,3.18,,251000000.0,876000000.0,876000000.0,,876000000.0,,101172000000.0,106585000000.0,,1000000.0,1787000000.0,493000000.0,364000000.0,,1485000000.0,101172000000.0,5413000000.0,158000000.0,,4129000000.0,1284000000.0,-157000000.0,1127000000.0,106585000000.0,,270000000.0,272000000.0
McKesson Corp,MCK,,927653,2011.0,FY,2010-04-01,2011-03-31,2012-05-02 16:33:22+00:00,4.65,4.65,0.72,4.57,,505000000.0,1202000000.0,1130000000.0,72000000.0,1202000000.0,,106114000000.0,112084000000.0,,36000000.0,920000000.0,213000000.0,407000000.0,,2609000000.0,106114000000.0,5970000000.0,222000000.0,,4149000000.0,1821000000.0,-186000000.0,1635000000.0,112084000000.0,258500000.0,258000000.0,263000000.0
McKesson Corp,MCK,,927653,2011.0,Q4,2011-01-01,2011-03-31,,1.65,1.65,0.18,1.62,,136000000.0,422000000.0,422000000.0,72000000.0,422000000.0,,27102000000.0,28853000000.0,-72000000.0,17000000.0,-1112000000.0,-776000000.0,407000000.0,,2609000000.0,27102000000.0,1751000000.0,82000000.0,,1128000000.0,623000000.0,-65000000.0,558000000.0,28853000000.0,258500000.0,258000000.0,263000000.0
