company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:28:28+00:00,,81934000.0,35495000.0,202288000.0,83482000.0,1584600000.0,-315426000.0,-202304000.0,505146000.0,-315426000.0,-202304000.0,505146000.0,-12584000.0,200593000.0,200593000.0,18783000.0,21786000.0,2302000.0,-50144000.0,-303241000.0,-1871668000.0,,6275000.0,92360000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2009.0,Q4,2009-10-01,2009-12-31,,,9576000.0,1077000.0,47490000.0,25283000.0,261259000.0,-70555000.0,-35076000.0,108763000.0,-70555000.0,-35076000.0,108763000.0,3132000.0,41665000.0,41665000.0,-5675000.0,3376000.0,-251000.0,-13990000.0,-71416000.0,-321200000.0,,5641000.0,30950000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 17:05:26+00:00,,58223000.0,27995000.0,189045000.0,6736000.0,1256644000.0,-107502000.0,-243951000.0,356923000.0,-107502000.0,-243951000.0,356923000.0,5470000.0,136435000.0,136435000.0,24707000.0,15346000.0,-9824000.0,-55692000.0,-353156000.0,-1323800000.0,,7646000.0,111383000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2009.0,Q3,2009-07-01,2009-09-30,,,1012000.0,11999000.0,47098000.0,2994000.0,335298000.0,-31111000.0,-65270000.0,97522000.0,-31111000.0,-65270000.0,97522000.0,1141000.0,39963000.0,39963000.0,7467000.0,1151000.0,75000.0,-13960000.0,-96773000.0,-353600000.0,,1270000.0,30158000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-29 14:57:44+00:00,,48647000.0,26918000.0,141555000.0,-18547000.0,995385000.0,-36947000.0,-208875000.0,248160000.0,-36947000.0,-208875000.0,248160000.0,2338000.0,94770000.0,94770000.0,30382000.0,11970000.0,-9573000.0,-41702000.0,-281740000.0,-1002600000.0,,2005000.0,80433000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-30 15:17:01+00:00,,47635000.0,14919000.0,94457000.0,-21541000.0,660087000.0,-5836000.0,-143605000.0,150638000.0,-5836000.0,-143605000.0,150638000.0,1197000.0,54807000.0,54807000.0,22915000.0,10819000.0,-9648000.0,-27742000.0,-184967000.0,-649000000.0,,735000.0,50275000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,Q4,2010-10-01,2010-12-31,,,20630000.0,360000.0,50094000.0,-18048000.0,7610000.0,-78143000.0,-80607000.0,97841000.0,-78143000.0,-80607000.0,97841000.0,-60909000.0,57853000.0,57853000.0,7942000.0,4740000.0,-35000.0,-14805000.0,-87293000.0,-46000.0,-75642000.0,,6721000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 16:52:50+00:00,,88717000.0,25548000.0,197062000.0,11546000.0,1308012000.0,-202254000.0,-226016000.0,428078000.0,-202254000.0,-226016000.0,428078000.0,-192000.0,199617000.0,199617000.0,19853000.0,18956000.0,-84000.0,-59910000.0,-262449000.0,-1218420000.0,-250892000.0,,36517000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,Q3TTM,2009-10-01,2010-09-30,,,77663000.0,26265000.0,194458000.0,54877000.0,1561661000.0,-194666000.0,-180485000.0,439000000.0,-194666000.0,-180485000.0,439000000.0,63849000.0,183429000.0,183429000.0,6236000.0,17592000.0,-300000.0,-59095000.0,-246572000.0,-1539574000.0,-175250000.0,5641000.0,60746000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,Q3,2010-07-01,2010-09-30,,,29267000.0,12096000.0,49808000.0,15452000.0,588102000.0,-19149000.0,-41412000.0,121407000.0,-19149000.0,-41412000.0,121407000.0,60846000.0,52170000.0,52170000.0,3977000.0,6888000.0,3000.0,-14852000.0,-44388000.0,-555845000.0,-43442000.0,,2973000.0
