company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:28:28+00:00,1.6,1.6,0.4,202288000.0,1.56,121643000.0,60772000.0,200593000.0,200593000.0,200593000.0,3069102000.0,3731943000.0,,41363000.0,3069102000.0,662841000.0,35337000.0,-845000.0,304423000.0,358418000.0,-36182000.0,322236000.0,3731943000.0,125400000.0,125416000.0,128533000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 17:05:26+00:00,1.08,1.08,0.44,189045000.0,1.05,87633000.0,50797000.0,136435000.0,136435000.0,136435000.0,2668101000.0,3203321000.0,,47407000.0,2668101000.0,535220000.0,27429000.0,3526000.0,287249000.0,247971000.0,-23903000.0,224068000.0,3203321000.0,126300000.0,126676000.0,129462000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2009.0,Q3,2009-07-01,2009-09-30,2010-10-29 14:57:44+00:00,0.31,0.31,0.11,47098000.0,0.31,24912000.0,12316000.0,39963000.0,39963000.0,39963000.0,693149000.0,833749000.0,,10232000.0,693149000.0,140600000.0,6308000.0,229000.0,69646000.0,70954000.0,-6079000.0,64875000.0,833749000.0,128900000.0,127073000.0,129819000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2009.0,Q2,2009-04-01,2009-06-30,2010-07-30 15:17:01+00:00,0.19,0.19,0.11,47094000.0,0.19,15314000.0,13858000.0,24049000.0,24049000.0,24049000.0,642340000.0,769784000.0,,19401000.0,642340000.0,127444000.0,7505000.0,-223000.0,80353000.0,47091000.0,-7728000.0,39363000.0,769784000.0,126600000.0,126346000.0,129364000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,Q4,2010-10-01,2010-12-31,,0.48,0.48,0.12,50094000.0,0.46,31331000.0,13537000.0,57853000.0,57853000.0,57853000.0,850646000.0,1020087000.0,,8387000.0,850646000.0,169441000.0,8239000.0,,72018000.0,97348000.0,-8239000.0,89184000.0,1020087000.0,124800000.0,124712000.0,127767000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 16:52:50+00:00,1.6,1.6,0.48,197062000.0,1.56,120077000.0,48280000.0,199617000.0,199617000.0,199617000.0,3163501000.0,3793560000.0,,37017000.0,3163501000.0,630059000.0,28006000.0,,282359000.0,347625000.0,-28006000.0,319694000.0,3793560000.0,124800000.0,124712000.0,127767000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.12,1.12,0.36,146968000.0,1.1,88746000.0,34743000.0,141764000.0,141764000.0,141764000.0,2312855000.0,2773473000.0,,28630000.0,2312855000.0,460618000.0,19767000.0,,210341000.0,250277000.0,-19767000.0,230510000.0,2773473000.0,124200000.0,123390000.0,126404000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,Q3,2010-07-01,2010-09-30,2011-10-28 14:01:58+00:00,0.42,0.42,0.12,49808000.0,0.41,32659000.0,11543000.0,52169000.0,52169000.0,52169000.0,820036000.0,986024000.0,,13147000.0,820036000.0,165988000.0,6662000.0,,74498000.0,91490000.0,-6662000.0,84828000.0,986024000.0,124200000.0,123390000.0,126404000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.7,0.7,0.24,97160000.0,0.69,56087000.0,23200000.0,89595000.0,89595000.0,89595000.0,1492819000.0,1787449000.0,,15483000.0,1492819000.0,294630000.0,13105000.0,,135843000.0,158787000.0,-13105000.0,145682000.0,1787449000.0,127100000.0,125686000.0,128920000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,Q2,2010-04-01,2010-06-30,2011-07-29 16:46:18+00:00,0.41,0.41,0.12,49148000.0,0.4,32623000.0,11649000.0,52113000.0,52113000.0,52113000.0,781808000.0,942776000.0,,8824000.0,781808000.0,160968000.0,6611000.0,,69621000.0,91347000.0,-6611000.0,84736000.0,942776000.0,127100000.0,125686000.0,128920000.0
