company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2009.0,FY,,2009-12-31,2011-02-25 16:28:28+00:00,191347000.0,310339000.0,32715000.0,748276000.0,7843000.0,,177680000.0,,10505000.0,34651000.0,,2192947000.0,,565000000.0,17273000.0,1444671000.0,343262000.0,8439000.0,,19778000.0,35581000.0,48571000.0,1423820000.0,,1856914000.0,643853000.0,392465000.0,269218000.0,643853000.0,643853000.0,1213061000.0,1856914000.0,19778000.0,943843000.0,,-957647000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,FY,,2010-12-31,2012-02-24 17:05:26+00:00,192103000.0,351187000.0,51832000.0,858852000.0,7651000.0,0.0,182657000.0,,8865000.0,57149000.0,,2338336000.0,,454207000.0,17336000.0,1479484000.0,385003000.0,32147000.0,,19531000.0,39480000.0,54324000.0,1563527000.0,200000000.0,1961660000.0,573021000.0,462645000.0,509949000.0,573021000.0,573021000.0,1388639000.0,1961660000.0,19531000.0,878690000.0,0.0,-1173163000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,Q3,,2010-09-30,2010-10-29 14:57:44+00:00,218703000.0,371120000.0,45595000.0,827055000.0,68560000.0,,,,11108000.0,49810000.0,,2277087000.0,,449164000.0,,1450032000.0,346056000.0,,,19712000.0,635573000.0,46585000.0,,200000000.0,1956009000.0,,486265000.0,525216000.0,,,1956009000.0,1956009000.0,19712000.0,1430793000.0,,
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2010.0,Q2,,2010-06-30,2010-07-30 15:17:01+00:00,196730000.0,363669000.0,67059000.0,784820000.0,7714000.0,,,,11116000.0,52942000.0,,2242480000.0,,417100000.0,,1457660000.0,346870000.0,,,19710000.0,609124000.0,52188000.0,,200000000.0,1900941000.0,,423571000.0,527847000.0,,,1900941000.0,1900941000.0,19710000.0,1373094000.0,,
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2011.0,FY,,2011-12-31,2013-02-22 16:52:50+00:00,251625000.0,411479000.0,59783000.0,931273000.0,5450000.0,0.0,194141000.0,5136000.0,,77107000.0,,2658143000.0,,699177000.0,20932000.0,1726870000.0,516715000.0,24161000.0,,26920000.0,45382000.0,46384000.0,1758290000.0,50000000.0,2267332000.0,567543000.0,513542000.0,438515000.0,567543000.0,567543000.0,1699789000.0,2267332000.0,26920000.0,1261274000.0,0.0,-1384888000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2011.0,Q3,,2011-09-30,2011-10-28 14:01:58+00:00,275673000.0,424634000.0,70824000.0,911285000.0,7747000.0,,,,22362000.0,68356000.0,,2567669000.0,,718034000.0,,1656384000.0,413483000.0,,,28882000.0,543924000.0,45009000.0,,50000000.0,2162656000.0,,477390000.0,487215000.0,,,2162656000.0,2162656000.0,28882000.0,1675441000.0,,
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2011.0,Q2,,2011-06-30,2011-07-29 16:46:18+00:00,270961000.0,440755000.0,71711000.0,886619000.0,11149000.0,,,,22362000.0,66100000.0,,2479869000.0,,649292000.0,,1593250000.0,384554000.0,,,19460000.0,640881000.0,56247000.0,,15000000.0,2120861000.0,,508151000.0,446134000.0,,,2120861000.0,2120861000.0,19460000.0,1674727000.0,,
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2011.0,Q1,,2011-03-31,2011-04-29 13:36:57+00:00,249730000.0,402922000.0,62739000.0,857434000.0,5393000.0,,,,15577000.0,47931000.0,,2402559000.0,,649249000.0,,1545125000.0,366457000.0,,,19680000.0,599689000.0,67252000.0,,49000000.0,2040372000.0,,475567000.0,424977000.0,,,2040372000.0,2040372000.0,19680000.0,1615395000.0,,
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2012.0,FY,,2012-12-31,2014-02-21 17:11:04+00:00,266722000.0,466011000.0,64641000.0,1019232000.0,5589000.0,0.0,208744000.0,,750000.0,70647000.0,,2904706000.0,,585347000.0,23065000.0,1885474000.0,531624000.0,9761000.0,,24635000.0,53050000.0,50106000.0,1985213000.0,100000000.0,2464641000.0,791860000.0,554532000.0,502760000.0,791860000.0,791860000.0,1672781000.0,2464641000.0,24635000.0,1170021000.0,0.0,-1402097000.0
J B Hunt Transport Services Inc,JBHT,549300XCD1MPI1C5GK90,728535,2012.0,Q3,,2012-09-30,2012-10-26 14:27:39+00:00,328757000.0,504252000.0,61603000.0,1013932000.0,5659000.0,,,,,58315000.0,,2862385000.0,,544904000.0,,1848453000.0,516724000.0,,,26632000.0,828039000.0,53346000.0,,100000000.0,2438342000.0,,563257000.0,548675000.0,,,2438342000.0,2438342000.0,26632000.0,1889667000.0,,
