company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncurrentdeferredtaxliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Lamb Weston Holdings Inc,LW,,1679273,2016.0,FY,,2016-05-29,2017-07-25 15:35:50+00:00,238000000.0,186500000.0,133200000.0,-9200000.0,36400000.0,0.0,,133900000.0,39600000.0,104600000.0,155200000.0,498900000.0,1043100000.0,144000000.0,1409800000.0,6500000.0,52100000.0,58200000.0,47400000.0,,38400000.0,2158300000.0,1400600000.0,780000000.0,409600000.0,1400600000.0,1400600000.0,710300000.0,2158300000.0,335200000.0,300700000.0,
Lamb Weston Holdings Inc,LW,,1679273,2017.0,FY,,2017-05-28,2018-07-25 17:59:46+00:00,295000000.0,185200000.0,200500000.0,-9300000.0,57100000.0,0.0,-758700000.0,133000000.0,37200000.0,2365000000.0,178600000.0,525000000.0,1271200000.0,90500000.0,,7400000.0,71200000.0,90900000.0,50700000.0,121000000.0,59900000.0,2485600000.0,-647200000.0,858200000.0,555400000.0,-647200000.0,-647200000.0,3082100000.0,2485600000.0,356200000.0,2526700000.0,-200000.0
Lamb Weston Holdings Inc,LW,,1679273,2017.0,Q3,,2017-02-26,2017-04-06 13:01:04+00:00,271900000.0,218100000.0,163000000.0,-19400000.0,37500000.0,0.0,-754200000.0,132700000.0,37700000.0,2372700000.0,155600000.0,572400000.0,1185600000.0,61600000.0,,8500000.0,73600000.0,84100000.0,50700000.0,72100000.0,140300000.0,2432200000.0,-701600000.0,912100000.0,575200000.0,-701600000.0,-701600000.0,3083100000.0,2432200000.0,334500000.0,2507900000.0,-100000.0
Lamb Weston Holdings Inc,LW,,1679273,2018.0,FY,,2018-05-27,2019-07-25 13:44:43+00:00,254400000.0,225900000.0,216000000.0,-4300000.0,55600000.0,0.0,-754000000.0,135100000.0,35400000.0,2336700000.0,219800000.0,549700000.0,1420800000.0,92100000.0,,11100000.0,84300000.0,99200000.0,55600000.0,426400000.0,48300000.0,2752600000.0,-334800000.0,930400000.0,518700000.0,-334800000.0,-334800000.0,3031800000.0,2752600000.0,401400000.0,2513100000.0,-2900000.0
Lamb Weston Holdings Inc,LW,,1679273,2018.0,Q3,,2018-02-25,2018-04-05 13:57:11+00:00,292400000.0,236600000.0,216000000.0,13400000.0,49400000.0,0.0,-757800000.0,135700000.0,35900000.0,2344400000.0,217400000.0,630500000.0,1356800000.0,80400000.0,,9900000.0,87400000.0,81700000.0,54600000.0,354500000.0,70900000.0,2753900000.0,-392200000.0,998200000.0,579300000.0,-392200000.0,-392200000.0,3091500000.0,2753900000.0,398900000.0,2512200000.0,-2300000.0
Lamb Weston Holdings Inc,LW,,1679273,2018.0,Q2,,2017-11-26,2018-01-04 12:50:09+00:00,342700000.0,224400000.0,176300000.0,5400000.0,71100000.0,0.0,-760400000.0,134400000.0,36300000.0,2353200000.0,198600000.0,662900000.0,1331500000.0,115800000.0,,9800000.0,74300000.0,45900000.0,56500000.0,225800000.0,127500000.0,2714900000.0,-531400000.0,1004300000.0,646500000.0,-531400000.0,-531400000.0,3189800000.0,2714900000.0,379100000.0,2543300000.0,-2200000.0
Lamb Weston Holdings Inc,LW,,1679273,2018.0,Q1,,2017-08-27,2017-10-04 15:36:18+00:00,261600000.0,213700000.0,183900000.0,5900000.0,69800000.0,0.0,-756400000.0,134100000.0,36800000.0,2360100000.0,196000000.0,494400000.0,1309500000.0,102000000.0,,13000000.0,70400000.0,60500000.0,54100000.0,176900000.0,71400000.0,2527800000.0,-575700000.0,838400000.0,516900000.0,-575700000.0,-575700000.0,3049400000.0,2527800000.0,379900000.0,2532500000.0,-2100000.0
Lamb Weston Holdings Inc,LW,,1679273,2019.0,FY,,2019-05-26,2020-04-01 13:58:19+00:00,289200000.0,340100000.0,217200000.0,-25300000.0,12200000.0,0.0,-743600000.0,205900000.0,37600000.0,2280200000.0,224600000.0,498300000.0,1597800000.0,125700000.0,,20700000.0,94000000.0,110900000.0,,803600000.0,46400000.0,3048100000.0,-4600000.0,961500000.0,552800000.0,-4600000.0,-4600000.0,3052700000.0,3048100000.0,488800000.0,2499900000.0,-39300000.0
Lamb Weston Holdings Inc,LW,,1679273,2019.0,Q3,,2019-02-24,2019-04-02 13:38:18+00:00,308800000.0,359300000.0,221700000.0,-13300000.0,17200000.0,0.0,-750200000.0,208800000.0,38300000.0,2288600000.0,222800000.0,588200000.0,1557000000.0,126600000.0,,16300000.0,85600000.0,103300000.0,,722500000.0,136100000.0,3111200000.0,-56200000.0,1068000000.0,666600000.0,-56200000.0,-56200000.0,3167400000.0,3111200000.0,486200000.0,2500800000.0,-15200000.0
Lamb Weston Holdings Inc,LW,,1679273,2019.0,Q2,,2018-11-25,2019-01-04 14:26:04+00:00,376200000.0,340100000.0,268000000.0,-15900000.0,121600000.0,0.0,-754300000.0,132600000.0,34400000.0,2321800000.0,218200000.0,628200000.0,1521400000.0,114800000.0,,11300000.0,86200000.0,44700000.0,,610400000.0,52600000.0,3052500000.0,-167100000.0,1134600000.0,696800000.0,-167100000.0,-167100000.0,3219600000.0,3052500000.0,396500000.0,2522800000.0,-7300000.0
