company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Lamb Weston Holdings Inc,LW,,1679273,2015.0,FY,2014-05-26,2015-05-31,2017-07-25 15:35:50+00:00,1.83,1.83,,1.83,140400000.0,277600000.0,277600000.0,268300000.0,9300000.0,2337700000.0,2925000000.0,42700000.0,205900000.0,2337700000.0,587300000.0,,-6100000.0,205900000.0,381400000.0,-6100000.0,375300000.0,2925000000.0,146000000.0,146000000.0,146000000.0
Lamb Weston Holdings Inc,LW,,1679273,2016.0,FY,2015-06-01,2016-05-29,2017-07-25 15:35:50+00:00,1.92,1.92,,1.92,144500000.0,294600000.0,294600000.0,285300000.0,9300000.0,2326400000.0,2993800000.0,71700000.0,294100000.0,2326400000.0,667400000.0,,-5900000.0,294100000.0,373300000.0,-5900000.0,367400000.0,2993800000.0,146000000.0,146000000.0,146000000.0
Lamb Weston Holdings Inc,LW,,1679273,2016.0,Q3,2015-11-30,2016-02-28,2017-04-06 13:01:04+00:00,0.71,0.71,,0.71,53200000.0,108700000.0,108700000.0,107400000.0,1300000.0,546800000.0,728700000.0,36100000.0,54600000.0,546800000.0,181900000.0,,-1500000.0,54600000.0,127300000.0,-1500000.0,125800000.0,728700000.0,146000000.0,146000000.0,146000000.0
Lamb Weston Holdings Inc,LW,,1679273,2016.0,Q2,2015-08-31,2015-11-29,2017-01-10 13:36:02+00:00,0.5,0.5,,0.5,38700000.0,77000000.0,77000000.0,73300000.0,3700000.0,578500000.0,740300000.0,7700000.0,52300000.0,578500000.0,161800000.0,1500000.0,,52300000.0,109500000.0,-1500000.0,108000000.0,740300000.0,146000000.0,146000000.0,146000000.0
Lamb Weston Holdings Inc,LW,,1679273,2017.0,FY,2016-05-30,2017-05-28,2019-07-25 13:44:43+00:00,2.22,2.22,0.375,2.22,170200000.0,340200000.0,340200000.0,326900000.0,13300000.0,2389200000.0,3168000000.0,53300000.0,260500000.0,2389200000.0,778800000.0,,-61200000.0,260500000.0,518300000.0,-61200000.0,457100000.0,3168000000.0,147300000.0,147300000.0,147300000.0
Lamb Weston Holdings Inc,LW,,1679273,2017.0,Q4,2017-02-27,2017-05-28,,0.52,0.52,,0.52,41300000.0,78500000.0,78500000.0,75900000.0,2600000.0,640200000.0,832500000.0,23800000.0,69700000.0,640200000.0,192300000.0,-6800000.0,-33400000.0,69700000.0,122600000.0,-26600000.0,96000000.0,832500000.0,147300000.0,147300000.0,147300000.0
Lamb Weston Holdings Inc,LW,,1679273,2017.0,Q3YTD,2016-05-30,2017-02-26,,1.7,1.7,,1.7,128900000.0,261700000.0,261700000.0,251000000.0,10700000.0,1749000000.0,2335500000.0,29500000.0,190800000.0,1749000000.0,586500000.0,6800000.0,-27800000.0,190800000.0,395700000.0,-34600000.0,361100000.0,2335500000.0,146100000.0,146100000.0,146100000.0
Lamb Weston Holdings Inc,LW,,1679273,2017.0,Q3,2016-11-28,2017-02-26,2017-04-06 13:01:04+00:00,0.57,0.57,,0.57,44000000.0,87600000.0,87600000.0,84200000.0,3400000.0,561500000.0,768500000.0,12700000.0,61800000.0,561500000.0,207000000.0,,-26300000.0,61800000.0,145200000.0,-26300000.0,118900000.0,768500000.0,146100000.0,146100000.0,146100000.0
Lamb Weston Holdings Inc,LW,,1679273,2017.0,Q2YTD,2016-05-30,2016-11-27,,1.13,1.13,,1.13,84900000.0,174100000.0,174100000.0,166800000.0,7300000.0,1187500000.0,1567000000.0,16800000.0,129000000.0,1187500000.0,379500000.0,6800000.0,-1500000.0,129000000.0,250500000.0,-8300000.0,242200000.0,1567000000.0,146000000.0,146000000.0,146000000.0
Lamb Weston Holdings Inc,LW,,1679273,2017.0,Q2,2016-08-29,2016-11-27,2017-01-10 13:36:02+00:00,0.59,0.59,,0.59,33900000.0,91000000.0,91000000.0,87200000.0,3800000.0,591800000.0,790700000.0,6200000.0,73400000.0,591800000.0,198900000.0,6800000.0,,73400000.0,125500000.0,-6800000.0,118700000.0,790700000.0,146000000.0,146000000.0,146000000.0
