company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netrealizedcapitalgains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,premiumsearned,propertyliabilityinsuranceclaims,restructuringcharge,servicechargesondepositsincome,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Loews Corp,L,R8V1FN4M5ITGZOG7BS19,60086,2007.0,FY,2007-01-01,2007-12-31,2010-02-24 14:21:07+00:00,1520000000.0,3.66,3.66,,3.65,0.0,995000000.0,319000000.0,3100000000.0,2199000000.0,901000000.0,2488000000.0,612000000.0,-319000000.0,2650000000.0,2506000000.0,3260000000.0,1664000000.0,7482000000.0,6009000000.0,,,319000000.0,10789000000.0,14302000000.0,3194000000.0,13983000000.0,679800000.0,679800000.0,681600000.0
Loews Corp,L,R8V1FN4M5ITGZOG7BS19,60086,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 13:45:57+00:00,1467000000.0,9.05,9.05,0.25,9.05,1173000000.0,7000000.0,345000000.0,5293000000.0,580000000.0,4713000000.0,4530000000.0,763000000.0,-345000000.0,287000000.0,3476000000.0,3952000000.0,2334000000.0,7150000000.0,5723000000.0,,,345000000.0,12315000000.0,13247000000.0,587000000.0,12902000000.0,477230000.0,477230000.0,477230000.0
Loews Corp,L,R8V1FN4M5ITGZOG7BS19,60086,2008.0,Q3,2008-07-01,2008-09-30,2009-11-02 12:32:28+00:00,355000000.0,-0.31,-0.31,,-0.31,0.0,-56000000.0,82000000.0,22000000.0,15000000.0,7000000.0,-137000000.0,159000000.0,-82000000.0,-295000000.0,882000000.0,1055000000.0,584000000.0,1799000000.0,1519000000.0,,,82000000.0,2929000000.0,2970000000.0,-41000000.0,2888000000.0,441900000.0,441900000.0,441900000.0
Loews Corp,L,R8V1FN4M5ITGZOG7BS19,60086,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 15:36:39+00:00,360000000.0,9.56,9.56,,9.54,0.0,340000000.0,88000000.0,5219000000.0,767000000.0,4452000000.0,4963000000.0,256000000.0,-88000000.0,588000000.0,937000000.0,895000000.0,623000000.0,1774000000.0,1472000000.0,0.0,,88000000.0,2727000000.0,3922000000.0,1107000000.0,3834000000.0,519100000.0,508160000.0,509430000.0
Loews Corp,L,R8V1FN4M5ITGZOG7BS19,60086,2009.0,Q4,2009-10-01,2009-12-31,,354000000.0,0.92,0.92,0.19,0.93,,277000000.0,127000000.0,606000000.0,606000000.0,,403000000.0,203000000.0,-127000000.0,666000000.0,873000000.0,1087000000.0,597000000.0,1686000000.0,1371000000.0,,,127000000.0,2812000000.0,3822000000.0,883000000.0,3695000000.0,433800000.0,432810000.0,433450000.0
Loews Corp,L,R8V1FN4M5ITGZOG7BS19,60086,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 16:47:11+00:00,1417000000.0,1.3,1.3,0.25,1.3,1036000000.0,345000000.0,448000000.0,1383000000.0,1385000000.0,-2000000.0,564000000.0,819000000.0,-448000000.0,1646000000.0,3537000000.0,4196000000.0,2213000000.0,6721000000.0,5290000000.0,,,448000000.0,11939000000.0,14117000000.0,1730000000.0,13669000000.0,433800000.0,432810000.0,433450000.0
Loews Corp,L,R8V1FN4M5ITGZOG7BS19,60086,2009.0,Q3YTD,2009-01-01,2009-09-30,,1063000000.0,0.38,0.38,0.06,0.37,1036000000.0,68000000.0,321000000.0,777000000.0,779000000.0,-2000000.0,161000000.0,616000000.0,-321000000.0,980000000.0,2664000000.0,3109000000.0,1616000000.0,5035000000.0,3919000000.0,,,321000000.0,9127000000.0,10295000000.0,847000000.0,9974000000.0,433300000.0,433300000.0,433300000.0
Loews Corp,L,R8V1FN4M5ITGZOG7BS19,60086,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 09:36:42+00:00,365000000.0,1.08,1.08,0.0625,1.08,,266000000.0,117000000.0,691000000.0,692000000.0,1000000.0,468000000.0,223000000.0,-117000000.0,626000000.0,885000000.0,1016000000.0,520000000.0,1707000000.0,1282000000.0,,,117000000.0,2663000000.0,3738000000.0,958000000.0,3621000000.0,433300000.0,432750000.0,433480000.0
Loews Corp,L,R8V1FN4M5ITGZOG7BS19,60086,2009.0,Q2YTD,2009-01-01,2009-06-30,,698000000.0,-0.7,-0.7,0.06,-0.71,1036000000.0,-198000000.0,204000000.0,86000000.0,87000000.0,-1000000.0,-307000000.0,393000000.0,-204000000.0,354000000.0,1779000000.0,2093000000.0,1096000000.0,3328000000.0,2637000000.0,,,204000000.0,6464000000.0,6557000000.0,-111000000.0,6353000000.0,430400000.0,435070000.0,435630000.0
Loews Corp,L,R8V1FN4M5ITGZOG7BS19,60086,2009.0,Q2,2009-04-01,2009-06-30,2010-08-27 11:15:07+00:00,349000000.0,,,0.0625,,,197000000.0,110000000.0,559000000.0,559000000.0,,340000000.0,219000000.0,-110000000.0,438000000.0,923000000.0,1024000000.0,517000000.0,1656000000.0,1295000000.0,,,110000000.0,2668000000.0,3534000000.0,756000000.0,3424000000.0,,435070000.0,435630000.0
