company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accruedexpenses,aoci,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,employeebenefitassets,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,notereceivable,othercurrentassets,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
GOODRICH CORP,GR,,42542,2008.0,FY,,2008-12-31,2010-02-16 16:10:01+00:00,646400000.0,1005300000.0,-978100000.0,370300000.0,2243400000.0,227200000.0,30600000.0,600000.0,1390200000.0,402800000.0,1410400000.0,1974700000.0,1391400000.0,60900000.0,172300000.0,92000000.0,62300000.0,1283300000.0,1048900000.0,,537600000.0,561100000.0,47200000.0,1619200000.0,159000000.0,7482900000.0,2091300000.0,3668300000.0,1841300000.0,2091300000.0,2152200000.0,5330700000.0,7482900000.0,2423200000.0,3489400000.0,-793200000.0
GOODRICH CORP,GR,,42542,2009.0,FY,,2009-12-31,2011-02-15 13:05:00+00:00,547800000.0,1037400000.0,-673200000.0,811000000.0,2323200000.0,180200000.0,24300000.0,,1587000000.0,633200000.0,2008100000.0,2290400000.0,1451200000.0,46600000.0,171100000.0,16700000.0,257200000.0,1209800000.0,1073200000.0,,638900000.0,514500000.0,59600000.0,2088000000.0,3600000.0,8741400000.0,2921000000.0,4414400000.0,1613100000.0,2921000000.0,2967600000.0,5773800000.0,8741400000.0,2875800000.0,4160700000.0,-817000000.0
GOODRICH CORP,GR,,42542,2009.0,Q3,,2009-09-30,2009-10-22 12:07:51+00:00,562600000.0,949100000.0,-638800000.0,789600000.0,2302600000.0,162600000.0,121100000.0,700000.0,1423100000.0,411600000.0,1708700000.0,2181900000.0,1390800000.0,63600000.0,164200000.0,93700000.0,131300000.0,1160400000.0,1127800000.0,,627700000.0,495200000.0,63900000.0,2017100000.0,37200000.0,8273400000.0,2880000000.0,4325800000.0,1670000000.0,2880000000.0,2943600000.0,5329800000.0,8273400000.0,2556800000.0,3659800000.0,-800900000.0
GOODRICH CORP,GR,,42542,2009.0,Q2,,2009-06-30,2009-07-23 13:07:34+00:00,651200000.0,896300000.0,-732200000.0,619400000.0,2279100000.0,165000000.0,99800000.0,600000.0,1415900000.0,423500000.0,1708200000.0,2125700000.0,1389700000.0,61300000.0,164200000.0,92300000.0,92700000.0,1163900000.0,1138700000.0,,606800000.0,499000000.0,49900000.0,1903300000.0,40900000.0,8027500000.0,2650000000.0,4098700000.0,1688200000.0,2650000000.0,2711300000.0,5316200000.0,8027500000.0,2539100000.0,3628000000.0,-800200000.0
GOODRICH CORP,GR,,42542,2010.0,FY,,2010-12-31,2012-02-23 14:40:25+00:00,514000000.0,1041800000.0,-676100000.0,798900000.0,2492300000.0,252000000.0,31000000.0,,1762200000.0,675800000.0,2352800000.0,2449400000.0,1521500000.0,40900000.0,150700000.0,16400000.0,431200000.0,853600000.0,1102700000.0,,624600000.0,503100000.0,68100000.0,2527200000.0,5600000.0,9271600000.0,3346900000.0,4671100000.0,1592400000.0,3346900000.0,3387800000.0,5883800000.0,9271600000.0,3079000000.0,4291400000.0,-996500000.0
GOODRICH CORP,GR,,42542,2010.0,Q3,,2010-09-30,2010-10-21 11:08:15+00:00,581200000.0,977700000.0,-651900000.0,1351300000.0,2443600000.0,167800000.0,72300000.0,1000000.0,1763000000.0,689400000.0,2353000000.0,2358300000.0,1437600000.0,40900000.0,171100000.0,17100000.0,296200000.0,1092600000.0,1195900000.0,,627000000.0,501400000.0,55600000.0,2415600000.0,274100000.0,9664000000.0,3303500000.0,5128900000.0,1905300000.0,3303500000.0,3344400000.0,6319600000.0,9664000000.0,3097500000.0,4414300000.0,-903800000.0
GOODRICH CORP,GR,,42542,2010.0,Q2,,2010-06-30,2010-07-29 15:06:22+00:00,562800000.0,1072800000.0,-844700000.0,866400000.0,2415900000.0,173300000.0,60400000.0,900000.0,1584800000.0,617100000.0,2007900000.0,2386300000.0,1401500000.0,40300000.0,171100000.0,16100000.0,261200000.0,1095300000.0,1132600000.0,,575400000.0,526300000.0,37100000.0,2289800000.0,22000000.0,8791500000.0,2971400000.0,4595700000.0,1718000000.0,2971400000.0,3011700000.0,5779800000.0,8791500000.0,2794300000.0,4061800000.0,-889600000.0
GOODRICH CORP,GR,,42542,2010.0,Q1,,2010-03-31,2010-04-22 12:56:08+00:00,607600000.0,1023000000.0,-735400000.0,778400000.0,2380200000.0,178100000.0,38600000.0,900000.0,1571600000.0,604900000.0,2007300000.0,2339200000.0,1418900000.0,48600000.0,171100000.0,16800000.0,269800000.0,1110100000.0,1159900000.0,,606700000.0,496900000.0,52500000.0,2165100000.0,4800000.0,8727900000.0,2950100000.0,4508100000.0,1674000000.0,2950100000.0,2998700000.0,5729200000.0,8727900000.0,2800900000.0,4055200000.0,-859800000.0
GOODRICH CORP,GR,,42542,2011.0,FY,,2011-12-31,2012-04-26 08:02:00+00:00,768800000.0,1211100000.0,-1011200000.0,987000000.0,2619300000.0,197800000.0,69100000.0,,1991000000.0,917200000.0,2374400000.0,2876600000.0,1633200000.0,38400000.0,174000000.0,36400000.0,560500000.0,1190500000.0,1343200000.0,,671300000.0,600200000.0,60000000.0,3190300000.0,26600000.0,10713700000.0,3700100000.0,5464600000.0,2075600000.0,3700100000.0,3738500000.0,6975200000.0,10713700000.0,3615900000.0,4899600000.0,-1098300000.0
GOODRICH CORP,GR,,42542,2011.0,Q3,,2011-09-30,2011-10-27 08:29:36+00:00,715400000.0,1088600000.0,-692500000.0,571800000.0,2597400000.0,166600000.0,147400000.0,,1993500000.0,951000000.0,2391700000.0,2791800000.0,1552300000.0,35600000.0,136000000.0,15900000.0,570900000.0,786200000.0,1421000000.0,,721300000.0,563300000.0,60500000.0,2989300000.0,14600000.0,10245700000.0,3796000000.0,5011700000.0,1966000000.0,3796000000.0,3831600000.0,6414100000.0,10245700000.0,3681700000.0,4448100000.0,-1098200000.0
