company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Lam Research Corp,LRCX,549300I4GMO6D34U1T02,707549,2009.0,FY,2008-06-30,2009-06-28,2011-08-19 17:10:36+00:00,-2.41,-2.41,,-2.41,96255000.0,39055000.0,-302148000.0,-302148000.0,-302148000.0,727212000.0,1115946000.0,364000.0,3232000.0,4647000.0,288269000.0,44513000.0,233061000.0,727212000.0,388734000.0,6497000.0,24283000.0,669977000.0,-281243000.0,18150000.0,-263093000.0,1115946000.0,125400000.0,125595000.0,125595000.0
Lam Research Corp,LRCX,549300I4GMO6D34U1T02,707549,2010.0,Q4,2010-03-29,2010-06-27,,1.11,1.11,,1.1,21314000.0,19261000.0,139997000.0,139997000.0,139997000.0,373847000.0,695289000.0,-4147000.0,,,85644000.0,-8012000.0,66779000.0,373847000.0,321442000.0,994000.0,8682000.0,165725000.0,155717000.0,3541000.0,159258000.0,695289000.0,127000000.0,126933000.0,128126000.0
Lam Research Corp,LRCX,549300I4GMO6D34U1T02,707549,2010.0,FY,2009-06-29,2010-06-27,2012-08-22 17:01:37+00:00,2.73,2.73,,2.71,21314000.0,83472000.0,346669000.0,346669000.0,346669000.0,1163841000.0,2133776000.0,-2957000.0,-38590000.0,,320859000.0,,240942000.0,1163841000.0,969935000.0,994000.0,8682000.0,544525000.0,425410000.0,4731000.0,430141000.0,2133776000.0,127000000.0,126933000.0,128126000.0
Lam Research Corp,LRCX,549300I4GMO6D34U1T02,707549,2010.0,Q3YTD,2009-06-29,2010-03-28,,1.62,1.62,,1.61,,64211000.0,206672000.0,206672000.0,206672000.0,789994000.0,1438487000.0,1190000.0,-38590000.0,,235215000.0,8012000.0,174163000.0,789994000.0,648493000.0,,,378800000.0,269693000.0,1190000.0,270883000.0,1438487000.0,128000000.0,127307000.0,128587000.0
Lam Research Corp,LRCX,549300I4GMO6D34U1T02,707549,2010.0,Q3,2009-12-28,2010-03-28,2011-05-03 16:05:18+00:00,0.94,0.94,,0.94,,30408000.0,120301000.0,120301000.0,120301000.0,339892000.0,632763000.0,1616000.0,,,81845000.0,,61933000.0,339892000.0,292871000.0,,,143778000.0,149093000.0,1616000.0,150709000.0,632763000.0,128000000.0,127307000.0,128587000.0
Lam Research Corp,LRCX,549300I4GMO6D34U1T02,707549,2010.0,Q2YTD,2009-06-29,2009-12-27,,0.68,0.68,,0.67,,33803000.0,86371000.0,86371000.0,86371000.0,450102000.0,805724000.0,-426000.0,-38590000.0,,153370000.0,8012000.0,112230000.0,450102000.0,355622000.0,,,235022000.0,120600000.0,-426000.0,120174000.0,805724000.0,126500000.0,127296000.0,128829000.0
Lam Research Corp,LRCX,549300I4GMO6D34U1T02,707549,2010.0,Q2,2009-09-28,2009-12-27,2011-02-03 15:39:21+00:00,0.55,0.55,,0.54,,21716000.0,69574000.0,69574000.0,69574000.0,265989000.0,487176000.0,-58000.0,-18362000.0,,82171000.0,5919000.0,60111000.0,265989000.0,221187000.0,,,129839000.0,91348000.0,-58000.0,91290000.0,487176000.0,126500000.0,127296000.0,128829000.0
Lam Research Corp,LRCX,549300I4GMO6D34U1T02,707549,2010.0,Q1,2009-06-29,2009-09-27,2010-11-03 16:36:09+00:00,0.13,0.13,,0.13,,12087000.0,16797000.0,16797000.0,16797000.0,184113000.0,318548000.0,-368000.0,-20228000.0,,71199000.0,2093000.0,52119000.0,184113000.0,134435000.0,,,105183000.0,29252000.0,-368000.0,28884000.0,318548000.0,129200000.0,126774000.0,127890000.0
Lam Research Corp,LRCX,549300I4GMO6D34U1T02,707549,2011.0,FY,2010-06-28,2011-06-26,2013-08-27 16:11:24+00:00,5.86,5.86,,5.79,11579000.0,77128000.0,723748000.0,723748000.0,723748000.0,1740461000.0,3237693000.0,-3409000.0,,,373293000.0,,308075000.0,1740461000.0,1497232000.0,,,692947000.0,804285000.0,-3409000.0,800876000.0,3237693000.0,123500000.0,123529000.0,125019000.0
Lam Research Corp,LRCX,549300I4GMO6D34U1T02,707549,2011.0,Q4,2011-03-28,2011-06-26,,1.02,1.02,,1.01,11579000.0,11132000.0,125928000.0,125928000.0,125928000.0,413564000.0,752018000.0,-5131000.0,,,99583000.0,5163000.0,79938000.0,413564000.0,338454000.0,,,196263000.0,142191000.0,-5131000.0,137060000.0,752018000.0,123500000.0,123529000.0,125019000.0
