company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Sunoco LP,SUN,54930001NJU8E40NQ561,1552275,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 17:21:22+00:00,-185000000.0,,,,515000000.0,21000000.0,-765000000.0,0.0,551000000.0,157000000.0,-1401000000.0,836000000.0,157000000.0,-1401000000.0,836000000.0,-408000000.0,889000000.0,889000000.0,0.0,197000000.0,,49000000.0,,-230000000.0,,-1286000000.0,-115000000.0,-49000000.0,,,
Sunoco LP,SUN,54930001NJU8E40NQ561,1552275,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-05 16:07:31+00:00,,,,,269000000.0,186000000.0,-522000000.0,110000000.0,778000000.0,189000000.0,-271000000.0,-91000000.0,189000000.0,-271000000.0,-91000000.0,-173000000.0,30000000.0,30000000.0,0.0,132000000.0,,-457000000.0,,-114000000.0,,,-585000000.0,,,,
Sunoco LP,SUN,54930001NJU8E40NQ561,1552275,2010.0,Q4,2010-10-01,2010-12-31,,243000000.0,,,332000.0,-367000000.0,-389000000.0,-260527000.0,-289000000.0,-1107000000.0,-230000000.0,395000000.0,-917000000.0,-230000000.0,395000000.0,-917000000.0,-752000000.0,-300784000.0,-300784000.0,,11311000.0,,541000000.0,,146000000.0,,,1020000000.0,,,,
Sunoco LP,SUN,54930001NJU8E40NQ561,1552275,2010.0,Q3,2010-07-01,2010-09-30,,-243000000.0,,,,128000000.0,389000000.0,-210000000.0,144000000.0,305000000.0,124000000.0,-52000000.0,-39000000.0,124000000.0,-52000000.0,-39000000.0,-333000000.0,172000000.0,172000000.0,,-129000000.0,,-539000000.0,-366000000.0,-49000000.0,,341000000.0,-276000000.0,,,,
Sunoco LP,SUN,54930001NJU8E40NQ561,1552275,2010.0,Q2,2010-04-01,2010-06-30,,,,,,122000000.0,-8000000.0,127000000.0,,230000000.0,19000000.0,-190000000.0,455000000.0,19000000.0,-190000000.0,455000000.0,650000000.0,176000000.0,176000000.0,,30000000.0,,159000000.0,366000000.0,-52000000.0,,-341000000.0,-159000000.0,,,,
Sunoco LP,SUN,54930001NJU8E40NQ561,1552275,2010.0,Q1,2010-01-01,2010-03-31,2011-05-05 17:18:39+00:00,0.0,,,,117000000.0,8000000.0,342000000.0,145000000.0,572000000.0,87000000.0,-153000000.0,501000000.0,87000000.0,-153000000.0,501000000.0,435000000.0,-38000000.0,-38000000.0,0.0,80000000.0,,-161000000.0,,-45000000.0,,,-585000000.0,,,,
Sunoco LP,SUN,54930001NJU8E40NQ561,1552275,2011.0,Q2TTM,2010-07-01,2011-06-30,,-124000000.0,,,332000.0,-15000000.0,,-1199527000.0,-145000000.0,-501000000.0,-142000000.0,727000000.0,-1313000000.0,-142000000.0,727000000.0,-1313000000.0,-1094000000.0,-279784000.0,-279784000.0,,181311000.0,,838000000.0,-366000000.0,3000000.0,,13000000.0,501000000.0,,,,
Sunoco LP,SUN,54930001NJU8E40NQ561,1552275,2011.0,Q2,2011-04-01,2011-06-30,,-88000000.0,,,,112000000.0,,-335000000.0,,227000000.0,-39000000.0,24000000.0,11000000.0,-39000000.0,24000000.0,11000000.0,-4000000.0,-71000000.0,-71000000.0,,305000000.0,,290000000.0,,-46000000.0,,-178000000.0,-220000000.0,,,,
Sunoco LP,SUN,54930001NJU8E40NQ561,1552275,2011.0,Q1TTM,2010-04-01,2011-03-31,,-36000000.0,,,332000.0,-5000000.0,-8000000.0,-737527000.0,-145000000.0,-498000000.0,-84000000.0,513000000.0,-869000000.0,-84000000.0,513000000.0,-869000000.0,-440000000.0,-32784000.0,-32784000.0,,-93689000.0,,707000000.0,,-3000000.0,,-150000000.0,562000000.0,,,,
Sunoco LP,SUN,54930001NJU8E40NQ561,1552275,2012.0,Q4,2012-10-01,2012-12-31,,-2513000.0,102000.0,,940000.0,7031000.0,,84644000.0,206154000.0,216256000.0,180973000.0,-190949000.0,16488000.0,180973000.0,-190949000.0,16488000.0,6512000.0,17570000.0,17570000.0,,-92859000.0,-354000.0,,,-206653000.0,-497426000.0,-41493000.0,-34430000.0,,,349162000.0,1321000.0
