company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:39:17+00:00,-17190000.0,10639000.0,144862000.0,,53761000.0,417169000.0,35143000.0,101751000.0,17173000.0,-793432000.0,921592000.0,,17173000.0,-793432000.0,921592000.0,199094000.0,546528000.0,546528000.0,,-197606000.0,32794000.0,-3875000.0,-86949000.0,-1004283000.0,-284240000.0,-65279000.0,-287000.0,455760000.0,60396000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2008.0,Q4,2008-10-01,2008-12-31,,-12496000.0,6937000.0,40218000.0,,-66836000.0,1255000.0,-88000.0,,-49453000.0,317978000.0,117692000.0,,-49453000.0,317978000.0,117692000.0,319381000.0,197356000.0,197356000.0,,-128074000.0,-15231000.0,-1251000.0,-27557000.0,-35550000.0,-87829000.0,-6203000.0,-374000.0,444652000.0,10452000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 09:30:23+00:00,-12496000.0,8255000.0,161562000.0,79209000.0,-84779000.0,251590000.0,3784000.0,,-270168000.0,22533000.0,991594000.0,,-270168000.0,22533000.0,991594000.0,659180000.0,748903000.0,748903000.0,,-178716000.0,13511000.0,-2031000.0,-113443000.0,-1348623000.0,-299611000.0,-173646000.0,-374000.0,1557590000.0,48495000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2008.0,Q3,2008-07-01,2008-09-30,,,428000.0,42817000.0,,-38363000.0,-65675000.0,,-999000.0,-194364000.0,78485000.0,183602000.0,,-194364000.0,78485000.0,183602000.0,29360000.0,189331000.0,189331000.0,,16701000.0,1684000.0,468000.0,-32711000.0,-245883000.0,-84685000.0,-162338000.0,,390815000.0,17770000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-09 16:24:04+00:00,,1318000.0,121344000.0,79209000.0,-17943000.0,250335000.0,3872000.0,,-220715000.0,-295445000.0,873902000.0,,-220715000.0,-295445000.0,873902000.0,339799000.0,551547000.0,551547000.0,,-50642000.0,28742000.0,-780000.0,-85886000.0,-1313073000.0,-211782000.0,-167443000.0,,1112938000.0,38043000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-10 16:14:50+00:00,,890000.0,78527000.0,79209000.0,20420000.0,316010000.0,3872000.0,999000.0,-26351000.0,-373930000.0,690300000.0,,-26351000.0,-373930000.0,690300000.0,310439000.0,362216000.0,362216000.0,,-67343000.0,27058000.0,-1248000.0,-53175000.0,-1067190000.0,-127097000.0,-5105000.0,,722123000.0,20273000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,Q4,2009-10-01,2009-12-31,,1590000.0,227000.0,46371000.0,,29099000.0,138064000.0,,,-75467000.0,45914000.0,359465000.0,,-75467000.0,45914000.0,359465000.0,359011000.0,161245000.0,161245000.0,,13558000.0,1772000.0,-365000.0,-55534000.0,-144422000.0,-58240000.0,-10198000.0,-11507000.0,234528000.0,12823000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 16:22:32+00:00,,1162000.0,180849000.0,,88748000.0,-23570000.0,,,-322997000.0,-818059000.0,905012000.0,,-322997000.0,-818059000.0,905012000.0,-147296000.0,732875000.0,732875000.0,,13696000.0,-1735000.0,2496000.0,-166419000.0,-1664694000.0,-233113000.0,-29424000.0,-125419000.0,1039684000.0,37568000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,Q3TTM,2008-10-01,2009-09-30,,-14086000.0,7872000.0,174696000.0,,-7187000.0,-160379000.0,-88000.0,,-296983000.0,-545995000.0,663239000.0,,-296983000.0,-545995000.0,663239000.0,-186926000.0,768986000.0,768986000.0,,-127936000.0,-18738000.0,1610000.0,-138442000.0,-1555822000.0,-262702000.0,-25429000.0,-114286000.0,1249808000.0,35197000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,Q3,2009-07-01,2009-09-30,,-551000.0,298000.0,45845000.0,,20877000.0,-51088000.0,,,-108381000.0,72884000.0,160743000.0,,-108381000.0,72884000.0,160743000.0,146123000.0,174004000.0,174004000.0,,-8316000.0,1409000.0,850000.0,-51169000.0,-262022000.0,-54280000.0,-5968000.0,-52653000.0,381330000.0,7557000.0
