company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2010.0,FY,,2010-12-31,2012-02-22 15:57:38+00:00,962000000.0,1014000000.0,-96000000.0,421000000.0,0.0,4592000000.0,452000000.0,99000000.0,7096000000.0,4607000000.0,8464000000.0,599000000.0,9000000.0,61000000.0,942000000.0,412000000.0,520000000.0,219000000.0,-1609000000.0,94000000.0,14429000000.0,2887000000.0,1654000000.0,1607000000.0,2887000000.0,2896000000.0,11533000000.0,14429000000.0,12176000000.0,9926000000.0,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,FY,,2011-12-31,2013-02-22 07:09:14+00:00,1025000000.0,1080000000.0,-299000000.0,319000000.0,0.0,6457000000.0,443000000.0,80000000.0,7155000000.0,4561000000.0,6619000000.0,609000000.0,8000000.0,198000000.0,996000000.0,316000000.0,556000000.0,266000000.0,-1525000000.0,144000000.0,14504000000.0,4633000000.0,1665000000.0,1692000000.0,4633000000.0,4641000000.0,9863000000.0,14504000000.0,12230000000.0,8171000000.0,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,Q3,,2011-09-30,2011-10-27 09:38:30+00:00,939000000.0,1052000000.0,-258000000.0,404000000.0,0.0,6421000000.0,425000000.0,120000000.0,7143000000.0,4581000000.0,6807000000.0,557000000.0,11000000.0,191000000.0,916000000.0,326000000.0,533000000.0,244000000.0,-1620000000.0,204000000.0,14498000000.0,4543000000.0,1700000000.0,1688000000.0,4543000000.0,4554000000.0,9944000000.0,14498000000.0,12241000000.0,8256000000.0,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,Q2,,2011-06-30,2011-07-28 07:42:05+00:00,966000000.0,1136000000.0,-40000000.0,374000000.0,0.0,6402000000.0,465000000.0,116000000.0,7300000000.0,4633000000.0,6963000000.0,595000000.0,11000000.0,226000000.0,943000000.0,352000000.0,541000000.0,254000000.0,-1722000000.0,225000000.0,14870000000.0,4640000000.0,1764000000.0,1772000000.0,4640000000.0,4651000000.0,10219000000.0,14870000000.0,12511000000.0,8447000000.0,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2012.0,FY,,2012-12-31,2014-02-21 07:05:10+00:00,967000000.0,1110000000.0,-333000000.0,288000000.0,0.0,6515000000.0,373000000.0,56000000.0,7352000000.0,4555000000.0,6229000000.0,560000000.0,48000000.0,170000000.0,1006000000.0,272000000.0,621000000.0,278000000.0,-1252000000.0,355000000.0,14585000000.0,4930000000.0,1676000000.0,1751000000.0,4930000000.0,4978000000.0,9607000000.0,14585000000.0,12349000000.0,7856000000.0,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2012.0,Q3,,2012-09-30,2012-10-22 06:57:46+00:00,914000000.0,1079000000.0,-236000000.0,325000000.0,0.0,6503000000.0,370000000.0,94000000.0,7276000000.0,4556000000.0,6252000000.0,555000000.0,5000000.0,114000000.0,936000000.0,312000000.0,521000000.0,279000000.0,-1291000000.0,428000000.0,14496000000.0,4976000000.0,1683000000.0,1806000000.0,4976000000.0,4981000000.0,9515000000.0,14496000000.0,12258000000.0,7709000000.0,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2012.0,Q2,,2012-06-30,2012-07-25 06:49:36+00:00,850000000.0,1089000000.0,-301000000.0,283000000.0,0.0,6478000000.0,405000000.0,52000000.0,7188000000.0,4551000000.0,6519000000.0,572000000.0,4000000.0,128000000.0,942000000.0,322000000.0,528000000.0,272000000.0,-1396000000.0,324000000.0,14405000000.0,4781000000.0,1644000000.0,1631000000.0,4781000000.0,4785000000.0,9620000000.0,14405000000.0,12189000000.0,7989000000.0,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2012.0,Q1,,2012-03-31,2012-04-25 06:15:31+00:00,898000000.0,1057000000.0,-211000000.0,295000000.0,0.0,6475000000.0,424000000.0,67000000.0,7232000000.0,4544000000.0,6563000000.0,611000000.0,8000000.0,179000000.0,972000000.0,322000000.0,548000000.0,297000000.0,-1500000000.0,293000000.0,14537000000.0,4764000000.0,1649000000.0,1682000000.0,4764000000.0,4772000000.0,9765000000.0,14537000000.0,12277000000.0,8083000000.0,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2013.0,FY,,2013-12-31,2015-02-20 06:05:38+00:00,1026000000.0,1196000000.0,-387000000.0,564000000.0,0.0,6628000000.0,306000000.0,55000000.0,7684000000.0,4781000000.0,6492000000.0,560000000.0,78000000.0,115000000.0,864000000.0,256000000.0,832000000.0,374000000.0,-512000000.0,148000000.0,15530000000.0,5729000000.0,2134000000.0,1535000000.0,5729000000.0,5807000000.0,9723000000.0,15530000000.0,12836000000.0,8188000000.0,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2013.0,Q3,,2013-09-30,2013-10-23 07:10:49+00:00,990000000.0,1138000000.0,-379000000.0,737000000.0,0.0,6702000000.0,324000000.0,99000000.0,7686000000.0,4855000000.0,6521000000.0,555000000.0,46000000.0,166000000.0,1136000000.0,242000000.0,572000000.0,336000000.0,-657000000.0,361000000.0,15715000000.0,5666000000.0,2211000000.0,1774000000.0,5666000000.0,5712000000.0,10003000000.0,15715000000.0,12949000000.0,8229000000.0,
