company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 15:57:38+00:00,-1.79,-1.79,,557000000.0,-1.79,527000000.0,-197000000.0,-489000000.0,-428000000.0,-61000000.0,-491000000.0,2000000.0,2023000000.0,4808000000.0,-22000000.0,-79000000.0,62000000.0,1523000000.0,2023000000.0,2785000000.0,647000000.0,7000000.0,2669000000.0,116000000.0,-719000000.0,-603000000.0,4808000000.0,274300000.0,273905810.0,273905810.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 07:09:14+00:00,0.47,0.47,,558000000.0,0.46,,-46000000.0,132000000.0,154000000.0,-22000000.0,130000000.0,2000000.0,2129000000.0,5126000000.0,5000000.0,28000000.0,61000000.0,1648000000.0,2129000000.0,2997000000.0,660000000.0,5000000.0,2267000000.0,730000000.0,-627000000.0,103000000.0,5126000000.0,276600000.0,276499073.0,279652586.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2010.0,Q3,2010-07-01,2010-09-30,2011-10-27 09:38:30+00:00,0.04,0.04,,142000000.0,0.04,,2000000.0,11000000.0,22000000.0,-11000000.0,11000000.0,,521000000.0,1289000000.0,1000000.0,-10000000.0,11000000.0,414000000.0,521000000.0,768000000.0,169000000.0,1000000.0,567000000.0,201000000.0,-178000000.0,23000000.0,1289000000.0,275000000.0,276651344.0,280176824.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2010.0,Q2,2010-04-01,2010-06-30,2011-07-28 07:42:05+00:00,0.27,0.27,,136000000.0,0.27,,13000000.0,74000000.0,77000000.0,-3000000.0,74000000.0,,528000000.0,1270000000.0,2000000.0,65000000.0,19000000.0,405000000.0,528000000.0,742000000.0,160000000.0,1000000.0,560000000.0,182000000.0,-94000000.0,88000000.0,1270000000.0,274100000.0,276748497.0,279585358.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,Q4,2011-10-01,2011-12-31,,0.32,0.32,,106000000.0,0.31,,57000000.0,96000000.0,69000000.0,27000000.0,95000000.0,1000000.0,515000000.0,1217000000.0,4000000.0,10000000.0,28000000.0,376000000.0,515000000.0,702000000.0,81000000.0,1000000.0,510000000.0,192000000.0,-70000000.0,122000000.0,1217000000.0,350000000.0,352469181.0,357501954.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,FY,2011-01-01,2011-12-31,2014-02-21 07:05:10+00:00,0.24,0.24,0.0,502000000.0,0.23,,6000000.0,87000000.0,61000000.0,26000000.0,84000000.0,3000000.0,2188000000.0,5328000000.0,3000000.0,-219000000.0,83000000.0,1829000000.0,2188000000.0,3140000000.0,449000000.0,6000000.0,2414000000.0,726000000.0,-662000000.0,64000000.0,5328000000.0,350000000.0,352469181.0,357501954.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,Q3YTD,2011-01-01,2011-09-30,,-0.08,-0.08,,396000000.0,-0.08,,-51000000.0,-9000000.0,-8000000.0,-1000000.0,-11000000.0,2000000.0,1673000000.0,4111000000.0,-1000000.0,-229000000.0,55000000.0,1453000000.0,1673000000.0,2438000000.0,368000000.0,5000000.0,1904000000.0,534000000.0,-592000000.0,-58000000.0,4111000000.0,364300000.0,359381233.0,364471804.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,Q3,2011-07-01,2011-09-30,2012-10-22 06:57:46+00:00,0.28,0.28,,125000000.0,0.28,,44000000.0,103000000.0,103000000.0,,102000000.0,1000000.0,554000000.0,1413000000.0,-2000000.0,-4000000.0,9000000.0,460000000.0,554000000.0,859000000.0,114000000.0,2000000.0,594000000.0,265000000.0,-116000000.0,149000000.0,1413000000.0,364300000.0,359381233.0,364471804.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,Q2YTD,2011-01-01,2011-06-30,,-0.36,-0.36,,271000000.0,-0.36,,-95000000.0,-112000000.0,-111000000.0,-1000000.0,-113000000.0,1000000.0,1119000000.0,2698000000.0,1000000.0,-225000000.0,46000000.0,993000000.0,1119000000.0,1579000000.0,254000000.0,3000000.0,1310000000.0,269000000.0,-476000000.0,-207000000.0,2698000000.0,363200000.0,358792103.0,364203419.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,Q2,2011-04-01,2011-06-30,2012-07-25 06:49:36+00:00,0.19,0.19,,135000000.0,0.19,,39000000.0,69000000.0,69000000.0,,69000000.0,,570000000.0,1396000000.0,3000000.0,-1000000.0,23000000.0,450000000.0,570000000.0,826000000.0,114000000.0,2000000.0,608000000.0,218000000.0,-113000000.0,105000000.0,1396000000.0,363200000.0,358792103.0,364203419.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,Q1,2011-01-01,2011-03-31,2012-04-25 06:15:31+00:00,-0.55,-0.55,,136000000.0,-0.55,,-134000000.0,-181000000.0,-180000000.0,-1000000.0,-182000000.0,1000000.0,549000000.0,1302000000.0,-2000000.0,-224000000.0,23000000.0,543000000.0,549000000.0,753000000.0,140000000.0,1000000.0,702000000.0,51000000.0,-363000000.0,-312000000.0,1302000000.0,330900000.0,331248626.0,331248626.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2012.0,Q4,2012-10-01,2012-12-31,,0.1,0.1,,120000000.0,0.11,,19000000.0,36000000.0,27000000.0,9000000.0,39000000.0,-3000000.0,562000000.0,1380000000.0,4000000.0,-126000000.0,28000000.0,420000000.0,562000000.0,818000000.0,83000000.0,1000000.0,568000000.0,250000000.0,-208000000.0,42000000.0,1380000000.0,364000000.0,361787868.0,366310984.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2012.0,FY,2012-01-01,2012-12-31,2015-02-20 06:05:38+00:00,0.75,0.75,0.0,493000000.0,0.75,,122000000.0,272000000.0,242000000.0,30000000.0,273000000.0,-1000000.0,2225000000.0,5407000000.0,5000000.0,-135000000.0,85000000.0,1724000000.0,2225000000.0,3182000000.0,390000000.0,4000000.0,2302000000.0,880000000.0,-521000000.0,359000000.0,5407000000.0,364000000.0,361787868.0,366310984.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2012.0,Q3YTD,2012-01-01,2012-09-30,,0.65,0.65,,373000000.0,0.64,,103000000.0,236000000.0,215000000.0,21000000.0,234000000.0,2000000.0,1663000000.0,4027000000.0,1000000.0,-9000000.0,57000000.0,1304000000.0,1663000000.0,2364000000.0,307000000.0,3000000.0,1734000000.0,630000000.0,-313000000.0,317000000.0,4027000000.0,362100000.0,362016373.0,366221520.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2012.0,Q3TTM,2011-10-01,2012-09-30,,0.97,0.97,,479000000.0,0.95,,160000000.0,332000000.0,284000000.0,48000000.0,329000000.0,3000000.0,2178000000.0,5244000000.0,5000000.0,1000000.0,85000000.0,1680000000.0,2178000000.0,3066000000.0,388000000.0,4000000.0,2244000000.0,822000000.0,-383000000.0,439000000.0,5244000000.0,362100000.0,362016373.0,366221520.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2012.0,Q3,2012-07-01,2012-09-30,2013-10-23 07:10:49+00:00,0.29,0.29,,124000000.0,0.29,,58000000.0,106000000.0,86000000.0,20000000.0,105000000.0,1000000.0,550000000.0,1351000000.0,-1000000.0,0.0,4000000.0,429000000.0,550000000.0,801000000.0,100000000.0,1000000.0,557000000.0,244000000.0,-99000000.0,145000000.0,1351000000.0,362100000.0,362016373.0,366221520.0
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2012.0,Q2YTD,2012-01-01,2012-06-30,,0.36,0.36,,249000000.0,0.35,,45000000.0,130000000.0,129000000.0,1000000.0,129000000.0,1000000.0,1113000000.0,2676000000.0,2000000.0,-9000000.0,53000000.0,875000000.0,1113000000.0,1563000000.0,207000000.0,2000000.0,1177000000.0,386000000.0,-214000000.0,172000000.0,2676000000.0,358600000.0,361528675.0,365875719.0
